[
StockUnit{open=137.975, high=138.0, low=137.96, close=138.0, adjustedClose=0.0, volume=17792, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:59:00}, 
StockUnit{open=137.96, high=137.99, low=137.95, close=137.98, adjustedClose=0.0, volume=5962, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:58:00}, 
StockUnit{open=137.9701, high=137.98, low=137.95, close=137.97, adjustedClose=0.0, volume=14702, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:57:00}, 
StockUnit{open=137.995, high=138.0, low=137.93, close=137.97, adjustedClose=0.0, volume=10685, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:56:00}, 
StockUnit{open=137.98, high=138.0, low=137.98, close=137.99, adjustedClose=0.0, volume=5330, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:55:00}, 
StockUnit{open=137.99, high=137.99, low=137.97, close=137.9799, adjustedClose=0.0, volume=5533, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:54:00}, 
StockUnit{open=137.98, high=137.99, low=137.9627, close=137.99, adjustedClose=0.0, volume=11529, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:53:00}, 
StockUnit{open=137.97, high=137.98, low=137.96, close=137.97, adjustedClose=0.0, volume=6727, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:52:00}, 
StockUnit{open=137.97, high=137.97, low=137.96, close=137.9699, adjustedClose=0.0, volume=4518, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:51:00}, 
StockUnit{open=137.96, high=137.97, low=137.95, close=137.96, adjustedClose=0.0, volume=6576, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:50:00}, 
StockUnit{open=137.96, high=137.97, low=137.95, close=137.95, adjustedClose=0.0, volume=8067, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:49:00}, 
StockUnit{open=137.97, high=137.97, low=137.96, close=137.9612, adjustedClose=0.0, volume=2201, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:48:00}, 
StockUnit{open=137.96, high=137.97, low=137.96, close=137.96, adjustedClose=0.0, volume=679, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:47:00}, 
StockUnit{open=137.96, high=137.97, low=137.95, close=137.96, adjustedClose=0.0, volume=1461, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:46:00}, 
StockUnit{open=137.98, high=138.0, low=137.97, close=137.97, adjustedClose=0.0, volume=2820, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:45:00}, 
StockUnit{open=137.995, high=138.0, low=137.97, close=137.98, adjustedClose=0.0, volume=4029, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:44:00}, 
StockUnit{open=137.99, high=138.0, low=137.98, close=137.995, adjustedClose=0.0, volume=2427, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:43:00}, 
StockUnit{open=138.0, high=138.0, low=137.98, close=137.98, adjustedClose=0.0, volume=9730, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:42:00}, 
StockUnit{open=137.98, high=138.0, low=137.965, close=138.0, adjustedClose=0.0, volume=2853, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:41:00}, 
StockUnit{open=137.98, high=138.0, low=137.95, close=137.9792, adjustedClose=0.0, volume=1441, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:40:00}, 
StockUnit{open=137.98, high=138.0, low=137.97, close=137.97, adjustedClose=0.0, volume=5552, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:39:00}, 
StockUnit{open=137.9693, high=137.99, low=137.93, close=137.97, adjustedClose=0.0, volume=4871, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:38:00}, 
StockUnit{open=137.92, high=137.97, low=137.92, close=137.97, adjustedClose=0.0, volume=5168, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:37:00}, 
