[
StockUnit{open=320.75, high=320.8, low=320.7, close=320.74, adjustedClose=0.0, volume=8841, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:59:00}, 
StockUnit{open=320.7392, high=320.75, low=320.65, close=320.75, adjustedClose=0.0, volume=12135, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:58:00}, 
StockUnit{open=320.75, high=320.8, low=320.7, close=320.74, adjustedClose=0.0, volume=3084, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:57:00}, 
StockUnit{open=320.84, high=320.9, low=320.7, close=320.75, adjustedClose=0.0, volume=11063, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:56:00}, 
StockUnit{open=320.8899, high=320.9, low=320.82, close=320.9, adjustedClose=0.0, volume=5482, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:55:00}, 
StockUnit{open=320.775, high=320.89, low=320.775, close=320.88, adjustedClose=0.0, volume=4060, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:54:00}, 
StockUnit{open=320.93, high=320.94, low=320.775, close=320.8, adjustedClose=0.0, volume=4518, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:53:00}, 
StockUnit{open=320.8, high=320.95, low=320.79, close=320.94, adjustedClose=0.0, volume=6461, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:52:00}, 
StockUnit{open=320.8, high=320.85, low=320.79, close=320.795, adjustedClose=0.0, volume=3181, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:51:00}, 
StockUnit{open=320.8, high=320.8, low=320.78, close=320.8, adjustedClose=0.0, volume=3826, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:50:00}, 
StockUnit{open=320.8, high=320.8, low=320.78, close=320.79, adjustedClose=0.0, volume=2357, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:49:00}, 
StockUnit{open=320.8, high=320.8, low=320.78, close=320.8, adjustedClose=0.0, volume=4577, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:48:00}, 
StockUnit{open=320.75, high=320.8, low=320.75, close=320.8, adjustedClose=0.0, volume=4875, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:47:00}, 
StockUnit{open=320.79, high=320.84, low=320.72, close=320.72, adjustedClose=0.0, volume=993, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:46:00}, 
StockUnit{open=320.8, high=320.8, low=320.75, close=320.79, adjustedClose=0.0, volume=4337, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:45:00}, 
StockUnit{open=320.8, high=320.8, low=320.79, close=320.8, adjustedClose=0.0, volume=3832, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:44:00}, 
StockUnit{open=320.79, high=320.8, low=320.7803, close=320.79, adjustedClose=0.0, volume=4136, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:43:00}, 
StockUnit{open=320.79, high=320.8, low=320.78, close=320.7995, adjustedClose=0.0, volume=4413, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:42:00}, 
StockUnit{open=320.76, high=320.8, low=320.74, close=320.8, adjustedClose=0.0, volume=3059, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:41:00}, 
StockUnit{open=320.7001, high=320.76, low=320.7, close=320.76, adjustedClose=0.0, volume=5484, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:40:00}, 
StockUnit{open=320.7, high=320.72, low=320.65, close=320.71, adjustedClose=0.0, volume=1515, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:39:00}, 
StockUnit{open=320.69, high=320.7199, low=320.67, close=320.7, adjustedClose=0.0, volume=1296, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:38:00}, 
StockUnit{open=320.65, high=320.7, low=320.65, close=320.69, adjustedClose=0.0, volume=1884, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:37:00}, 
StockUnit{open=320.65, high=320.71, low=320.65, close=320.69, adjustedClose=0.0, volume=1886, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:36:00}, 
StockUnit{open=320.63, high=320.69, low=320.63, close=320.69, adjustedClose=0.0, volume=898, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:35:00}, 
StockUnit{open=320.635, high=320.65, low=320.62, close=320.64, adjustedClose=0.0, volume=2697, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:34:00}, 
StockUnit{open=320.62, high=320.65, low=320.61, close=320.635, adjustedClose=0.0, volume=2114, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:33:00}, 
StockUnit{open=320.685, high=320.7, low=320.61, close=320.62, adjustedClose=0.0, volume=1873, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:32:00}, 
StockUnit{open=320.7, high=320.72, low=320.65, close=320.65, adjustedClose=0.0, volume=567, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:31:00}, 
