[
StockUnit{open=131.75, high=131.75, low=131.75, close=131.75, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.9, high=131.9, low=131.9, close=131.9, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:29:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.37, high=131.9, low=131.37, close=131.9, adjustedClose=0.0, volume=83.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:21:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.3, high=131.3, low=131.3, close=131.3, adjustedClose=0.0, volume=768849.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.3, high=131.3, low=131.3, close=131.3, adjustedClose=0.0, volume=768849.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.37, high=131.37, low=131.37, close=131.37, adjustedClose=0.0, volume=250.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.97, high=131.97, low=131.97, close=131.97, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:11:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.37, high=131.37, low=131.37, close=131.37, adjustedClose=0.0, volume=4.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.3, high=131.3, low=131.3, close=131.3, adjustedClose=0.0, volume=879.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.31, high=131.31, low=131.31, close=131.31, adjustedClose=0.0, volume=100.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:36:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.3, high=131.3, low=131.3, close=131.3, adjustedClose=0.0, volume=3975.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:26:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.41, high=131.41, low=131.41, close=131.41, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:23:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.33, high=131.33, low=131.33, close=131.33, adjustedClose=0.0, volume=1700.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:18:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.3275, high=131.3275, low=131.3, close=131.3, adjustedClose=0.0, volume=3.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.81, high=132.4, low=131.81, close=132.4, adjustedClose=0.0, volume=1016.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.3, high=131.3, low=131.3, close=131.3, adjustedClose=0.0, volume=380200.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:12:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.3, high=131.3275, low=131.3, close=131.3275, adjustedClose=0.0, volume=768869.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.3, high=131.3, low=131.3, close=131.3, adjustedClose=0.0, volume=24507.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:09:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.3, high=131.3, low=131.3, close=131.3, adjustedClose=0.0, volume=1078.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:05:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.3, high=131.3, low=131.3, close=131.3, adjustedClose=0.0, volume=3320.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.3, high=131.3, low=131.3, close=131.3, adjustedClose=0.0, volume=1099.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:03:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.3, high=131.3, low=131.3, close=131.3, adjustedClose=0.0, volume=211291.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:02:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.3, high=131.3, low=131.3, close=131.3, adjustedClose=0.0, volume=28599.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.29, high=131.3, low=131.29, close=131.3, adjustedClose=0.0, volume=1616064.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.45, high=131.465, low=131.24, close=131.3, adjustedClose=0.0, volume=289253.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.415, high=131.48, low=131.29, close=131.46, adjustedClose=0.0, volume=209720.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.5, high=131.5, low=131.42, close=131.42, adjustedClose=0.0, volume=130292.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.43, high=131.53, low=131.35, close=131.5, adjustedClose=0.0, volume=50827.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.37, high=131.45, low=131.34, close=131.43, adjustedClose=0.0, volume=35428.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.32, high=131.43, low=131.315, close=131.39, adjustedClose=0.0, volume=24022.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.405, high=131.435, low=131.305, close=131.32, adjustedClose=0.0, volume=41993.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.42, high=131.47, low=131.37, close=131.4, adjustedClose=0.0, volume=48950.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.44, high=131.46, low=131.385, close=131.44, adjustedClose=0.0, volume=33684.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.6, high=131.6, low=131.41, close=131.41, adjustedClose=0.0, volume=53942.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.655, high=131.66, low=131.595, close=131.61, adjustedClose=0.0, volume=19075.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:49:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.685, high=131.7, low=131.645, close=131.65, adjustedClose=0.0, volume=16707.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.67, high=131.735, low=131.665, close=131.67, adjustedClose=0.0, volume=17490.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:47:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.7, high=131.7, low=131.67, close=131.67, adjustedClose=0.0, volume=11922.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.755, high=131.77, low=131.67, close=131.68, adjustedClose=0.0, volume=14603.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:45:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.705, high=131.765, low=131.66, close=131.74, adjustedClose=0.0, volume=8760.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:44:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.735, high=131.74, low=131.7, close=131.705, adjustedClose=0.0, volume=18474.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:43:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.76, high=131.78, low=131.72, close=131.735, adjustedClose=0.0, volume=14029.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.685, high=131.78, low=131.685, close=131.775, adjustedClose=0.0, volume=13285.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.635, high=131.75, low=131.61, close=131.68, adjustedClose=0.0, volume=25691.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:40:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.58, high=131.68, low=131.54, close=131.63, adjustedClose=0.0, volume=35773.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:39:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.475, high=131.6, low=131.475, close=131.58, adjustedClose=0.0, volume=12455.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:38:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.41, high=131.475, low=131.38, close=131.475, adjustedClose=0.0, volume=9030.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:37:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.385, high=131.44, low=131.3501, close=131.425, adjustedClose=0.0, volume=8041.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:36:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.3664, high=131.395, low=131.34, close=131.385, adjustedClose=0.0, volume=31623.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.3, high=131.37, low=131.3, close=131.355, adjustedClose=0.0, volume=32263.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:34:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.28, high=131.31, low=131.28, close=131.29, adjustedClose=0.0, volume=9833.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:33:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.29, high=131.3, low=131.28, close=131.285, adjustedClose=0.0, volume=2538.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:32:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.32, high=131.35, low=131.27, close=131.305, adjustedClose=0.0, volume=15543.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:31:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.36, high=131.395, low=131.33, close=131.35, adjustedClose=0.0, volume=29023.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.3, high=131.36, low=131.3, close=131.35, adjustedClose=0.0, volume=9034.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:29:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.335, high=131.345, low=131.28, close=131.305, adjustedClose=0.0, volume=6168.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:28:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=131.365, high=131.365, low=131.305, close=131.335, adjustedClose=0.0, volume=6419.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:27:00, symbol=null, percentageChange=0.0, target=0}, 
