[
StockUnit{open=209.51, high=209.51, low=209.51, close=209.51, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=210.1, high=210.1, low=210.1, close=210.1, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:22:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=210.36, high=210.36, low=210.36, close=210.36, adjustedClose=0.0, volume=7.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:11:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=210.35, high=210.35, low=210.35, close=210.35, adjustedClose=0.0, volume=15.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=209.87, high=209.88, low=209.82, close=209.82, adjustedClose=0.0, volume=7.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=210.47, high=210.47, low=210.47, close=210.47, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=210.47, high=210.47, low=210.47, close=210.47, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=209.88, high=209.88, low=209.88, close=209.88, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:38:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=209.0, high=209.0, low=209.0, close=209.0, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:31:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=210.2, high=210.2, low=210.2, close=210.2, adjustedClose=0.0, volume=200.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:03:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=210.18, high=210.2, low=210.18, close=210.2, adjustedClose=0.0, volume=700.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:02:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=210.2, high=210.2, low=210.2, close=210.2, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=223.15, high=223.15, low=223.15, close=223.15, adjustedClose=0.0, volume=7.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=210.47, high=210.47, low=210.47, close=210.47, adjustedClose=0.0, volume=17.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=210.06, high=210.06, low=210.0, close=210.0, adjustedClose=0.0, volume=15.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:37:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=209.63, high=209.63, low=209.63, close=209.63, adjustedClose=0.0, volume=3.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:36:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=210.47, high=210.47, low=210.47, close=210.47, adjustedClose=0.0, volume=654.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:33:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=210.0, high=210.0, low=204.515, close=204.515, adjustedClose=0.0, volume=79.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:27:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=210.47, high=210.47, low=210.47, close=210.47, adjustedClose=0.0, volume=1493.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:26:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=210.18, high=210.18, low=210.18, close=210.18, adjustedClose=0.0, volume=11.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:25:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=210.47, high=210.47, low=210.47, close=210.47, adjustedClose=0.0, volume=22.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:20:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=210.47, high=210.47, low=210.47, close=210.47, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=210.47, high=210.47, low=210.47, close=210.47, adjustedClose=0.0, volume=77376.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:06:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=210.47, high=210.47, low=210.47, close=210.47, adjustedClose=0.0, volume=2684.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:05:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=210.47, high=210.47, low=210.47, close=210.47, adjustedClose=0.0, volume=1764.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=210.42, high=210.47, low=210.42, close=210.47, adjustedClose=0.0, volume=15.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:03:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=210.47, high=210.47, low=210.42, close=210.42, adjustedClose=0.0, volume=2770.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:02:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=210.47, high=211.09, low=210.47, close=210.47, adjustedClose=0.0, volume=21904.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=210.42, high=210.64, low=210.42, close=210.47, adjustedClose=0.0, volume=1740144.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=210.61, high=210.61, low=210.36, close=210.42, adjustedClose=0.0, volume=106688.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=210.45, high=210.65, low=210.45, close=210.615, adjustedClose=0.0, volume=57796.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=210.45, high=210.57, low=210.39, close=210.45, adjustedClose=0.0, volume=66720.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=210.18, high=210.55, low=210.18, close=210.5, adjustedClose=0.0, volume=51005.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=210.31, high=210.355, low=210.105, close=210.19, adjustedClose=0.0, volume=46127.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=209.99, high=210.47, low=209.86, close=210.41, adjustedClose=0.0, volume=48950.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:54:00, symbol=null, percentageChange=0.0, target=0}, 
