[
StockUnit{open=3.2698, high=3.28, low=3.2698, close=3.275, adjustedClose=0.0, volume=3710.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=3.2602, high=3.27, low=3.26, close=3.2699, adjustedClose=0.0, volume=292.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=3.26, high=3.27, low=3.26, close=3.27, adjustedClose=0.0, volume=2586.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=3.27, high=3.27, low=3.2505, close=3.27, adjustedClose=0.0, volume=133.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=3.27, high=3.27, low=3.27, close=3.27, adjustedClose=0.0, volume=43.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=3.26, high=3.26, low=3.26, close=3.26, adjustedClose=0.0, volume=62.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=3.25, high=3.2695, low=3.25, close=3.26, adjustedClose=0.0, volume=3.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=3.2699, high=3.2699, low=3.26, close=3.26, adjustedClose=0.0, volume=459.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=3.26, high=3.27, low=3.26, close=3.26, adjustedClose=0.0, volume=527.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=3.2693, high=3.2693, low=3.2693, close=3.2693, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=3.26, high=3.27, low=3.25, close=3.26, adjustedClose=0.0, volume=55.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:49:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=3.26, high=3.26, low=3.26, close=3.26, adjustedClose=0.0, volume=6.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=3.25, high=3.27, low=3.25, close=3.26, adjustedClose=0.0, volume=524.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:47:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=3.27, high=3.27, low=3.2599, close=3.2599, adjustedClose=0.0, volume=1286.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=3.28, high=3.28, low=3.27, close=3.27, adjustedClose=0.0, volume=1493.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:45:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=3.27, high=3.28, low=3.2694, close=3.28, adjustedClose=0.0, volume=3836.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:44:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=3.27, high=3.27, low=3.26, close=3.2699, adjustedClose=0.0, volume=38.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:43:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=3.2692, high=3.2692, low=3.26, close=3.26, adjustedClose=0.0, volume=3.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=3.2692, high=3.27, low=3.2692, close=3.27, adjustedClose=0.0, volume=22.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=3.25, high=3.2697, low=3.25, close=3.26, adjustedClose=0.0, volume=43.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:40:00, symbol=null, percentageChange=0.0, target=0}, 
