[
StockUnit{open=99.04, high=99.0794, low=99.0, close=99.0793, adjustedClose=0.0, volume=2884.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.02, high=99.04, low=99.0, close=99.04, adjustedClose=0.0, volume=1170.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.05, high=99.055, low=99.0, close=99.02, adjustedClose=0.0, volume=1243.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.06, high=99.08, low=99.03, close=99.055, adjustedClose=0.0, volume=874.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.01, high=99.07, low=99.01, close=99.07, adjustedClose=0.0, volume=160.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.05, high=99.0793, low=99.0, close=99.06, adjustedClose=0.0, volume=690.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.05, high=99.0793, low=99.05, close=99.06, adjustedClose=0.0, volume=212.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.06, high=99.06, low=99.05, close=99.05, adjustedClose=0.0, volume=387.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.08, high=99.08, low=99.05, close=99.06, adjustedClose=0.0, volume=125.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.0482, high=99.08, low=99.02, close=99.08, adjustedClose=0.0, volume=1136.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.02, high=99.05, low=99.02, close=99.02, adjustedClose=0.0, volume=258.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:49:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.02, high=99.05, low=99.02, close=99.02, adjustedClose=0.0, volume=8.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.05, high=99.05, low=99.02, close=99.05, adjustedClose=0.0, volume=275.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:47:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.045, high=99.0484, low=99.02, close=99.035, adjustedClose=0.0, volume=814.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.02, high=99.05, low=99.02, close=99.02, adjustedClose=0.0, volume=522.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:45:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.035, high=99.05, low=99.02, close=99.02, adjustedClose=0.0, volume=2071.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:44:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.0484, high=99.05, low=99.03, close=99.03, adjustedClose=0.0, volume=176.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:43:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.02, high=99.05, low=99.01, close=99.04, adjustedClose=0.0, volume=31.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.05, high=99.05, low=99.01, close=99.0482, adjustedClose=0.0, volume=246.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.03, high=99.05, low=99.01, close=99.05, adjustedClose=0.0, volume=391.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:40:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.02, high=99.05, low=99.02, close=99.05, adjustedClose=0.0, volume=477.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:39:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.06, high=99.09, low=99.01, close=99.0894, adjustedClose=0.0, volume=117.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:38:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.1, high=99.1, low=99.0, close=99.1, adjustedClose=0.0, volume=70.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:37:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.0997, high=99.1, low=99.05, close=99.05, adjustedClose=0.0, volume=1320.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:36:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.1, high=99.1, low=99.07, close=99.08, adjustedClose=0.0, volume=333.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.1, high=99.1, low=99.08, close=99.1, adjustedClose=0.0, volume=1520.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:34:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.0512, high=99.1, low=99.0512, close=99.099, adjustedClose=0.0, volume=161.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:33:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.08, high=99.1, low=99.0, close=99.075, adjustedClose=0.0, volume=89.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:32:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.1, high=99.1, low=99.0996, close=99.1, adjustedClose=0.0, volume=299.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:31:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.01, high=99.075, low=99.01, close=99.075, adjustedClose=0.0, volume=44.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.13, high=99.18, low=99.0012, close=99.16, adjustedClose=0.0, volume=637.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:29:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.0799, high=99.1, low=99.07, close=99.1, adjustedClose=0.0, volume=3610.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:28:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.05, high=99.08, low=99.0, close=99.08, adjustedClose=0.0, volume=2320.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:27:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.02, high=99.08, low=99.01, close=99.08, adjustedClose=0.0, volume=2101.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:26:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.05, high=99.05, low=99.002, close=99.02, adjustedClose=0.0, volume=52.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:25:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.05, high=99.06, low=99.05, close=99.06, adjustedClose=0.0, volume=59.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:24:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.07, high=99.07, low=99.0003, close=99.058, adjustedClose=0.0, volume=1064.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:23:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.0, high=99.07, low=99.0, close=99.06, adjustedClose=0.0, volume=254.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:22:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.0793, high=99.0793, low=99.02, close=99.02, adjustedClose=0.0, volume=587.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:21:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.04, high=99.08, low=99.04, close=99.07, adjustedClose=0.0, volume=28.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:20:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.05, high=99.07, low=99.0, close=99.04, adjustedClose=0.0, volume=339.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:19:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.0013, high=99.07, low=99.0, close=99.04, adjustedClose=0.0, volume=93.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:18:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.05, high=99.08, low=99.0, close=99.08, adjustedClose=0.0, volume=65.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:17:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.002, high=99.08, low=99.0, close=99.05, adjustedClose=0.0, volume=353.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:16:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.075, high=99.08, low=99.0, close=99.0, adjustedClose=0.0, volume=5282.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.0306, high=99.1, low=99.03, close=99.03, adjustedClose=0.0, volume=96.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=98.95, high=99.1, low=98.95, close=99.0315, adjustedClose=0.0, volume=293.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:13:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.04, high=99.1, low=98.97, close=98.9836, adjustedClose=0.0, volume=233.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:12:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.05, high=99.0992, low=98.941, close=99.02, adjustedClose=0.0, volume=7115.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:11:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.0999, high=99.1, low=99.05, close=99.05, adjustedClose=0.0, volume=14.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.075, high=99.15, low=99.05, close=99.0989, adjustedClose=0.0, volume=1530.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:09:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.15, high=99.18, low=99.05, close=99.08, adjustedClose=0.0, volume=166.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:08:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.16, high=99.18, low=99.0, close=99.05, adjustedClose=0.0, volume=539.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:07:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.16, high=99.18, low=99.0001, close=99.0001, adjustedClose=0.0, volume=168.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:06:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.04, high=99.23, low=99.03, close=99.15, adjustedClose=0.0, volume=10887.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:05:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.039, high=99.04, low=99.03, close=99.04, adjustedClose=0.0, volume=129.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.001, high=99.04, low=99.001, close=99.03, adjustedClose=0.0, volume=48.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:03:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.04, high=99.04, low=99.0002, close=99.0002, adjustedClose=0.0, volume=470.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:02:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.0305, high=99.05, low=99.0, close=99.05, adjustedClose=0.0, volume=815.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=98.94, high=99.05, low=98.94, close=99.05, adjustedClose=0.0, volume=1359.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.02, high=99.03, low=98.9412, close=99.0, adjustedClose=0.0, volume=503.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 18:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.01, high=99.0296, low=98.985, close=98.985, adjustedClose=0.0, volume=106.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 18:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.05, high=99.05, low=98.94, close=98.94, adjustedClose=0.0, volume=118.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 18:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.0, high=99.0485, low=99.0, close=99.0485, adjustedClose=0.0, volume=834.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 18:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.05, high=99.05, low=99.0, close=99.0, adjustedClose=0.0, volume=903.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 18:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=99.0, high=99.05, low=99.0, close=99.0498, adjustedClose=0.0, volume=202.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 18:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=98.93, high=99.0, low=98.93, close=98.9999, adjustedClose=0.0, volume=2598.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 18:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=98.97, high=98.97, low=98.94, close=98.94, adjustedClose=0.0, volume=46.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 18:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=98.95, high=98.97, low=98.925, close=98.9689, adjustedClose=0.0, volume=1414.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 18:51:00, symbol=null, percentageChange=0.0, target=0}, 
