[
StockUnit{open=211.81, high=211.81, low=211.81, close=211.81, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.86, high=211.86, low=211.86, close=211.86, adjustedClose=0.0, volume=374138.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.81, high=211.81, low=211.81, close=211.81, adjustedClose=0.0, volume=6.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.86, high=211.86, low=211.86, close=211.86, adjustedClose=0.0, volume=374138.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.8, high=211.8, low=211.8, close=211.8, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:17:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.41, high=211.41, low=211.41, close=211.41, adjustedClose=0.0, volume=12.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:16:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.41, high=211.41, low=211.41, close=211.41, adjustedClose=0.0, volume=24.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:08:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.0007, high=211.0007, low=211.0007, close=211.0007, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:13:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.86, high=211.86, low=211.86, close=211.86, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.75, high=211.75, low=210.92, close=210.92, adjustedClose=0.0, volume=274.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.86, high=211.86, low=211.75, close=211.75, adjustedClose=0.0, volume=374168.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.86, high=211.86, low=211.86, close=211.86, adjustedClose=0.0, volume=2069.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.86, high=211.86, low=211.86, close=211.86, adjustedClose=0.0, volume=8.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:03:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.86, high=211.86, low=211.86, close=211.86, adjustedClose=0.0, volume=3884.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:02:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.86, high=211.86, low=211.86, close=211.86, adjustedClose=0.0, volume=6422.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.85, high=211.93, low=211.85, close=211.86, adjustedClose=0.0, volume=776685.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=212.11, high=212.11, low=211.885, close=211.92, adjustedClose=0.0, volume=54289.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=212.095, high=212.17, low=212.06, close=212.13, adjustedClose=0.0, volume=22440.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.92, high=212.1, low=211.92, close=212.1, adjustedClose=0.0, volume=12912.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.88, high=211.95, low=211.785, close=211.92, adjustedClose=0.0, volume=14970.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.74, high=211.87, low=211.74, close=211.86, adjustedClose=0.0, volume=14490.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.75, high=211.87, low=211.74, close=211.835, adjustedClose=0.0, volume=10584.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.84, high=211.9, low=211.74, close=211.74, adjustedClose=0.0, volume=12034.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.83, high=211.91, low=211.8, close=211.83, adjustedClose=0.0, volume=9328.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.82, high=211.91, low=211.77, close=211.87, adjustedClose=0.0, volume=7426.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=212.11, high=212.11, low=211.87, close=211.87, adjustedClose=0.0, volume=13264.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=212.3101, high=212.3101, low=212.15, close=212.19, adjustedClose=0.0, volume=3946.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:49:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=212.33, high=212.355, low=212.28, close=212.3, adjustedClose=0.0, volume=3440.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=212.33, high=212.34, low=212.31, close=212.31, adjustedClose=0.0, volume=3711.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:47:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=212.41, high=212.41, low=212.32, close=212.36, adjustedClose=0.0, volume=5040.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=212.45, high=212.455, low=212.36, close=212.41, adjustedClose=0.0, volume=3952.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:45:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=212.38, high=212.49, low=212.38, close=212.45, adjustedClose=0.0, volume=3304.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:44:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=212.42, high=212.42, low=212.36, close=212.36, adjustedClose=0.0, volume=2911.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:43:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=212.46, high=212.5, low=212.42, close=212.42, adjustedClose=0.0, volume=4106.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=212.43, high=212.45, low=212.43, close=212.45, adjustedClose=0.0, volume=1497.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=212.4125, high=212.47, low=212.4125, close=212.47, adjustedClose=0.0, volume=1212.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:40:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=212.29, high=212.36, low=212.25, close=212.36, adjustedClose=0.0, volume=3369.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:39:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=212.16, high=212.3, low=212.16, close=212.3, adjustedClose=0.0, volume=6912.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:38:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=212.165, high=212.21, low=212.165, close=212.21, adjustedClose=0.0, volume=1253.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:37:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=212.07, high=212.18, low=212.07, close=212.165, adjustedClose=0.0, volume=2262.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:36:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=212.05, high=212.11, low=212.05, close=212.06, adjustedClose=0.0, volume=2527.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.97, high=212.035, low=211.97, close=212.035, adjustedClose=0.0, volume=1967.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:34:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.83, high=211.91, low=211.83, close=211.91, adjustedClose=0.0, volume=1598.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:33:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.77, high=211.82, low=211.75, close=211.82, adjustedClose=0.0, volume=2643.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:31:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.95, high=212.0255, low=211.83, close=211.83, adjustedClose=0.0, volume=18730.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.89, high=211.95, low=211.89, close=211.95, adjustedClose=0.0, volume=3841.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:29:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.9, high=211.93, low=211.89, close=211.89, adjustedClose=0.0, volume=2319.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:28:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.89, high=211.95, low=211.88, close=211.9, adjustedClose=0.0, volume=5065.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:27:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.9, high=211.9, low=211.85, close=211.885, adjustedClose=0.0, volume=3678.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:26:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.815, high=211.89, low=211.815, close=211.875, adjustedClose=0.0, volume=2183.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:25:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.815, high=211.815, low=211.815, close=211.815, adjustedClose=0.0, volume=1207.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:24:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.81, high=211.86, low=211.81, close=211.86, adjustedClose=0.0, volume=1662.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:23:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.89, high=211.89, low=211.82, close=211.83, adjustedClose=0.0, volume=2630.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:22:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.92, high=211.93, low=211.92, close=211.93, adjustedClose=0.0, volume=1214.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:21:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.89, high=211.98, low=211.87, close=211.97, adjustedClose=0.0, volume=3060.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:20:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.98, high=211.98, low=211.9, close=211.925, adjustedClose=0.0, volume=2959.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:19:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.96, high=212.05, low=211.94, close=211.97, adjustedClose=0.0, volume=4552.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:18:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.89, high=211.97, low=211.89, close=211.97, adjustedClose=0.0, volume=2457.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:17:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.81, high=211.86, low=211.7975, close=211.86, adjustedClose=0.0, volume=2351.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:16:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.83, high=211.83, low=211.8, close=211.82, adjustedClose=0.0, volume=2577.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.87, high=211.87, low=211.87, close=211.87, adjustedClose=0.0, volume=587.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.826, high=211.88, low=211.826, close=211.86, adjustedClose=0.0, volume=2260.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:13:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.715, high=211.84, low=211.715, close=211.82, adjustedClose=0.0, volume=7939.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:12:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.67, high=211.76, low=211.67, close=211.715, adjustedClose=0.0, volume=4158.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:11:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.64, high=211.67, low=211.61, close=211.67, adjustedClose=0.0, volume=2368.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.71, high=211.71, low=211.6401, close=211.6401, adjustedClose=0.0, volume=1962.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:09:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.69, high=211.69, low=211.675, close=211.675, adjustedClose=0.0, volume=798.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:08:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.665, high=211.73, low=211.66, close=211.6725, adjustedClose=0.0, volume=3409.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:07:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=211.67, high=211.67, low=211.62, close=211.66, adjustedClose=0.0, volume=1634.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:06:00, symbol=null, percentageChange=0.0, target=0}, 
