[
StockUnit{open=90.85, high=90.85, low=90.83, close=90.83, adjustedClose=0.0, volume=45.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=90.81, high=90.81, low=90.81, close=90.81, adjustedClose=0.0, volume=7.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=91.04, high=91.1, low=90.8192, close=90.8192, adjustedClose=0.0, volume=110.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=91.0, high=91.0, low=90.85, close=90.85, adjustedClose=0.0, volume=165.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=90.98, high=91.0, low=90.98, close=91.0, adjustedClose=0.0, volume=164.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=90.81, high=90.81, low=90.81, close=90.81, adjustedClose=0.0, volume=55.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:44:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=90.81, high=90.81, low=90.81, close=90.81, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:39:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=90.81, high=91.15, low=90.81, close=91.15, adjustedClose=0.0, volume=7.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:38:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=90.81, high=90.8185, low=90.81, close=90.8185, adjustedClose=0.0, volume=37.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:32:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=90.9, high=90.9, low=90.9, close=90.9, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:31:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=90.9, high=90.9, low=90.89, close=90.89, adjustedClose=0.0, volume=301.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:28:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=90.9, high=90.9, low=90.9, close=90.9, adjustedClose=0.0, volume=80.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:27:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=90.9, high=90.9, low=90.9, close=90.9, adjustedClose=0.0, volume=39.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:25:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=90.82, high=90.82, low=90.82, close=90.82, adjustedClose=0.0, volume=10.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:24:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=90.96, high=90.97, low=90.9, close=90.95, adjustedClose=0.0, volume=155.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:23:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=90.99, high=90.99, low=90.99, close=90.99, adjustedClose=0.0, volume=35.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:22:00, symbol=null, percentageChange=0.0, target=0}, 
