[
StockUnit{open=86.45, high=86.45, low=86.45, close=86.45, adjustedClose=0.0, volume=15.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=86.44, high=86.44, low=86.44, close=86.44, adjustedClose=0.0, volume=50.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:08:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.55, high=85.55, low=85.55, close=85.55, adjustedClose=0.0, volume=618384.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=86.45, high=86.45, low=86.45, close=86.45, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=86.15, high=86.15, low=86.15, close=86.15, adjustedClose=0.0, volume=50.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.55, high=85.55, low=85.55, close=85.55, adjustedClose=0.0, volume=618384.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=86.15, high=86.15, low=86.15, close=86.15, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:22:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=86.7, high=86.7, low=86.7, close=86.7, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=87.0, high=87.0, low=87.0, close=87.0, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:40:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=84.9, high=84.9, low=84.9, close=84.9, adjustedClose=0.0, volume=58.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=86.15, high=87.0, low=86.15, close=87.0, adjustedClose=0.0, volume=1594.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:34:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.55, high=85.55, low=85.55, close=85.55, adjustedClose=0.0, volume=736.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:33:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.46, high=86.5, low=85.46, close=86.5, adjustedClose=0.0, volume=241.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:26:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.55, high=85.55, low=85.55, close=85.55, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.55, high=86.23, low=85.55, close=85.55, adjustedClose=0.0, volume=860.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=86.4503, high=86.4503, low=86.4503, close=86.4503, adjustedClose=0.0, volume=10.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:13:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.55, high=85.55, low=85.55, close=85.55, adjustedClose=0.0, volume=618384.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.55, high=85.55, low=84.89, close=84.89, adjustedClose=0.0, volume=6149.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.55, high=85.55, low=85.55, close=85.55, adjustedClose=0.0, volume=17.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:03:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.55, high=85.55, low=85.55, close=85.55, adjustedClose=0.0, volume=23631.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:02:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.55, high=85.55, low=85.55, close=85.55, adjustedClose=0.0, volume=52752.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.54, high=86.4999, low=85.54, close=85.55, adjustedClose=0.0, volume=1309783.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.67, high=85.67, low=85.53, close=85.54, adjustedClose=0.0, volume=162339.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.62, high=85.695, low=85.61, close=85.68, adjustedClose=0.0, volume=76600.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.605, high=85.65, low=85.6, close=85.63, adjustedClose=0.0, volume=47197.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.55, high=85.63, low=85.51, close=85.6, adjustedClose=0.0, volume=55863.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.56, high=85.57, low=85.515, close=85.55, adjustedClose=0.0, volume=42378.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.51, high=85.59, low=85.48, close=85.57, adjustedClose=0.0, volume=31045.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.545, high=85.56, low=85.465, close=85.52, adjustedClose=0.0, volume=29620.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.58, high=85.59, low=85.525, close=85.55, adjustedClose=0.0, volume=26370.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.595, high=85.63, low=85.55, close=85.6, adjustedClose=0.0, volume=22250.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.73, high=85.73, low=85.59, close=85.59, adjustedClose=0.0, volume=36046.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.695, high=85.72, low=85.65, close=85.72, adjustedClose=0.0, volume=29365.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:49:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.72, high=85.735, low=85.69, close=85.695, adjustedClose=0.0, volume=13719.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.675, high=85.735, low=85.675, close=85.72, adjustedClose=0.0, volume=10777.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:47:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.68, high=85.68, low=85.65, close=85.675, adjustedClose=0.0, volume=13766.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.71, high=85.76, low=85.68, close=85.69, adjustedClose=0.0, volume=16323.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:45:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.67, high=85.725, low=85.67, close=85.71, adjustedClose=0.0, volume=12663.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:44:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.725, high=85.74, low=85.68, close=85.68, adjustedClose=0.0, volume=12491.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:43:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.78, high=85.78, low=85.72, close=85.725, adjustedClose=0.0, volume=8970.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.72, high=85.79, low=85.71, close=85.78, adjustedClose=0.0, volume=18270.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.77, high=85.77, low=85.695, close=85.71, adjustedClose=0.0, volume=7458.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:40:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.77, high=85.78, low=85.74, close=85.78, adjustedClose=0.0, volume=8725.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:39:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.75, high=85.775, low=85.75, close=85.77, adjustedClose=0.0, volume=6851.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:38:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.725, high=85.75, low=85.71, close=85.75, adjustedClose=0.0, volume=7848.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:37:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.7, high=85.735, low=85.7, close=85.725, adjustedClose=0.0, volume=6805.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:36:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.715, high=85.715, low=85.69, close=85.7, adjustedClose=0.0, volume=5669.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.66, high=85.725, low=85.66, close=85.715, adjustedClose=0.0, volume=10227.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:34:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.63, high=85.66, low=85.61, close=85.6535, adjustedClose=0.0, volume=10331.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:33:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.63, high=85.64, low=85.615, close=85.64, adjustedClose=0.0, volume=5968.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:32:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.66, high=85.66, low=85.62, close=85.62, adjustedClose=0.0, volume=8688.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:31:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.69, high=85.73, low=85.66, close=85.675, adjustedClose=0.0, volume=18163.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.68, high=85.71, low=85.68, close=85.69, adjustedClose=0.0, volume=6770.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:29:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.68, high=85.71, low=85.68, close=85.69, adjustedClose=0.0, volume=6385.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:28:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.67, high=85.69, low=85.635, close=85.66, adjustedClose=0.0, volume=10041.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:27:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.73, high=85.73, low=85.68, close=85.68, adjustedClose=0.0, volume=5512.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:26:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.735, high=85.76, low=85.72, close=85.72, adjustedClose=0.0, volume=5844.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:25:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.7, high=85.7499, low=85.67, close=85.7499, adjustedClose=0.0, volume=6672.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:24:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.69, high=85.72, low=85.69, close=85.7, adjustedClose=0.0, volume=13851.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:23:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.77, high=85.77, low=85.69, close=85.69, adjustedClose=0.0, volume=4784.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:22:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.805, high=85.81, low=85.77, close=85.77, adjustedClose=0.0, volume=3576.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:21:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.805, high=85.82, low=85.77, close=85.79, adjustedClose=0.0, volume=3678.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:20:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.835, high=85.84, low=85.81, close=85.81, adjustedClose=0.0, volume=4947.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:19:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.84, high=85.85, low=85.82, close=85.83, adjustedClose=0.0, volume=5421.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:18:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.81, high=85.86, low=85.81, close=85.845, adjustedClose=0.0, volume=4064.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:17:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.84, high=85.84, low=85.79, close=85.79, adjustedClose=0.0, volume=3851.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:16:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.895, high=85.895, low=85.81, close=85.835, adjustedClose=0.0, volume=8376.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.91, high=85.91, low=85.88, close=85.895, adjustedClose=0.0, volume=7794.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.91, high=85.91, low=85.89, close=85.9, adjustedClose=0.0, volume=6213.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:13:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.885, high=85.94, low=85.885, close=85.905, adjustedClose=0.0, volume=6210.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:12:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.85, high=85.91, low=85.84, close=85.895, adjustedClose=0.0, volume=6992.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:11:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.845, high=85.85, low=85.8369, close=85.845, adjustedClose=0.0, volume=4962.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.86, high=85.88, low=85.85, close=85.85, adjustedClose=0.0, volume=2332.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:09:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=85.875, high=85.88, low=85.85, close=85.85, adjustedClose=0.0, volume=5017.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:08:00, symbol=null, percentageChange=0.0, target=0}, 
