[
StockUnit{open=66.06, high=66.06, low=66.06, close=66.06, adjustedClose=0.0, volume=374952.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.06, high=66.06, low=66.06, close=66.06, adjustedClose=0.0, volume=374952.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.06, high=66.06, low=66.06, close=66.06, adjustedClose=0.0, volume=100.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:26:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.06, high=66.06, low=66.06, close=66.06, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=65.99, high=67.01, low=65.99, close=66.62, adjustedClose=0.0, volume=3467.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.06, high=66.06, low=66.06, close=66.06, adjustedClose=0.0, volume=374952.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=65.99, high=65.99, low=65.99, close=65.99, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:09:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.06, high=66.06, low=66.06, close=66.06, adjustedClose=0.0, volume=4805.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.06, high=66.06, low=66.06, close=66.06, adjustedClose=0.0, volume=5634.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:02:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.06, high=66.06, low=66.06, close=66.06, adjustedClose=0.0, volume=528.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.07, high=66.08, low=66.06, close=66.06, adjustedClose=0.0, volume=767973.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.14, high=66.14, low=66.04, close=66.08, adjustedClose=0.0, volume=112385.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.09, high=66.16, low=66.09, close=66.14, adjustedClose=0.0, volume=29878.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.12, high=66.14, low=66.08, close=66.09, adjustedClose=0.0, volume=23285.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.07, high=66.11, low=66.02, close=66.11, adjustedClose=0.0, volume=26004.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.14, high=66.14, low=66.04, close=66.06, adjustedClose=0.0, volume=26278.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.13, high=66.16, low=66.105, close=66.14, adjustedClose=0.0, volume=11050.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.15, high=66.15, low=66.11, close=66.13, adjustedClose=0.0, volume=9652.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.14, high=66.16, low=66.13, close=66.16, adjustedClose=0.0, volume=6299.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.15, high=66.15, low=66.1, close=66.15, adjustedClose=0.0, volume=9702.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.19, high=66.24, low=66.14, close=66.14, adjustedClose=0.0, volume=13389.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.21, high=66.2199, low=66.18, close=66.19, adjustedClose=0.0, volume=8119.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:49:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.22, high=66.22, low=66.21, close=66.215, adjustedClose=0.0, volume=4511.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.23, high=66.26, low=66.21, close=66.21, adjustedClose=0.0, volume=4292.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:47:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.24, high=66.24, low=66.22, close=66.22, adjustedClose=0.0, volume=3600.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.26, high=66.26, low=66.25, close=66.25, adjustedClose=0.0, volume=2108.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:45:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.235, high=66.26, low=66.235, close=66.26, adjustedClose=0.0, volume=2121.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:44:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.28, high=66.29, low=66.23, close=66.24, adjustedClose=0.0, volume=5436.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:43:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.31, high=66.31, low=66.29, close=66.29, adjustedClose=0.0, volume=3664.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.26, high=66.33, low=66.26, close=66.33, adjustedClose=0.0, volume=4942.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.265, high=66.265, low=66.245, close=66.25, adjustedClose=0.0, volume=4066.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:40:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.26, high=66.27, low=66.25, close=66.26, adjustedClose=0.0, volume=3335.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:39:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.21, high=66.265, low=66.2, close=66.26, adjustedClose=0.0, volume=7699.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:38:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.195, high=66.23, low=66.195, close=66.23, adjustedClose=0.0, volume=2167.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:37:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.17, high=66.2, low=66.165, close=66.2, adjustedClose=0.0, volume=3766.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:36:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.165, high=66.18, low=66.15, close=66.16, adjustedClose=0.0, volume=2192.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.15, high=66.16, low=66.14, close=66.16, adjustedClose=0.0, volume=2799.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:34:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.145, high=66.16, low=66.145, close=66.16, adjustedClose=0.0, volume=1139.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:33:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.165, high=66.165, low=66.14, close=66.145, adjustedClose=0.0, volume=2605.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:32:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.14, high=66.17, low=66.13, close=66.165, adjustedClose=0.0, volume=3567.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:31:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.1, high=66.15, low=66.095, close=66.14, adjustedClose=0.0, volume=4402.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.095, high=66.1, low=66.09, close=66.09, adjustedClose=0.0, volume=2397.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:29:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.07, high=66.11, low=66.07, close=66.09, adjustedClose=0.0, volume=4867.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:28:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.05, high=66.07, low=66.04, close=66.07, adjustedClose=0.0, volume=4343.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:27:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.11, high=66.115, low=66.06, close=66.06, adjustedClose=0.0, volume=4156.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:26:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.115, high=66.115, low=66.115, close=66.115, adjustedClose=0.0, volume=972.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:25:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.11, high=66.12, low=66.09, close=66.12, adjustedClose=0.0, volume=3158.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:24:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.12, high=66.12, low=66.1, close=66.115, adjustedClose=0.0, volume=2677.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:23:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.15, high=66.156, low=66.13, close=66.135, adjustedClose=0.0, volume=1853.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:22:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.145, high=66.18, low=66.14, close=66.15, adjustedClose=0.0, volume=3573.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:21:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.135, high=66.15, low=66.13, close=66.145, adjustedClose=0.0, volume=4120.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:20:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.19, high=66.19, low=66.15, close=66.15, adjustedClose=0.0, volume=3868.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:19:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.225, high=66.23, low=66.19, close=66.19, adjustedClose=0.0, volume=3779.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:18:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.21, high=66.24, low=66.21, close=66.225, adjustedClose=0.0, volume=3009.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:17:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.21, high=66.2108, low=66.2, close=66.21, adjustedClose=0.0, volume=2194.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:16:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.23, high=66.2395, low=66.22, close=66.22, adjustedClose=0.0, volume=3145.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.235, high=66.25, low=66.22, close=66.239, adjustedClose=0.0, volume=1179.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.235, high=66.235, low=66.22, close=66.235, adjustedClose=0.0, volume=937.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:13:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.26, high=66.27, low=66.23, close=66.23, adjustedClose=0.0, volume=5568.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:12:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.22, high=66.26, low=66.22, close=66.26, adjustedClose=0.0, volume=4196.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:11:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.23, high=66.23, low=66.22, close=66.225, adjustedClose=0.0, volume=1590.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.24, high=66.24, low=66.23, close=66.23, adjustedClose=0.0, volume=1162.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:09:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.24, high=66.25, low=66.22, close=66.25, adjustedClose=0.0, volume=1769.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:08:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.21, high=66.23, low=66.2, close=66.22, adjustedClose=0.0, volume=6778.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:07:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.2, high=66.21, low=66.19, close=66.2, adjustedClose=0.0, volume=1226.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:06:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.18, high=66.2, low=66.18, close=66.195, adjustedClose=0.0, volume=2636.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:05:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.16, high=66.19, low=66.16, close=66.19, adjustedClose=0.0, volume=3544.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.14, high=66.17, low=66.12, close=66.17, adjustedClose=0.0, volume=4801.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:03:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.155, high=66.155, low=66.13, close=66.13, adjustedClose=0.0, volume=2217.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:02:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.15, high=66.16, low=66.15, close=66.16, adjustedClose=0.0, volume=1436.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.13, high=66.17, low=66.13, close=66.165, adjustedClose=0.0, volume=1802.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.145, high=66.15, low=66.14, close=66.15, adjustedClose=0.0, volume=854.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.18, high=66.18, low=66.15, close=66.15, adjustedClose=0.0, volume=1667.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.19, high=66.2, low=66.17, close=66.17, adjustedClose=0.0, volume=3950.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.1892, high=66.1892, low=66.16, close=66.175, adjustedClose=0.0, volume=1386.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.18, high=66.18, low=66.18, close=66.18, adjustedClose=0.0, volume=862.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.19, high=66.19, low=66.19, close=66.19, adjustedClose=0.0, volume=1626.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.15, high=66.18, low=66.145, close=66.18, adjustedClose=0.0, volume=1442.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.15, high=66.15, low=66.14, close=66.14, adjustedClose=0.0, volume=1846.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.155, high=66.17, low=66.155, close=66.165, adjustedClose=0.0, volume=1785.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.14, high=66.16, low=66.13, close=66.155, adjustedClose=0.0, volume=4642.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:49:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.1, high=66.13, low=66.085, close=66.13, adjustedClose=0.0, volume=2476.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.11, high=66.11, low=66.09, close=66.09, adjustedClose=0.0, volume=1584.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:47:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.13, high=66.135, low=66.1, close=66.115, adjustedClose=0.0, volume=2766.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.13, high=66.145, low=66.13, close=66.14, adjustedClose=0.0, volume=577.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:45:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.145, high=66.145, low=66.13, close=66.13, adjustedClose=0.0, volume=1012.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:44:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.13, high=66.15, low=66.13, close=66.15, adjustedClose=0.0, volume=1228.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:43:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.12, high=66.14, low=66.12, close=66.14, adjustedClose=0.0, volume=1008.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.13, high=66.1342, low=66.13, close=66.1342, adjustedClose=0.0, volume=534.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.12, high=66.14, low=66.12, close=66.14, adjustedClose=0.0, volume=2593.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:40:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.13, high=66.13, low=66.11, close=66.12, adjustedClose=0.0, volume=1735.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:39:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.13, high=66.13, low=66.13, close=66.13, adjustedClose=0.0, volume=508.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:38:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.165, high=66.165, low=66.14, close=66.14, adjustedClose=0.0, volume=3549.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:37:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.165, high=66.165, low=66.165, close=66.165, adjustedClose=0.0, volume=421.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:36:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.14, high=66.16, low=66.14, close=66.16, adjustedClose=0.0, volume=1731.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.12, high=66.12, low=66.11, close=66.11, adjustedClose=0.0, volume=2003.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:34:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.12, high=66.12, low=66.11, close=66.11, adjustedClose=0.0, volume=1098.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:33:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.1038, high=66.1038, low=66.09, close=66.09, adjustedClose=0.0, volume=746.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:32:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.115, high=66.12, low=66.115, close=66.115, adjustedClose=0.0, volume=656.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:31:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.07, high=66.12, low=66.065, close=66.115, adjustedClose=0.0, volume=2731.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.045, high=66.055, low=66.045, close=66.055, adjustedClose=0.0, volume=1022.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:29:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.0563, high=66.0563, low=66.04, close=66.04, adjustedClose=0.0, volume=1416.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:28:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.09, high=66.09, low=66.085, close=66.085, adjustedClose=0.0, volume=944.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:27:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.1, high=66.12, low=66.1, close=66.11, adjustedClose=0.0, volume=2351.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:26:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.095, high=66.095, low=66.065, close=66.065, adjustedClose=0.0, volume=2096.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:25:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.07, high=66.095, low=66.07, close=66.095, adjustedClose=0.0, volume=2061.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:24:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.01, high=66.06, low=65.99, close=66.06, adjustedClose=0.0, volume=2792.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:23:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.06, high=66.06, low=66.02, close=66.03, adjustedClose=0.0, volume=3589.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:22:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.09, high=66.09, low=66.09, close=66.09, adjustedClose=0.0, volume=879.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:21:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.13, high=66.14, low=66.12, close=66.14, adjustedClose=0.0, volume=1235.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:20:00, symbol=null, percentageChange=0.0, target=0}, 
