[
StockUnit{open=8.72, high=8.72, low=8.72, close=8.72, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=8.74, high=8.74, low=8.74, close=8.74, adjustedClose=0.0, volume=387.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=8.74, high=8.74, low=8.74, close=8.74, adjustedClose=0.0, volume=10.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=8.77, high=8.77, low=8.77, close=8.77, adjustedClose=0.0, volume=50.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=8.75, high=8.75, low=8.75, close=8.75, adjustedClose=0.0, volume=250.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:47:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=8.73, high=8.73, low=8.73, close=8.73, adjustedClose=0.0, volume=570.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=8.7, high=8.7, low=8.7, close=8.7, adjustedClose=0.0, volume=25.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:44:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=8.76, high=8.76, low=8.7, close=8.7, adjustedClose=0.0, volume=670.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=8.7599, high=8.7599, low=8.7599, close=8.7599, adjustedClose=0.0, volume=2138.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:31:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=8.7692, high=8.7692, low=8.7692, close=8.7692, adjustedClose=0.0, volume=300.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=8.75, high=8.75, low=8.75, close=8.75, adjustedClose=0.0, volume=4.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:28:00, symbol=null, percentageChange=0.0, target=0}, 
