[
StockUnit{open=70.0, high=70.0, low=70.0, close=70.0, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=70.636, high=70.636, low=70.636, close=70.636, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:23:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.92, high=69.92, low=69.92, close=69.92, adjustedClose=0.0, volume=399047.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=70.68, high=70.68, low=70.68, close=70.68, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:45:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.92, high=69.92, low=69.92, close=69.92, adjustedClose=0.0, volume=399047.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=70.15, high=70.15, low=70.15, close=70.15, adjustedClose=0.0, volume=34.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:26:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=70.01, high=70.01, low=70.01, close=70.01, adjustedClose=0.0, volume=41.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:09:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=70.0, high=70.3, low=70.0, close=70.3, adjustedClose=0.0, volume=57.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:08:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=70.0, high=70.0, low=70.0, close=70.0, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:31:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=70.46, high=70.69, low=70.46, close=70.56, adjustedClose=0.0, volume=1883.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.99, high=69.99, low=69.99, close=69.99, adjustedClose=0.0, volume=68.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:12:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.92, high=69.92, low=69.92, close=69.92, adjustedClose=0.0, volume=399047.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.92, high=69.98, low=69.92, close=69.98, adjustedClose=0.0, volume=1867.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:07:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.98, high=69.98, low=69.98, close=69.98, adjustedClose=0.0, volume=2680.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:05:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.92, high=69.99, low=69.6, close=69.92, adjustedClose=0.0, volume=3923.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.88, high=69.99, low=69.88, close=69.99, adjustedClose=0.0, volume=1658.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:03:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.92, high=69.92, low=69.92, close=69.92, adjustedClose=0.0, volume=7518.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:02:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.92, high=69.92, low=69.92, close=69.92, adjustedClose=0.0, volume=32940.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.91, high=69.92, low=69.91, close=69.92, adjustedClose=0.0, volume=819469.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=70.01, high=70.02, low=69.91, close=69.91, adjustedClose=0.0, volume=83785.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:59:00, symbol=null, percentageChange=0.0, target=0}, 
