[
StockUnit{open=171.0, high=171.0, low=171.0, close=171.0, adjustedClose=0.0, volume=25.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=171.38, high=171.38, low=171.38, close=171.38, adjustedClose=0.0, volume=235255.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=172.0, high=172.0, low=172.0, close=172.0, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:49:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=175.0, high=175.0, low=175.0, close=175.0, adjustedClose=0.0, volume=6.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:37:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=171.38, high=171.38, low=171.38, close=171.38, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=171.38, high=171.38, low=171.38, close=171.38, adjustedClose=0.0, volume=235255.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=171.39, high=171.39, low=171.39, close=171.39, adjustedClose=0.0, volume=10.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:27:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=175.0, high=175.0, low=175.0, close=175.0, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=174.75, high=174.75, low=174.75, close=174.75, adjustedClose=0.0, volume=18.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:37:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=171.73, high=171.73, low=171.73, close=171.73, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:26:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=171.74, high=175.34, low=171.73, close=175.34, adjustedClose=0.0, volume=9.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=171.38, high=171.38, low=171.38, close=171.38, adjustedClose=0.0, volume=19.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=171.38, high=171.38, low=171.38, close=171.38, adjustedClose=0.0, volume=81.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:33:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=171.38, high=171.38, low=171.38, close=171.38, adjustedClose=0.0, volume=8009.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:29:00, symbol=null, percentageChange=0.0, target=0}, 
