[
StockUnit{open=51.61, high=51.61, low=51.61, close=51.61, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 19:27:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=51.62, high=51.62, low=51.62, close=51.62, adjustedClose=0.0, volume=83421.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 19:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=51.62, high=51.62, low=51.62, close=51.62, adjustedClose=0.0, volume=83421.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 18:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=51.6122, high=51.6122, low=51.6122, close=51.6122, adjustedClose=0.0, volume=8850.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 16:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=51.62, high=51.62, low=51.62, close=51.62, adjustedClose=0.0, volume=83421.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 16:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=51.62, high=51.62, low=51.62, close=51.62, adjustedClose=0.0, volume=7.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 16:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=51.35, high=51.35, low=51.35, close=51.35, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 16:03:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=51.63, high=51.63, low=51.62, close=51.62, adjustedClose=0.0, volume=186884.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 16:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=51.6, high=51.63, low=51.595, close=51.63, adjustedClose=0.0, volume=44719.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 15:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=51.59, high=51.6, low=51.59, close=51.6, adjustedClose=0.0, volume=25874.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 15:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=51.58, high=51.6, low=51.57, close=51.585, adjustedClose=0.0, volume=41009.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 15:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=51.58, high=51.59, low=51.56, close=51.58, adjustedClose=0.0, volume=20053.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 15:56:00, symbol=null, percentageChange=0.0, target=0}, 
