[
StockUnit{open=73.0, high=73.0, low=73.0, close=73.0, adjustedClose=0.0, volume=8.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.09, high=73.09, low=73.0, close=73.0, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:43:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.09, high=73.09, low=73.09, close=73.09, adjustedClose=0.0, volume=25.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:28:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.1, high=73.1, low=73.1, close=73.1, adjustedClose=0.0, volume=3.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.05, high=73.05, low=72.9805, close=72.9805, adjustedClose=0.0, volume=41.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:07:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.09, high=73.09, low=73.09, close=73.09, adjustedClose=0.0, volume=1869504.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.05, high=73.05, low=73.05, close=73.05, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.1, high=73.1, low=73.1, close=73.1, adjustedClose=0.0, volume=500.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:45:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.05, high=73.05, low=73.05, close=73.05, adjustedClose=0.0, volume=10.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.07, high=73.07, low=73.07, close=73.07, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:33:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.09, high=73.09, low=73.09, close=73.09, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:32:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.0899, high=73.0899, low=73.01, close=73.01, adjustedClose=0.0, volume=340.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:31:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.09, high=73.09, low=72.99, close=73.0199, adjustedClose=0.0, volume=1869693.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.89, high=72.89, low=72.89, close=72.89, adjustedClose=0.0, volume=68.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:28:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.0167, high=73.0167, low=73.0167, close=73.0167, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:12:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.8932, high=72.8932, low=72.8932, close=72.8932, adjustedClose=0.0, volume=700.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.02, high=73.02, low=73.02, close=73.02, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:49:00, symbol=null, percentageChange=0.0, target=0}, 
