[
StockUnit{open=34.5, high=34.5, low=34.5, close=34.5, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=34.51, high=34.51, low=34.51, close=34.51, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:08:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=34.5499, high=34.5499, low=34.5499, close=34.5499, adjustedClose=0.0, volume=8.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:36:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=34.55, high=34.55, low=34.55, close=34.55, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:18:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=34.5483, high=34.5483, low=34.5483, close=34.5483, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=34.54, high=34.55, low=34.54, close=34.55, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:44:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=34.5, high=34.5, low=34.5, close=34.5, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=34.51, high=34.51, low=34.51, close=34.51, adjustedClose=0.0, volume=3.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:27:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=34.3052, high=34.3052, low=34.3052, close=34.3052, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:26:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=34.51, high=34.51, low=34.51, close=34.51, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:21:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=34.25, high=34.25, low=34.25, close=34.25, adjustedClose=0.0, volume=50.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:17:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=34.51, high=34.51, low=34.5099, close=34.5099, adjustedClose=0.0, volume=100.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:16:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=34.48, high=34.48, low=34.48, close=34.48, adjustedClose=0.0, volume=25.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=34.5, high=34.5, low=34.5, close=34.5, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:06:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=34.51, high=34.51, low=34.51, close=34.51, adjustedClose=0.0, volume=20.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:05:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=34.51, high=34.51, low=34.51, close=34.51, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:03:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=34.5, high=34.5, low=34.5, close=34.5, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=34.3952, high=34.3952, low=34.3952, close=34.3952, adjustedClose=0.0, volume=25.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=34.2175, high=34.2175, low=34.2175, close=34.2175, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=34.72, high=34.72, low=34.72, close=34.72, adjustedClose=0.0, volume=43.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:43:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=34.51, high=34.51, low=34.51, close=34.51, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:40:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=34.51, high=34.51, low=34.51, close=34.51, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:39:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=34.48, high=34.51, low=34.48, close=34.51, adjustedClose=0.0, volume=613.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:38:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=34.55, high=34.55, low=34.51, close=34.51, adjustedClose=0.0, volume=625.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=34.2, high=34.2, low=34.2, close=34.2, adjustedClose=0.0, volume=12.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:31:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=34.52, high=34.52, low=34.52, close=34.52, adjustedClose=0.0, volume=4247.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:29:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=34.52, high=34.52, low=34.52, close=34.52, adjustedClose=0.0, volume=3594.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:26:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=34.52, high=34.52, low=34.52, close=34.52, adjustedClose=0.0, volume=142.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:25:00, symbol=null, percentageChange=0.0, target=0}, 
