[
StockUnit{open=286.17, high=286.17, low=286.17, close=286.17, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=284.39, high=284.39, low=284.39, close=284.39, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:05:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=286.2, high=286.2, low=286.2, close=286.2, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=284.33, high=284.4, low=284.33, close=284.4, adjustedClose=0.0, volume=6.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:38:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=280.9545, high=280.9545, low=280.9545, close=280.9545, adjustedClose=0.0, volume=4.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=284.33, high=284.4, low=270.47, close=270.47, adjustedClose=0.0, volume=8.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=284.37, high=284.39, low=284.37, close=284.39, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:39:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=284.07, high=284.07, low=284.07, close=284.07, adjustedClose=0.0, volume=6226.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:29:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=286.01, high=286.19, low=284.07, close=284.07, adjustedClose=0.0, volume=7910.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:26:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=284.07, high=284.07, low=284.07, close=284.07, adjustedClose=0.0, volume=290.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:20:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=284.07, high=284.07, low=284.07, close=284.07, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:19:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=284.07, high=284.07, low=284.07, close=284.07, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=286.34, high=286.46, low=284.25, close=284.73, adjustedClose=0.0, volume=1018.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=284.25, high=284.25, low=284.25, close=284.25, adjustedClose=0.0, volume=50.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:13:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=284.25, high=284.25, low=284.25, close=284.25, adjustedClose=0.0, volume=19.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:12:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=283.68, high=283.68, low=283.68, close=283.68, adjustedClose=0.0, volume=4.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:08:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=284.07, high=284.07, low=284.07, close=284.07, adjustedClose=0.0, volume=861.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:07:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=283.6, high=283.6, low=283.6, close=283.6, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:06:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=284.07, high=285.79, low=284.07, close=284.07, adjustedClose=0.0, volume=1262.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=284.07, high=284.07, low=284.07, close=284.07, adjustedClose=0.0, volume=6.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:03:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=285.0, high=285.0, low=284.07, close=284.07, adjustedClose=0.0, volume=9481.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:02:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=284.07, high=284.07, low=284.07, close=284.07, adjustedClose=0.0, volume=95959.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=284.07, high=284.07, low=284.07, close=284.07, adjustedClose=0.0, volume=797110.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=284.29, high=284.29, low=284.06, close=284.07, adjustedClose=0.0, volume=85036.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=284.23, high=284.39, low=284.225, close=284.29, adjustedClose=0.0, volume=32865.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=284.24, high=284.32, low=284.18, close=284.23, adjustedClose=0.0, volume=22583.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=283.9, high=284.25, low=283.79, close=284.23, adjustedClose=0.0, volume=21647.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=283.75, high=283.905, low=283.74, close=283.905, adjustedClose=0.0, volume=20864.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=283.93, high=284.07, low=283.74, close=283.85, adjustedClose=0.0, volume=18090.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=284.34, high=284.345, low=283.95, close=283.995, adjustedClose=0.0, volume=13923.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=284.61, high=284.635, low=284.42, close=284.42, adjustedClose=0.0, volume=27189.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=284.72, high=284.74, low=284.6, close=284.66, adjustedClose=0.0, volume=12322.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=285.0, high=285.05, low=284.79, close=284.79, adjustedClose=0.0, volume=18146.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=285.07, high=285.09, low=285.0, close=285.04, adjustedClose=0.0, volume=12830.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:49:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=285.18, high=285.18, low=285.08, close=285.14, adjustedClose=0.0, volume=5130.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=285.29, high=285.32, low=285.11, close=285.17, adjustedClose=0.0, volume=6753.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:47:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=285.285, high=285.335, low=285.195, close=285.3, adjustedClose=0.0, volume=14641.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=285.25, high=285.3, low=285.17, close=285.3, adjustedClose=0.0, volume=22425.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:45:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=285.3, high=285.33, low=285.2043, close=285.25, adjustedClose=0.0, volume=4608.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:44:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=285.22, high=285.37, low=285.21, close=285.25, adjustedClose=0.0, volume=16847.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:43:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=285.16, high=285.25, low=285.16, close=285.245, adjustedClose=0.0, volume=6994.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=285.05, high=285.16, low=285.05, close=285.09, adjustedClose=0.0, volume=2047.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=285.04, high=285.05, low=284.97, close=285.05, adjustedClose=0.0, volume=4519.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:40:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=285.0925, high=285.15, low=285.0925, close=285.125, adjustedClose=0.0, volume=4277.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:39:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=285.075, high=285.095, low=285.075, close=285.095, adjustedClose=0.0, volume=3757.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:38:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=284.93, high=285.08, low=284.8401, close=285.04, adjustedClose=0.0, volume=9499.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:37:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=285.009, high=285.009, low=284.86, close=284.91, adjustedClose=0.0, volume=2697.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:36:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=284.945, high=284.97, low=284.87, close=284.945, adjustedClose=0.0, volume=4357.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=284.925, high=284.98, low=284.925, close=284.97, adjustedClose=0.0, volume=2553.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:34:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=284.825, high=284.94, low=284.825, close=284.925, adjustedClose=0.0, volume=6309.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:33:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=284.845, high=284.87, low=284.845, close=284.87, adjustedClose=0.0, volume=1403.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:32:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=284.84, high=284.85, low=284.78, close=284.85, adjustedClose=0.0, volume=1613.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:31:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=284.93, high=284.94, low=284.87, close=284.87, adjustedClose=0.0, volume=5912.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=284.915, high=284.99, low=284.915, close=284.93, adjustedClose=0.0, volume=2136.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:29:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=284.98, high=285.03, low=284.86, close=284.86, adjustedClose=0.0, volume=4903.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:28:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=285.12, high=285.13, low=284.9805, close=284.9805, adjustedClose=0.0, volume=35202.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:27:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=285.13, high=285.16, low=285.06, close=285.1, adjustedClose=0.0, volume=6584.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:26:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=285.06, high=285.12, low=285.011, close=285.11, adjustedClose=0.0, volume=3117.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:25:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=284.98, high=285.08, low=284.97, close=285.08, adjustedClose=0.0, volume=2971.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:24:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=285.035, high=285.1099, low=284.97, close=284.97, adjustedClose=0.0, volume=1774.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:23:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=285.05, high=285.05, low=284.97, close=285.0, adjustedClose=0.0, volume=1986.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:22:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=285.255, high=285.255, low=285.08, close=285.08, adjustedClose=0.0, volume=6141.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:21:00, symbol=null, percentageChange=0.0, target=0}, 
