[
StockUnit{open=106.2, high=106.2, low=106.2, close=106.2, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 19:25:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=106.22, high=106.22, low=106.22, close=106.22, adjustedClose=0.0, volume=200785.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 19:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=106.22, high=106.22, low=106.22, close=106.22, adjustedClose=0.0, volume=200785.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 18:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=106.0, high=106.0, low=106.0, close=106.0, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 16:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=105.6382, high=105.6382, low=105.6382, close=105.6382, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 16:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=106.2468, high=106.2468, low=106.2468, close=106.2468, adjustedClose=0.0, volume=14412.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 16:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=106.22, high=106.22, low=106.22, close=106.22, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 16:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=106.22, high=106.22, low=106.22, close=106.22, adjustedClose=0.0, volume=200785.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 16:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=106.22, high=106.22, low=106.22, close=106.22, adjustedClose=0.0, volume=10.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 16:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=106.21, high=106.26, low=106.21, close=106.22, adjustedClose=0.0, volume=409888.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 16:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=106.175, high=106.28, low=106.12, close=106.26, adjustedClose=0.0, volume=80432.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 15:59:00, symbol=null, percentageChange=0.0, target=0}, 
