[
StockUnit{open=1009.0, high=1009.0, low=1008.0, close=1008.0, adjustedClose=0.0, volume=7.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=1008.0, high=1008.0, low=1008.0, close=1008.0, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=1007.7, high=1009.0, low=1007.7, close=1007.7, adjustedClose=0.0, volume=7.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=1007.7, high=1007.755, low=1007.7, close=1007.755, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=1007.75, high=1007.755, low=1007.7, close=1007.755, adjustedClose=0.0, volume=6.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=1007.755, high=1007.755, low=1007.755, close=1007.755, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=1007.755, high=1008.74, low=1007.755, close=1007.755, adjustedClose=0.0, volume=7.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=1007.755, high=1007.755, low=1007.755, close=1007.755, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:49:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=1007.755, high=1007.755, low=1007.755, close=1007.755, adjustedClose=0.0, volume=3.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:47:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=1008.74, high=1008.74, low=1007.755, close=1008.74, adjustedClose=0.0, volume=4.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=1007.755, high=1007.755, low=1007.755, close=1007.755, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:45:00, symbol=null, percentageChange=0.0, target=0}, 
