[
StockUnit{open=69.35, high=69.35, low=69.35, close=69.35, adjustedClose=0.0, volume=35.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.34, high=69.34, low=69.34, close=69.34, adjustedClose=0.0, volume=6.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:33:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=68.71, high=68.71, low=68.71, close=68.71, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:25:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.06, high=69.06, low=69.06, close=69.06, adjustedClose=0.0, volume=585496.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=68.7265, high=68.7265, low=68.7265, close=68.7265, adjustedClose=0.0, volume=30.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.06, high=69.06, low=69.06, close=69.06, adjustedClose=0.0, volume=585496.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.34, high=69.34, low=69.34, close=69.34, adjustedClose=0.0, volume=15.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:09:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.36, high=69.36, low=69.36, close=69.36, adjustedClose=0.0, volume=8.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:40:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.06, high=69.41, low=69.06, close=69.41, adjustedClose=0.0, volume=4.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.51, high=69.56, low=69.51, close=69.56, adjustedClose=0.0, volume=1319.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.06, high=69.06, low=69.06, close=69.06, adjustedClose=0.0, volume=585496.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.06, high=69.06, low=69.06, close=69.06, adjustedClose=0.0, volume=5146.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=68.83, high=69.06, low=68.83, close=69.06, adjustedClose=0.0, volume=6035.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:02:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.06, high=69.06, low=69.06, close=69.06, adjustedClose=0.0, volume=280240.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.06, high=69.06, low=69.04, close=69.06, adjustedClose=0.0, volume=1212043.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.09, high=69.09, low=68.99, close=69.06, adjustedClose=0.0, volume=71806.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.06, high=69.12, low=69.05, close=69.095, adjustedClose=0.0, volume=49575.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.025, high=69.07, low=69.01, close=69.06, adjustedClose=0.0, volume=24474.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=68.88, high=69.03, low=68.87, close=69.01, adjustedClose=0.0, volume=42095.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=68.965, high=68.97, low=68.85, close=68.885, adjustedClose=0.0, volume=46711.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=68.925, high=68.98, low=68.92, close=68.97, adjustedClose=0.0, volume=21601.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=68.95, high=68.97, low=68.91, close=68.92, adjustedClose=0.0, volume=18591.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=68.96, high=68.96, low=68.92, close=68.95, adjustedClose=0.0, volume=9710.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=68.975, high=69.0, low=68.93, close=68.955, adjustedClose=0.0, volume=11643.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.05, high=69.05, low=68.99, close=68.99, adjustedClose=0.0, volume=26594.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.095, high=69.095, low=69.05, close=69.07, adjustedClose=0.0, volume=16183.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:49:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.08, high=69.1, low=69.07, close=69.09, adjustedClose=0.0, volume=4988.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.07, high=69.09, low=69.06, close=69.07, adjustedClose=0.0, volume=10139.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:47:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.1, high=69.1, low=69.07, close=69.07, adjustedClose=0.0, volume=6258.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.08, high=69.119, low=69.0706, close=69.105, adjustedClose=0.0, volume=11517.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:45:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.09, high=69.09, low=69.07, close=69.08, adjustedClose=0.0, volume=3703.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:44:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.11, high=69.11, low=69.07, close=69.085, adjustedClose=0.0, volume=8927.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:43:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.09, high=69.14, low=69.09, close=69.11, adjustedClose=0.0, volume=7856.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.075, high=69.09, low=69.05, close=69.09, adjustedClose=0.0, volume=7685.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.07, high=69.08, low=69.055, close=69.07, adjustedClose=0.0, volume=9169.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:40:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.04, high=69.085, low=69.04, close=69.06, adjustedClose=0.0, volume=16353.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:39:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=68.99, high=69.045, low=68.99, close=69.045, adjustedClose=0.0, volume=7813.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:38:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.005, high=69.005, low=68.99, close=68.995, adjustedClose=0.0, volume=9320.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:37:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=68.9721, high=69.005, low=68.97, close=69.005, adjustedClose=0.0, volume=4561.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:36:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=68.98, high=68.99, low=68.97, close=68.99, adjustedClose=0.0, volume=4014.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=68.97, high=68.98, low=68.95, close=68.975, adjustedClose=0.0, volume=6915.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:34:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=68.98, high=68.985, low=68.955, close=68.98, adjustedClose=0.0, volume=4617.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:33:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=68.995, high=68.995, low=68.98, close=68.99, adjustedClose=0.0, volume=5894.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:32:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.015, high=69.015, low=68.985, close=68.99, adjustedClose=0.0, volume=4462.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:31:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.005, high=69.035, low=69.005, close=69.02, adjustedClose=0.0, volume=7429.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=68.99, high=69.02, low=68.99, close=69.02, adjustedClose=0.0, volume=7276.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:29:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=68.97, high=68.98, low=68.965, close=68.98, adjustedClose=0.0, volume=5207.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:28:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=68.95, high=68.97, low=68.944, close=68.97, adjustedClose=0.0, volume=6320.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:27:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=68.99, high=68.99, low=68.97, close=68.97, adjustedClose=0.0, volume=8924.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:26:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=68.99, high=69.0, low=68.98, close=69.0, adjustedClose=0.0, volume=6045.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:25:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=68.985, high=68.995, low=68.96, close=68.99, adjustedClose=0.0, volume=4931.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:24:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.0, high=69.0, low=68.96, close=68.985, adjustedClose=0.0, volume=5068.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:23:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.0, high=69.01, low=68.995, close=69.005, adjustedClose=0.0, volume=3001.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:22:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.03, high=69.05, low=69.01, close=69.01, adjustedClose=0.0, volume=3780.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:21:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.0604, high=69.07, low=69.02, close=69.03, adjustedClose=0.0, volume=6452.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:20:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.1, high=69.1, low=69.06, close=69.06, adjustedClose=0.0, volume=4352.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:19:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.13, high=69.135, low=69.09, close=69.1, adjustedClose=0.0, volume=9693.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:18:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.105, high=69.125, low=69.105, close=69.125, adjustedClose=0.0, volume=2284.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:17:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.105, high=69.11, low=69.08, close=69.11, adjustedClose=0.0, volume=4062.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:16:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.125, high=69.13, low=69.1, close=69.105, adjustedClose=0.0, volume=8671.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.12, high=69.135, low=69.12, close=69.125, adjustedClose=0.0, volume=2984.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.12, high=69.12, low=69.11, close=69.12, adjustedClose=0.0, volume=1825.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:13:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.125, high=69.14, low=69.11, close=69.12, adjustedClose=0.0, volume=5456.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:12:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.11, high=69.13, low=69.105, close=69.13, adjustedClose=0.0, volume=3019.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:11:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.11, high=69.12, low=69.1, close=69.1, adjustedClose=0.0, volume=2447.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.1, high=69.115, low=69.1, close=69.11, adjustedClose=0.0, volume=2468.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:09:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.09, high=69.11, low=69.09, close=69.1, adjustedClose=0.0, volume=3724.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:08:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.1, high=69.1, low=69.08, close=69.09, adjustedClose=0.0, volume=3599.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:07:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.08, high=69.08, low=69.07, close=69.08, adjustedClose=0.0, volume=1093.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:06:00, symbol=null, percentageChange=0.0, target=0}, 
