[
StockUnit{open=197.52, high=197.52, low=197.52, close=197.52, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=197.52, high=197.52, low=197.52, close=197.52, adjustedClose=0.0, volume=50.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:13:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=196.0, high=196.0, low=196.0, close=196.0, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:08:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=198.52, high=198.52, low=198.51, close=198.51, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:07:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=196.0, high=196.0, low=196.0, close=196.0, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:40:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=195.32, high=195.32, low=195.3, close=195.3, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:28:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=195.3, high=195.3, low=195.3, close=195.3, adjustedClose=0.0, volume=7.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=195.01, high=195.01, low=195.01, close=195.01, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:47:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=197.0, high=197.0, low=196.99, close=196.99, adjustedClose=0.0, volume=6.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=198.52, high=198.52, low=198.52, close=198.52, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:17:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=197.32, high=197.32, low=197.32, close=197.32, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=197.32, high=197.32, low=197.32, close=197.32, adjustedClose=0.0, volume=405.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:01:00, symbol=null, percentageChange=0.0, target=0}, 
