[
StockUnit{open=198.1, high=198.1, low=198.1, close=198.1, adjustedClose=0.0, volume=200.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-16 19:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=198.55, high=198.7, low=198.0, close=198.02, adjustedClose=0.0, volume=329.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-16 19:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=199.9, high=199.9, low=198.7, close=198.7, adjustedClose=0.0, volume=39.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-16 19:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=199.83, high=199.83, low=199.83, close=199.83, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-16 19:37:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=199.83, high=199.89, low=199.83, close=199.89, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-16 19:29:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=199.9, high=199.9, low=199.9, close=199.9, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-16 19:24:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=199.83, high=199.83, low=199.83, close=199.83, adjustedClose=0.0, volume=53.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-16 19:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=199.09, high=200.06, low=199.0, close=200.04, adjustedClose=0.0, volume=125.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-16 19:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=200.05, high=200.05, low=200.05, close=200.05, adjustedClose=0.0, volume=1.8975291E7, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-16 19:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=199.0, high=199.0, low=199.0, close=199.0, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-16 18:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=198.7, high=198.7, low=198.7, close=198.7, adjustedClose=0.0, volume=9.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-16 18:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=199.1, high=199.11, low=199.0, close=199.09, adjustedClose=0.0, volume=452.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-16 18:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=199.1, high=199.1, low=199.1, close=199.1, adjustedClose=0.0, volume=100.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-16 18:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=199.17, high=199.17, low=199.15, close=199.16, adjustedClose=0.0, volume=200.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-16 18:47:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=200.05, high=200.05, low=200.05, close=200.05, adjustedClose=0.0, volume=1.8975291E7, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-16 18:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=199.16, high=199.16, low=199.16, close=199.16, adjustedClose=0.0, volume=15.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-16 18:28:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=199.15, high=199.15, low=199.15, close=199.15, adjustedClose=0.0, volume=4.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-16 18:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=199.1501, high=199.1501, low=199.1501, close=199.1501, adjustedClose=0.0, volume=7.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-16 18:04:00, symbol=null, percentageChange=0.0, target=0}, 
