[
StockUnit{open=862.0, high=862.0, low=862.0, close=862.0, adjustedClose=0.0, volume=10.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:29:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=861.22, high=861.22, low=861.22, close=861.22, adjustedClose=0.0, volume=10.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:25:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=863.45, high=863.45, low=863.45, close=863.45, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=863.45, high=863.45, low=863.45, close=863.45, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:19:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=861.21, high=861.21, low=861.21, close=861.21, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:18:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=863.46, high=863.46, low=863.46, close=863.46, adjustedClose=0.0, volume=874.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:29:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=863.46, high=863.46, low=863.46, close=863.46, adjustedClose=0.0, volume=399.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:26:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=863.46, high=863.46, low=863.46, close=863.46, adjustedClose=0.0, volume=632.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:20:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=863.46, high=863.46, low=863.46, close=863.46, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=856.82, high=856.82, low=856.82, close=856.82, adjustedClose=0.0, volume=20.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=860.0, high=860.0, low=859.0, close=859.0, adjustedClose=0.0, volume=14.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=863.46, high=867.0, low=863.46, close=867.0, adjustedClose=0.0, volume=370.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=863.46, high=863.46, low=863.46, close=863.46, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:03:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=863.46, high=863.46, low=863.46, close=863.46, adjustedClose=0.0, volume=134.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:02:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=863.46, high=863.46, low=863.46, close=863.46, adjustedClose=0.0, volume=3837.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=863.45, high=863.82, low=863.45, close=863.46, adjustedClose=0.0, volume=236785.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=863.56, high=863.83, low=862.88, close=863.82, adjustedClose=0.0, volume=23669.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=863.25, high=863.59, low=863.25, close=863.59, adjustedClose=0.0, volume=7645.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=862.76, high=863.23, low=862.76, close=863.23, adjustedClose=0.0, volume=4861.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=861.915, high=862.772, low=861.915, close=862.64, adjustedClose=0.0, volume=3939.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=862.21, high=862.49, low=861.755, close=861.755, adjustedClose=0.0, volume=5002.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=861.655, high=861.78, low=861.655, close=861.78, adjustedClose=0.0, volume=1864.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=861.82, high=862.275, low=861.39, close=861.39, adjustedClose=0.0, volume=2743.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=862.28, high=862.28, low=862.28, close=862.28, adjustedClose=0.0, volume=1388.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=862.87, high=862.87, low=862.265, close=862.265, adjustedClose=0.0, volume=2537.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=863.68, high=863.68, low=863.68, close=863.68, adjustedClose=0.0, volume=1328.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:49:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=863.6, high=863.6, low=863.58, close=863.58, adjustedClose=0.0, volume=1486.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=864.055, high=864.055, low=864.055, close=864.055, adjustedClose=0.0, volume=714.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:47:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=864.05, high=864.05, low=864.05, close=864.05, adjustedClose=0.0, volume=1270.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=863.88, high=864.265, low=863.85, close=864.19, adjustedClose=0.0, volume=1987.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:45:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=864.345, high=864.415, low=864.345, close=864.415, adjustedClose=0.0, volume=708.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:44:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=864.44, high=864.44, low=864.44, close=864.44, adjustedClose=0.0, volume=926.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:43:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=864.415, high=864.93, low=864.415, close=864.93, adjustedClose=0.0, volume=1751.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=864.08, high=864.08, low=864.08, close=864.08, adjustedClose=0.0, volume=1188.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:39:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=863.75, high=863.89, low=863.75, close=863.89, adjustedClose=0.0, volume=1368.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:38:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=862.825, high=862.825, low=862.825, close=862.825, adjustedClose=0.0, volume=405.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=862.72, high=862.84, low=862.72, close=862.84, adjustedClose=0.0, volume=1150.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:34:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=862.7, high=863.195, low=862.7, close=863.195, adjustedClose=0.0, volume=835.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:33:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=862.585, high=862.585, low=862.585, close=862.585, adjustedClose=0.0, volume=337.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:31:00, symbol=null, percentageChange=0.0, target=0}, 
