[
StockUnit{open=17.8499, high=17.8499, low=17.8499, close=17.8499, adjustedClose=0.0, volume=50.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.8267, high=17.8267, low=17.8267, close=17.8267, adjustedClose=0.0, volume=3.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.8207, high=17.85, low=17.8207, close=17.85, adjustedClose=0.0, volume=33.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.835, high=17.835, low=17.835, close=17.835, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:47:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.835, high=17.835, low=17.835, close=17.835, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.83, high=17.85, low=17.83, close=17.85, adjustedClose=0.0, volume=101.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:45:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.85, high=17.85, low=17.85, close=17.85, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.82, high=17.835, low=17.82, close=17.835, adjustedClose=0.0, volume=12.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.82, high=17.85, low=17.82, close=17.85, adjustedClose=0.0, volume=26.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:40:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.83, high=17.85, low=17.83, close=17.85, adjustedClose=0.0, volume=33.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:39:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.83, high=17.83, low=17.83, close=17.83, adjustedClose=0.0, volume=250.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:38:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.83, high=17.83, low=17.83, close=17.83, adjustedClose=0.0, volume=25.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:36:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.82, high=17.82, low=17.82, close=17.82, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.8491, high=17.8491, low=17.835, close=17.835, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:34:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.85, high=17.85, low=17.85, close=17.85, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:32:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.8499, high=17.8499, low=17.8499, close=17.8499, adjustedClose=0.0, volume=35.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.85, high=17.85, low=17.835, close=17.85, adjustedClose=0.0, volume=202.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:29:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.82, high=17.82, low=17.82, close=17.82, adjustedClose=0.0, volume=150.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:27:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.84, high=17.84, low=17.83, close=17.83, adjustedClose=0.0, volume=100.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:26:00, symbol=null, percentageChange=0.0, target=0}, 
