[
StockUnit{open=75.748, high=75.748, low=75.748, close=75.748, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:09:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.99, high=74.99, low=74.99, close=74.99, adjustedClose=0.0, volume=514179.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.99, high=74.99, low=74.99, close=74.99, adjustedClose=0.0, volume=514179.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.62, high=74.62, low=74.62, close=74.62, adjustedClose=0.0, volume=42.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:28:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.62, high=74.62, low=74.62, close=74.62, adjustedClose=0.0, volume=63.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:27:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.1623, high=74.1623, low=74.1623, close=74.1623, adjustedClose=0.0, volume=86.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:24:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.99, high=74.99, low=74.99, close=74.99, adjustedClose=0.0, volume=34360.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:08:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=75.748, high=75.748, low=75.748, close=75.748, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.99, high=74.99, low=74.99, close=74.99, adjustedClose=0.0, volume=4415.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:29:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=75.49, high=75.79, low=75.49, close=75.79, adjustedClose=0.0, volume=1390.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.99, high=74.99, low=74.99, close=74.99, adjustedClose=0.0, volume=514179.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.99, high=74.99, low=74.12, close=74.12, adjustedClose=0.0, volume=774.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:05:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.99, high=74.99, low=74.99, close=74.99, adjustedClose=0.0, volume=4452.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.99, high=74.99, low=74.99, close=74.99, adjustedClose=0.0, volume=786.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:03:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.99, high=74.99, low=74.99, close=74.99, adjustedClose=0.0, volume=11271.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:02:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.99, high=74.99, low=74.99, close=74.99, adjustedClose=0.0, volume=1860.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.98, high=74.99, low=74.98, close=74.99, adjustedClose=0.0, volume=1082643.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=75.06, high=75.06, low=74.95, close=74.98, adjustedClose=0.0, volume=113856.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.98, high=75.065, low=74.97, close=75.065, adjustedClose=0.0, volume=65708.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.935, high=74.98, low=74.91, close=74.98, adjustedClose=0.0, volume=49328.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.85, high=74.94, low=74.85, close=74.935, adjustedClose=0.0, volume=55443.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.9, high=74.91, low=74.82, close=74.85, adjustedClose=0.0, volume=50674.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.87, high=74.94, low=74.84, close=74.91, adjustedClose=0.0, volume=40891.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.91, high=74.92, low=74.85, close=74.87, adjustedClose=0.0, volume=29076.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.9, high=74.915, low=74.88, close=74.91, adjustedClose=0.0, volume=18558.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.88, high=74.93, low=74.8728, close=74.9, adjustedClose=0.0, volume=21745.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.96, high=74.97, low=74.8701, close=74.88, adjustedClose=0.0, volume=20647.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=75.04, high=75.04, low=74.95, close=75.0, adjustedClose=0.0, volume=25544.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:49:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=75.05, high=75.05, low=75.02, close=75.045, adjustedClose=0.0, volume=9960.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=75.04, high=75.1, low=75.04, close=75.045, adjustedClose=0.0, volume=16659.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:47:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=75.04, high=75.04, low=75.03, close=75.04, adjustedClose=0.0, volume=7848.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=75.115, high=75.115, low=75.015, close=75.05, adjustedClose=0.0, volume=17951.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:45:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=75.065, high=75.11, low=75.065, close=75.11, adjustedClose=0.0, volume=5668.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:44:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=75.125, high=75.13, low=75.06, close=75.065, adjustedClose=0.0, volume=10947.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:43:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=75.12, high=75.14, low=75.1, close=75.11, adjustedClose=0.0, volume=24096.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=75.08, high=75.13, low=75.08, close=75.13, adjustedClose=0.0, volume=5450.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=75.08, high=75.08, low=75.05, close=75.07, adjustedClose=0.0, volume=7884.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:40:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=75.055, high=75.085, low=75.04, close=75.08, adjustedClose=0.0, volume=6799.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:39:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=75.02, high=75.055, low=75.02, close=75.055, adjustedClose=0.0, volume=4950.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:38:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=75.01, high=75.02, low=75.0, close=75.02, adjustedClose=0.0, volume=6210.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:37:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.99, high=75.02, low=74.99, close=75.02, adjustedClose=0.0, volume=2972.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:36:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=75.0, high=75.01, low=74.98, close=74.98, adjustedClose=0.0, volume=6137.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:35:00, symbol=null, percentageChange=0.0, target=0}, 
