[
StockUnit{open=56.01, high=56.01, low=56.01, close=56.01, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:27:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=55.53, high=55.53, low=55.53, close=55.53, adjustedClose=0.0, volume=6.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:21:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=56.95, high=56.95, low=56.95, close=56.95, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.0, high=57.0, low=57.0, close=57.0, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:09:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=56.95, high=56.95, low=56.95, close=56.95, adjustedClose=0.0, volume=5098.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:29:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=56.95, high=56.95, low=56.95, close=56.95, adjustedClose=0.0, volume=37.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:26:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.63, high=57.63, low=57.63, close=57.63, adjustedClose=0.0, volume=10.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:19:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.5, high=57.63, low=57.5, close=57.62, adjustedClose=0.0, volume=1271.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=56.95, high=56.95, low=56.95, close=56.95, adjustedClose=0.0, volume=8.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=56.95, high=56.95, low=56.95, close=56.95, adjustedClose=0.0, volume=373.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:02:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=56.95, high=56.95, low=56.95, close=56.95, adjustedClose=0.0, volume=1337.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=56.95, high=56.95, low=56.95, close=56.95, adjustedClose=0.0, volume=372669.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.015, high=57.015, low=56.95, close=56.95, adjustedClose=0.0, volume=38103.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.04, high=57.07, low=57.0, close=57.01, adjustedClose=0.0, volume=37889.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.069, high=57.1, low=57.04, close=57.04, adjustedClose=0.0, volume=26758.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.069, high=57.08, low=57.035, close=57.06, adjustedClose=0.0, volume=17218.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.15, high=57.17, low=56.96, close=57.05, adjustedClose=0.0, volume=16198.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.06, high=57.17, low=57.045, close=57.17, adjustedClose=0.0, volume=15629.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.11, high=57.12, low=57.04, close=57.08, adjustedClose=0.0, volume=14027.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.1, high=57.13, low=57.08, close=57.09, adjustedClose=0.0, volume=11875.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.17, high=57.17, low=57.08, close=57.0975, adjustedClose=0.0, volume=7473.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.21, high=57.315, low=57.15, close=57.15, adjustedClose=0.0, volume=15723.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.27, high=57.27, low=57.23, close=57.23, adjustedClose=0.0, volume=8370.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:49:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.23, high=57.275, low=57.23, close=57.27, adjustedClose=0.0, volume=8065.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.22, high=57.285, low=57.22, close=57.23, adjustedClose=0.0, volume=6635.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:47:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.17, high=57.22, low=57.165, close=57.22, adjustedClose=0.0, volume=8482.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.185, high=57.185, low=57.16, close=57.18, adjustedClose=0.0, volume=8670.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:45:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.19, high=57.21, low=57.19, close=57.19, adjustedClose=0.0, volume=4761.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:44:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.16, high=57.21, low=57.16, close=57.19, adjustedClose=0.0, volume=2840.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:43:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.195, high=57.229, low=57.17, close=57.19, adjustedClose=0.0, volume=10775.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.155, high=57.205, low=57.155, close=57.205, adjustedClose=0.0, volume=4593.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.035, high=57.16, low=57.035, close=57.16, adjustedClose=0.0, volume=6563.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:40:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.09, high=57.1, low=57.045, close=57.06, adjustedClose=0.0, volume=7468.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:39:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.06, high=57.09, low=57.06, close=57.08, adjustedClose=0.0, volume=29119.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:38:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.04, high=57.055, low=57.03, close=57.055, adjustedClose=0.0, volume=2043.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:37:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.05, high=57.07, low=57.05, close=57.06, adjustedClose=0.0, volume=1852.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:36:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.01, high=57.04, low=57.01, close=57.04, adjustedClose=0.0, volume=2337.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.0, high=57.03, low=57.0, close=57.03, adjustedClose=0.0, volume=4369.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:34:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=56.99, high=56.999, low=56.99, close=56.999, adjustedClose=0.0, volume=1493.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:33:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.0, high=57.01, low=56.98, close=56.99, adjustedClose=0.0, volume=3844.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:32:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=56.97, high=56.99, low=56.935, close=56.97, adjustedClose=0.0, volume=6577.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:31:00, symbol=null, percentageChange=0.0, target=0}, 
