[
StockUnit{open=158.62, high=158.62, low=158.62, close=158.62, adjustedClose=0.0, volume=20.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:39:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=158.98, high=158.98, low=158.98, close=158.98, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=158.98, high=158.98, low=158.98, close=158.98, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:26:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=159.11, high=159.11, low=159.11, close=159.11, adjustedClose=0.0, volume=62.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=158.98, high=158.98, low=158.98, close=158.98, adjustedClose=0.0, volume=7146.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:26:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=159.75, high=159.75, low=159.75, close=159.75, adjustedClose=0.0, volume=6.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:11:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=158.6, high=158.6, low=158.6, close=158.6, adjustedClose=0.0, volume=10.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=159.14, high=159.14, low=158.98, close=158.98, adjustedClose=0.0, volume=56.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=158.98, high=159.02, low=158.98, close=158.98, adjustedClose=0.0, volume=547.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:49:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=159.14, high=159.46, low=158.98, close=158.98, adjustedClose=0.0, volume=903.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:24:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=162.16, high=162.16, low=162.16, close=162.16, adjustedClose=0.0, volume=16.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:19:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=162.13, high=162.13, low=162.13, close=162.13, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:17:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=160.9, high=160.9, low=160.9, close=160.9, adjustedClose=0.0, volume=416.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=155.0, high=155.0, low=155.0, close=155.0, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:06:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=158.98, high=158.98, low=158.98, close=158.98, adjustedClose=0.0, volume=25.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:05:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=158.98, high=158.98, low=158.98, close=158.98, adjustedClose=0.0, volume=1900.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:04:00, symbol=null, percentageChange=0.0, target=0}, 
