[
StockUnit{open=39.0014, high=39.08, low=39.0014, close=39.08, adjustedClose=0.0, volume=75.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=39.01, high=39.01, low=39.01, close=39.01, adjustedClose=0.0, volume=400.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=39.08, high=39.08, low=39.08, close=39.08, adjustedClose=0.0, volume=35.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=39.08, high=39.08, low=39.08, close=39.08, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=39.08, high=39.08, low=39.08, close=39.08, adjustedClose=0.0, volume=115.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:49:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=39.05, high=39.0793, low=39.0001, close=39.0793, adjustedClose=0.0, volume=194.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=39.05, high=39.05, low=39.05, close=39.05, adjustedClose=0.0, volume=21.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:40:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=39.0797, high=39.0797, low=39.0797, close=39.0797, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:38:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=39.05, high=39.05, low=39.05, close=39.05, adjustedClose=0.0, volume=4.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:37:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=39.05, high=39.05, low=39.05, close=39.05, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=39.05, high=39.05, low=39.05, close=39.05, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:29:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=39.0, high=39.0, low=39.0, close=39.0, adjustedClose=0.0, volume=50.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:25:00, symbol=null, percentageChange=0.0, target=0}, 
