[
StockUnit{open=161.0, high=161.0, low=161.0, close=161.0, adjustedClose=0.0, volume=4.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=161.0, high=161.0, low=161.0, close=161.0, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:45:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=158.0, high=158.0, low=158.0, close=158.0, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:37:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=159.55, high=159.55, low=159.55, close=159.55, adjustedClose=0.0, volume=23.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:23:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=159.34, high=159.34, low=158.0, close=158.0, adjustedClose=0.0, volume=739594.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=158.0, high=158.0, low=158.0, close=158.0, adjustedClose=0.0, volume=10.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=158.0, high=158.0, low=158.0, close=158.0, adjustedClose=0.0, volume=10.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=160.0, high=160.0, low=160.0, close=160.0, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=159.34, high=159.34, low=159.34, close=159.34, adjustedClose=0.0, volume=739591.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=161.0, high=161.0, low=161.0, close=161.0, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=161.0, high=161.0, low=161.0, close=161.0, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:34:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=159.55, high=159.55, low=159.55, close=159.55, adjustedClose=0.0, volume=3.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:31:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=159.34, high=159.34, low=159.34, close=159.34, adjustedClose=0.0, volume=9685.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:33:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=161.5, high=161.5, low=161.5, close=161.5, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=159.34, high=159.34, low=159.34, close=159.34, adjustedClose=0.0, volume=9514.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:29:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=159.0, high=159.0, low=159.0, close=159.0, adjustedClose=0.0, volume=8.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:24:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=159.0, high=159.0, low=159.0, close=159.0, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:21:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=160.0, high=160.0, low=160.0, close=160.0, adjustedClose=0.0, volume=3.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:19:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=160.47, high=160.59, low=159.33, close=159.34, adjustedClose=0.0, volume=372.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=159.33, high=159.33, low=159.2, close=159.2, adjustedClose=0.0, volume=22.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:13:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=159.34, high=159.34, low=159.34, close=159.34, adjustedClose=0.0, volume=739591.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=159.34, high=159.34, low=159.34, close=159.34, adjustedClose=0.0, volume=4.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:09:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=159.34, high=159.34, low=159.34, close=159.34, adjustedClose=0.0, volume=4124.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:07:00, symbol=null, percentageChange=0.0, target=0}, 
