[
StockUnit{open=158.35, high=158.35, low=158.35, close=158.35, adjustedClose=0.0, volume=8.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=158.37, high=158.37, low=158.37, close=158.37, adjustedClose=0.0, volume=20.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=158.41, high=158.41, low=158.41, close=158.41, adjustedClose=0.0, volume=7.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=158.3, high=158.44, low=158.3, close=158.44, adjustedClose=0.0, volume=105.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:49:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=158.4, high=158.4, low=158.4, close=158.4, adjustedClose=0.0, volume=20.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:44:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=158.3, high=158.3, low=158.3, close=158.3, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=158.42, high=158.42, low=158.42, close=158.42, adjustedClose=0.0, volume=3.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:39:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=158.32, high=158.32, low=158.32, close=158.32, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:38:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=158.38, high=158.38, low=158.38, close=158.38, adjustedClose=0.0, volume=12.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:36:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=158.38, high=158.4, low=158.38, close=158.4, adjustedClose=0.0, volume=58.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:34:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=158.3, high=158.37, low=158.3, close=158.37, adjustedClose=0.0, volume=16.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:31:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=158.3, high=158.3, low=158.3, close=158.3, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:29:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=158.45, high=158.45, low=158.45, close=158.45, adjustedClose=0.0, volume=40.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:24:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=158.37, high=158.37, low=158.37, close=158.37, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:21:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=158.2, high=158.38, low=158.2, close=158.3799, adjustedClose=0.0, volume=943.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:16:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=158.38, high=158.38, low=158.38, close=158.38, adjustedClose=0.0, volume=10.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=158.0, high=158.0, low=158.0, close=158.0, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=158.2, high=158.2, low=158.2, close=158.2, adjustedClose=0.0, volume=25.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=158.0, high=158.0, low=158.0, close=158.0, adjustedClose=0.0, volume=15.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:51:00, symbol=null, percentageChange=0.0, target=0}, 
