[
StockUnit{open=235.1, high=235.1, low=235.1, close=235.1, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=233.24, high=233.24, low=233.24, close=233.24, adjustedClose=0.0, volume=85.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=233.07, high=233.07, low=233.0, close=233.0, adjustedClose=0.0, volume=20.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=233.02, high=233.02, low=233.02, close=233.02, adjustedClose=0.0, volume=15.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.95, high=232.95, low=232.95, close=232.95, adjustedClose=0.0, volume=3.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=233.0, high=233.0, low=233.0, close=233.0, adjustedClose=0.0, volume=1250.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.5, high=232.5, low=232.5, close=232.5, adjustedClose=0.0, volume=3.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.79, high=232.88, low=232.79, close=232.88, adjustedClose=0.0, volume=26.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:43:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.79, high=232.88, low=232.79, close=232.79, adjustedClose=0.0, volume=30.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.79, high=232.79, low=232.79, close=232.79, adjustedClose=0.0, volume=21.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:37:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.51, high=232.51, low=232.51, close=232.51, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=234.0, high=234.0, low=234.0, close=234.0, adjustedClose=0.0, volume=50.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:32:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=233.0, high=233.0, low=233.0, close=233.0, adjustedClose=0.0, volume=10.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.88, high=232.88, low=232.88, close=232.88, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:29:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.77, high=232.88, low=232.77, close=232.88, adjustedClose=0.0, volume=98.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:26:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.885, high=232.885, low=232.885, close=232.885, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:24:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.68, high=232.68, low=232.53, close=232.53, adjustedClose=0.0, volume=20.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:22:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.5157, high=232.5157, low=232.5157, close=232.5157, adjustedClose=0.0, volume=30.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:21:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.9, high=232.9, low=232.9, close=232.9, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:17:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.5168, high=232.885, low=232.5168, close=232.885, adjustedClose=0.0, volume=32.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.3, high=232.3, low=232.3, close=232.3, adjustedClose=0.0, volume=20.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:13:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.69, high=232.69, low=232.68, close=232.68, adjustedClose=0.0, volume=9.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:12:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.69, high=232.69, low=232.69, close=232.69, adjustedClose=0.0, volume=7.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:11:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.9, high=232.9, low=232.9, close=232.9, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.71, high=232.77, low=232.71, close=232.77, adjustedClose=0.0, volume=36.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:09:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.71, high=232.71, low=232.71, close=232.71, adjustedClose=0.0, volume=25.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:05:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.71, high=232.71, low=232.71, close=232.71, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.544, high=232.544, low=232.544, close=232.544, adjustedClose=0.0, volume=25.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:02:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.79, high=232.79, low=232.3, close=232.3, adjustedClose=0.0, volume=497686.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.71, high=232.71, low=232.6517, close=232.6517, adjustedClose=0.0, volume=7.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.7, high=232.71, low=232.7, close=232.71, adjustedClose=0.0, volume=20.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.68, high=232.68, low=232.68, close=232.68, adjustedClose=0.0, volume=3.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.7, high=232.7, low=232.7, close=232.7, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.7, high=232.7, low=232.7, close=232.7, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.7, high=232.7, low=232.7, close=232.7, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.7, high=232.7, low=232.7, close=232.7, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.77, high=232.77, low=232.77, close=232.77, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:40:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.3, high=232.3, low=232.3, close=232.3, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:37:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.7, high=232.7, low=232.7, close=232.7, adjustedClose=0.0, volume=25.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.69, high=232.69, low=232.69, close=232.69, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:33:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.3, high=232.52, low=232.3, close=232.52, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:32:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.79, high=232.79, low=232.79, close=232.79, adjustedClose=0.0, volume=497685.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.69, high=232.69, low=232.69, close=232.69, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:24:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.77, high=232.77, low=232.77, close=232.77, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:18:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.77, high=232.77, low=232.77, close=232.77, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:16:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.3117, high=232.3117, low=232.3117, close=232.3117, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.72, high=232.72, low=232.3, close=232.3, adjustedClose=0.0, volume=12.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:13:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.51, high=232.51, low=232.51, close=232.51, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:12:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.51, high=232.51, low=232.51, close=232.51, adjustedClose=0.0, volume=50.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:11:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.3, high=232.3, low=232.3, close=232.3, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.51, high=232.77, low=232.51, close=232.77, adjustedClose=0.0, volume=36.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:08:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.77, high=232.77, low=232.77, close=232.77, adjustedClose=0.0, volume=20.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:02:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.7778, high=232.7778, low=232.7778, close=232.7778, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.3245, high=232.3245, low=232.3245, close=232.3245, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.51, high=232.51, low=232.51, close=232.51, adjustedClose=0.0, volume=32.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.63, high=232.63, low=232.51, close=232.51, adjustedClose=0.0, volume=122.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.63, high=232.63, low=232.63, close=232.63, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:43:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.75, high=232.75, low=232.75, close=232.75, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.3, high=232.3, low=232.3, close=232.3, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.74, high=232.74, low=232.74, close=232.74, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:38:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.63, high=232.63, low=232.63, close=232.63, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:37:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.7388, high=232.74, low=232.62, close=232.74, adjustedClose=0.0, volume=156.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:34:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.3, high=232.3, low=232.3, close=232.3, adjustedClose=0.0, volume=9.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:28:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.69, high=232.74, low=232.69, close=232.74, adjustedClose=0.0, volume=22.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:23:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.62, high=232.62, low=232.3764, close=232.3764, adjustedClose=0.0, volume=201.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:22:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.61, high=232.61, low=232.61, close=232.61, adjustedClose=0.0, volume=4.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:20:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.7388, high=232.7388, low=232.7388, close=232.7388, adjustedClose=0.0, volume=25.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:16:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.5, high=232.5, low=232.5, close=232.5, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:11:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.79, high=232.79, low=232.79, close=232.79, adjustedClose=0.0, volume=3811.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.75, high=232.75, low=232.66, close=232.66, adjustedClose=0.0, volume=14.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:03:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=232.75, high=232.75, low=232.62, close=232.62, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:01:00, symbol=null, percentageChange=0.0, target=0}, 
