[
StockUnit{open=53.5, high=53.5, low=53.5, close=53.5, adjustedClose=0.0, volume=10.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=52.71, high=52.71, low=52.71, close=52.71, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=53.5, high=53.5, low=53.5, close=53.5, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:09:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=53.38, high=53.38, low=53.38, close=53.38, adjustedClose=0.0, volume=510599.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=53.5, high=53.5, low=53.5, close=53.5, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=52.71, high=52.71, low=52.71, close=52.71, adjustedClose=0.0, volume=3.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:43:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=53.38, high=53.38, low=53.38, close=53.38, adjustedClose=0.0, volume=510599.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=53.38, high=53.42, low=53.38, close=53.42, adjustedClose=0.0, volume=20.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:12:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=53.5, high=53.5, low=53.5, close=53.5, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:11:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=53.5, high=53.5, low=53.5, close=53.5, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:45:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=53.58, high=53.58, low=53.58, close=53.58, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:39:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=53.49, high=53.49, low=53.49, close=53.49, adjustedClose=0.0, volume=50.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=52.7, high=52.7, low=52.7, close=52.7, adjustedClose=0.0, volume=10.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:12:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=53.49, high=53.49, low=53.49, close=53.49, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=53.41, high=53.41, low=53.41, close=53.41, adjustedClose=0.0, volume=3.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=53.35, high=53.35, low=53.35, close=53.35, adjustedClose=0.0, volume=40.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:44:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=53.38, high=53.38, low=53.38, close=53.38, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=53.38, high=53.38, low=53.38, close=53.38, adjustedClose=0.0, volume=100.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:33:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=53.5, high=53.5, low=53.5, close=53.5, adjustedClose=0.0, volume=4.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:31:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=53.58, high=53.58, low=53.58, close=53.58, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:22:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=53.38, high=53.38, low=53.38, close=53.38, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=53.54, high=53.57, low=53.54, close=53.57, adjustedClose=0.0, volume=686.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=53.5, high=53.58, low=53.5, close=53.58, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:12:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=53.38, high=53.38, low=53.38, close=53.38, adjustedClose=0.0, volume=510599.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=53.38, high=53.5899, low=53.38, close=53.38, adjustedClose=0.0, volume=4629.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=53.38, high=53.38, low=53.38, close=53.38, adjustedClose=0.0, volume=20.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:03:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=53.38, high=53.38, low=53.38, close=53.38, adjustedClose=0.0, volume=7337.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:02:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=53.38, high=53.38, low=53.38, close=53.38, adjustedClose=0.0, volume=11058.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=53.39, high=53.39, low=53.38, close=53.38, adjustedClose=0.0, volume=1080278.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=53.43, high=53.44, low=53.38, close=53.39, adjustedClose=0.0, volume=91752.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=53.43, high=53.47, low=53.425, close=53.44, adjustedClose=0.0, volume=82429.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=53.41, high=53.43, low=53.4, close=53.425, adjustedClose=0.0, volume=33423.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:57:00, symbol=null, percentageChange=0.0, target=0}, 
