[
StockUnit{open=596.5454, high=597.94, low=596.5454, close=597.94, adjustedClose=0.0, volume=51.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=596.5374, high=596.5374, low=596.5374, close=596.5374, adjustedClose=0.0, volume=50.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=596.5187, high=596.6, low=596.5187, close=596.6, adjustedClose=0.0, volume=101.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.0, high=598.0, low=598.0, close=598.0, adjustedClose=0.0, volume=3.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=596.5, high=596.5, low=596.5, close=596.5, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.48, high=598.48, low=598.48, close=598.48, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:44:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.33, high=598.33, low=598.0, close=598.0, adjustedClose=0.0, volume=57.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:38:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=596.5, high=596.5, low=596.5, close=596.5, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:36:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.33, high=598.33, low=598.33, close=598.33, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=596.5, high=596.5, low=596.5, close=596.5, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:29:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.0, high=598.0, low=598.0, close=598.0, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:09:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.54, high=598.54, low=598.54, close=598.54, adjustedClose=0.0, volume=158532.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.25, high=598.25, low=598.25, close=598.25, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.0, high=598.0, low=598.0, close=598.0, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:36:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.0003, high=598.0003, low=598.0003, close=598.0003, adjustedClose=0.0, volume=200.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.54, high=598.54, low=598.54, close=598.54, adjustedClose=0.0, volume=158532.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.0025, high=598.0025, low=598.0025, close=598.0025, adjustedClose=0.0, volume=20.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.48, high=598.48, low=598.48, close=598.48, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.0, high=598.0, low=598.0, close=598.0, adjustedClose=0.0, volume=6.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.0245, high=598.0245, low=598.0245, close=598.0245, adjustedClose=0.0, volume=3.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.01, high=598.01, low=598.0, close=598.0, adjustedClose=0.0, volume=13.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=597.0, high=597.0, low=597.0, close=597.0, adjustedClose=0.0, volume=10.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:31:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=597.0, high=597.0, low=597.0, close=597.0, adjustedClose=0.0, volume=45.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=573.7772, high=573.7772, low=573.7772, close=573.7772, adjustedClose=0.0, volume=68.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.08, high=598.08, low=573.7772, close=573.7772, adjustedClose=0.0, volume=73.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:13:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=597.0, high=597.0, low=597.0, close=597.0, adjustedClose=0.0, volume=75.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:08:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.0, high=598.0, low=598.0, close=598.0, adjustedClose=0.0, volume=20.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:07:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.54, high=598.54, low=598.54, close=598.54, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:05:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.54, high=598.54, low=598.54, close=598.54, adjustedClose=0.0, volume=42.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.0, high=598.0, low=552.2928, close=552.2928, adjustedClose=0.0, volume=36.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.0, high=598.0, low=598.0, close=598.0, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.49, high=598.49, low=598.49, close=598.49, adjustedClose=0.0, volume=7.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.0, high=598.0, low=598.0, close=598.0, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.3398, high=598.3398, low=598.3398, close=598.3398, adjustedClose=0.0, volume=7.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.5, high=598.5, low=598.5, close=598.5, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.12, high=598.12, low=598.0, close=598.0, adjustedClose=0.0, volume=6.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:45:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=597.96, high=598.1, low=597.96, close=598.1, adjustedClose=0.0, volume=36.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:43:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.22, high=598.22, low=598.22, close=598.22, adjustedClose=0.0, volume=8.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:33:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.53, high=598.53, low=598.16, close=598.16, adjustedClose=0.0, volume=303.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.13, high=598.13, low=598.05, close=598.05, adjustedClose=0.0, volume=11.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:28:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.53, high=598.53, low=598.53, close=598.53, adjustedClose=0.0, volume=75.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:25:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=592.1635, high=592.1635, low=592.1635, close=592.1635, adjustedClose=0.0, volume=15.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:21:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.54, high=598.54, low=598.54, close=598.54, adjustedClose=0.0, volume=487.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:20:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.08, high=598.08, low=597.76, close=598.0, adjustedClose=0.0, volume=923.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:18:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.54, high=598.54, low=598.54, close=598.54, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.03, high=598.06, low=598.02, close=598.06, adjustedClose=0.0, volume=104.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:13:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.36, high=598.54, low=598.0, close=598.28, adjustedClose=0.0, volume=220.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:11:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.54, high=598.54, low=598.36, close=598.36, adjustedClose=0.0, volume=158533.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.02, high=598.02, low=598.0, close=598.0, adjustedClose=0.0, volume=61.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:09:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.49, high=598.49, low=598.49, close=598.49, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:08:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=599.0, high=599.0, low=598.54, close=598.54, adjustedClose=0.0, volume=1246.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:06:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.54, high=598.54, low=598.54, close=598.54, adjustedClose=0.0, volume=777.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:05:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.54, high=598.66, low=598.54, close=598.54, adjustedClose=0.0, volume=721.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.54, high=598.54, low=598.54, close=598.54, adjustedClose=0.0, volume=782.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:03:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.54, high=598.54, low=598.54, close=598.54, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:02:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.54, high=598.54, low=598.54, close=598.54, adjustedClose=0.0, volume=6534.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.73, high=598.73, low=596.61, close=598.54, adjustedClose=0.0, volume=333809.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=599.11, high=599.2, low=598.32, close=598.73, adjustedClose=0.0, volume=34335.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.825, high=599.28, low=598.825, close=599.18, adjustedClose=0.0, volume=20662.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=598.52, high=598.9502, low=598.51, close=598.87, adjustedClose=0.0, volume=10143.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:57:00, symbol=null, percentageChange=0.0, target=0}, 
