[
StockUnit{open=73.98, high=73.98, low=73.98, close=73.98, adjustedClose=0.0, volume=246716.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.98, high=73.98, low=73.98, close=73.98, adjustedClose=0.0, volume=246716.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.98, high=73.98, low=73.98, close=73.98, adjustedClose=0.0, volume=902526.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.5848, high=74.5848, low=74.5848, close=74.5848, adjustedClose=0.0, volume=25.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:32:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.88, high=74.88, low=74.88, close=74.88, adjustedClose=0.0, volume=3.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:28:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.74, high=73.74, low=73.74, close=73.74, adjustedClose=0.0, volume=9.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.98, high=73.98, low=73.98, close=73.98, adjustedClose=0.0, volume=2132.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.98, high=73.98, low=73.98, close=73.98, adjustedClose=0.0, volume=7558.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:29:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.73, high=73.74, low=73.73, close=73.74, adjustedClose=0.0, volume=20.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:24:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.98, high=73.98, low=73.98, close=73.98, adjustedClose=0.0, volume=109.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:20:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.98, high=73.98, low=73.98, close=73.98, adjustedClose=0.0, volume=246716.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.73, high=73.73, low=73.73, close=73.73, adjustedClose=0.0, volume=17.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:05:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.98, high=73.98, low=73.98, close=73.98, adjustedClose=0.0, volume=8.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.98, high=73.98, low=73.98, close=73.98, adjustedClose=0.0, volume=82686.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.995, high=73.995, low=73.98, close=73.98, adjustedClose=0.0, volume=512662.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.97, high=74.02, low=73.93, close=73.99, adjustedClose=0.0, volume=81269.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.94, high=73.98, low=73.895, close=73.98, adjustedClose=0.0, volume=41469.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.865, high=73.94, low=73.86, close=73.94, adjustedClose=0.0, volume=31112.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.83, high=73.9, low=73.82, close=73.865, adjustedClose=0.0, volume=30637.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.78, high=73.82, low=73.731, close=73.82, adjustedClose=0.0, volume=55672.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.77, high=73.8, low=73.77, close=73.78, adjustedClose=0.0, volume=12867.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.83, high=73.83, low=73.77, close=73.77, adjustedClose=0.0, volume=8287.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.8, high=73.83, low=73.79, close=73.82, adjustedClose=0.0, volume=10064.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.81, high=73.81, low=73.77, close=73.8, adjustedClose=0.0, volume=13975.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.87, high=73.875, low=73.79, close=73.81, adjustedClose=0.0, volume=28188.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.93, high=73.94, low=73.82, close=73.845, adjustedClose=0.0, volume=9092.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:49:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.98, high=73.995, low=73.93, close=73.94, adjustedClose=0.0, volume=9037.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.01, high=74.01, low=73.97, close=73.98, adjustedClose=0.0, volume=9308.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:47:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.025, high=74.03, low=74.01, close=74.01, adjustedClose=0.0, volume=5689.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.98, high=74.035, low=73.98, close=74.025, adjustedClose=0.0, volume=6057.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:45:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.03, high=74.035, low=73.97, close=73.97, adjustedClose=0.0, volume=6688.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:44:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.03, high=74.07, low=74.02, close=74.045, adjustedClose=0.0, volume=16489.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:43:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.0399, high=74.04, low=74.03, close=74.03, adjustedClose=0.0, volume=4124.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.02, high=74.035, low=74.01, close=74.035, adjustedClose=0.0, volume=5316.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.01, high=74.02, low=73.99, close=74.02, adjustedClose=0.0, volume=6969.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:40:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.02, high=74.045, low=74.02, close=74.02, adjustedClose=0.0, volume=12960.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:39:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.01, high=74.03, low=74.01, close=74.025, adjustedClose=0.0, volume=6924.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:38:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.005, high=74.02, low=74.0, close=74.0, adjustedClose=0.0, volume=14865.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:37:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.9648, high=74.017, low=73.9648, close=74.01, adjustedClose=0.0, volume=12251.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:36:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.985, high=73.985, low=73.98, close=73.98, adjustedClose=0.0, volume=2021.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.967, high=73.989, low=73.955, close=73.985, adjustedClose=0.0, volume=6213.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:34:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.97, high=73.98, low=73.95, close=73.955, adjustedClose=0.0, volume=7305.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:33:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.05, high=74.05, low=73.96, close=73.97, adjustedClose=0.0, volume=10755.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:32:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.045, high=74.057, low=74.04, close=74.055, adjustedClose=0.0, volume=6684.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:31:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.05, high=74.059, low=74.03, close=74.045, adjustedClose=0.0, volume=7499.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.09, high=74.1, low=74.05, close=74.05, adjustedClose=0.0, volume=4060.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:29:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.11, high=74.11, low=74.09, close=74.09, adjustedClose=0.0, volume=1851.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:28:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=74.11, high=74.13, low=74.09, close=74.13, adjustedClose=0.0, volume=5764.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:27:00, symbol=null, percentageChange=0.0, target=0}, 
