[
StockUnit{open=18.0319, high=18.0319, low=18.0319, close=18.0319, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 19:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.1, high=18.1, low=18.1, close=18.1, adjustedClose=0.0, volume=6.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 19:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.04, high=18.04, low=18.04, close=18.04, adjustedClose=0.0, volume=608961.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 19:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.04, high=18.04, low=18.03, close=18.03, adjustedClose=0.0, volume=608966.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 18:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.1081, high=18.1081, low=18.1081, close=18.1081, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 17:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.11, high=18.11, low=18.11, close=18.11, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 17:25:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.1086, high=18.1086, low=18.1086, close=18.1086, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 16:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.03, high=18.03, low=18.03, close=18.03, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 16:47:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.04, high=18.04, low=18.04, close=18.04, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 16:45:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.11, high=18.11, low=18.11, close=18.11, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 16:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.04, high=18.04, low=18.04, close=18.04, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 16:28:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.0302, high=18.0302, low=18.0302, close=18.0302, adjustedClose=0.0, volume=54.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 16:21:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.11, high=18.11, low=18.11, close=18.11, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 16:19:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.04, high=18.04, low=18.04, close=18.04, adjustedClose=0.0, volume=608961.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 16:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.04, high=18.11, low=18.04, close=18.11, adjustedClose=0.0, volume=4145.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 16:05:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.04, high=18.04, low=18.04, close=18.04, adjustedClose=0.0, volume=7.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 16:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.03, high=18.03, low=18.03, close=18.03, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 16:03:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.04, high=18.04, low=18.04, close=18.04, adjustedClose=0.0, volume=435.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 16:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.04, high=18.115, low=18.04, close=18.04, adjustedClose=0.0, volume=1306180.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 16:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.045, high=18.06, low=18.035, close=18.05, adjustedClose=0.0, volume=270823.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 15:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.055, high=18.06, low=18.04, close=18.045, adjustedClose=0.0, volume=186677.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 15:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.055, high=18.06, low=18.04, close=18.05, adjustedClose=0.0, volume=133811.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 15:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.055, high=18.065, low=18.041, close=18.05, adjustedClose=0.0, volume=182536.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 15:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.065, high=18.07, low=18.051, close=18.055, adjustedClose=0.0, volume=83628.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 15:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.065, high=18.07, low=18.055, close=18.065, adjustedClose=0.0, volume=86995.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 15:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.07, high=18.07, low=18.06, close=18.065, adjustedClose=0.0, volume=37984.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 15:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.065, high=18.07, low=18.065, close=18.065, adjustedClose=0.0, volume=36204.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 15:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.075, high=18.08, low=18.065, close=18.065, adjustedClose=0.0, volume=47569.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 15:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.07, high=18.085, low=18.07, close=18.075, adjustedClose=0.0, volume=96404.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 15:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.075, high=18.08, low=18.075, close=18.075, adjustedClose=0.0, volume=28820.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 15:49:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.075, high=18.08, low=18.075, close=18.075, adjustedClose=0.0, volume=26515.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 15:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.07, high=18.08, low=18.07, close=18.075, adjustedClose=0.0, volume=59912.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-22 15:47:00, symbol=null, percentageChange=0.0, target=0}, 
