[
StockUnit{open=143.21, high=143.21, low=143.21, close=143.21, adjustedClose=0.0, volume=39978.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=143.21, high=143.21, low=143.21, close=143.21, adjustedClose=0.0, volume=39978.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=142.53, high=142.53, low=142.53, close=142.53, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:09:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=141.75, high=141.75, low=141.75, close=141.75, adjustedClose=0.0, volume=126.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=143.21, high=143.21, low=143.21, close=143.21, adjustedClose=0.0, volume=39978.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=142.5, high=142.5, low=142.5, close=142.5, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:09:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=143.21, high=143.21, low=143.21, close=143.21, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=143.21, high=143.21, low=143.21, close=143.21, adjustedClose=0.0, volume=39.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=143.2, high=143.21, low=143.09, close=143.21, adjustedClose=0.0, volume=82063.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=143.235, high=143.26, low=143.08, close=143.09, adjustedClose=0.0, volume=10861.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=143.19, high=143.29, low=143.19, close=143.27, adjustedClose=0.0, volume=5275.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=143.125, high=143.165, low=143.015, close=143.165, adjustedClose=0.0, volume=5280.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=142.83, high=143.14, low=142.83, close=143.14, adjustedClose=0.0, volume=5126.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=142.815, high=142.82, low=142.675, close=142.82, adjustedClose=0.0, volume=1819.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=142.785, high=142.785, low=142.785, close=142.785, adjustedClose=0.0, volume=730.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=142.8, high=142.89, low=142.73, close=142.83, adjustedClose=0.0, volume=5010.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:52:00, symbol=null, percentageChange=0.0, target=0}, 
