[
StockUnit{open=30.75, high=30.75, low=30.69, close=30.75, adjustedClose=0.0, volume=725.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.73, high=30.75, low=30.73, close=30.73, adjustedClose=0.0, volume=1841.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.72, high=30.75, low=30.72, close=30.75, adjustedClose=0.0, volume=1256.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.7, high=30.72, low=30.7, close=30.7199, adjustedClose=0.0, volume=169.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.71, high=30.72, low=30.68, close=30.7, adjustedClose=0.0, volume=85.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.68, high=30.72, low=30.68, close=30.72, adjustedClose=0.0, volume=462.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.72, high=30.72, low=30.695, close=30.7193, adjustedClose=0.0, volume=114.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.7, high=30.72, low=30.7, close=30.72, adjustedClose=0.0, volume=175.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.71, high=30.72, low=30.7, close=30.7, adjustedClose=0.0, volume=42.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.71, high=30.71, low=30.7, close=30.7, adjustedClose=0.0, volume=745.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.7, high=30.72, low=30.68, close=30.72, adjustedClose=0.0, volume=615.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:49:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.72, high=30.72, low=30.7, close=30.7, adjustedClose=0.0, volume=146.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.67, high=30.71, low=30.67, close=30.7092, adjustedClose=0.0, volume=140.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:47:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.71, high=30.71, low=30.68, close=30.71, adjustedClose=0.0, volume=46.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.7, high=30.72, low=30.67, close=30.71, adjustedClose=0.0, volume=617.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:45:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.68, high=30.72, low=30.68, close=30.7189, adjustedClose=0.0, volume=260.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:44:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.72, high=30.72, low=30.68, close=30.72, adjustedClose=0.0, volume=997.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:43:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.72, high=30.72, low=30.63, close=30.71, adjustedClose=0.0, volume=167.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.65, high=30.72, low=30.65, close=30.72, adjustedClose=0.0, volume=275.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.6699, high=30.6699, low=30.65, close=30.65, adjustedClose=0.0, volume=211.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:40:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.67, high=30.67, low=30.66, close=30.66, adjustedClose=0.0, volume=141.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:39:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.6808, high=30.71, low=30.67, close=30.67, adjustedClose=0.0, volume=330.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:38:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.68, high=30.7, low=30.66, close=30.69, adjustedClose=0.0, volume=172.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:37:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.71, high=30.71, low=30.675, close=30.68, adjustedClose=0.0, volume=95.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:36:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.71, high=30.71, low=30.68, close=30.7, adjustedClose=0.0, volume=13.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:34:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.7, high=30.7, low=30.6404, close=30.7, adjustedClose=0.0, volume=432.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:33:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.63, high=30.7, low=30.63, close=30.6317, adjustedClose=0.0, volume=133.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:32:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.7, high=30.7, low=30.63, close=30.63, adjustedClose=0.0, volume=102.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:31:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.63, high=30.7, low=30.63, close=30.7, adjustedClose=0.0, volume=574.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.66, high=30.67, low=30.63, close=30.67, adjustedClose=0.0, volume=82.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:29:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.68, high=30.68, low=30.6313, close=30.6694, adjustedClose=0.0, volume=162.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:28:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.6301, high=30.6301, low=30.6301, close=30.6301, adjustedClose=0.0, volume=3.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:27:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.69, high=30.71, low=30.65, close=30.65, adjustedClose=0.0, volume=1268.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:26:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.73, high=30.74, low=30.69, close=30.69, adjustedClose=0.0, volume=541.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:25:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.74, high=30.74, low=30.72, close=30.73, adjustedClose=0.0, volume=662.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:24:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.74, high=30.74, low=30.73, close=30.74, adjustedClose=0.0, volume=181.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:23:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.73, high=30.74, low=30.73, close=30.74, adjustedClose=0.0, volume=46.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:22:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.73, high=30.74, low=30.73, close=30.74, adjustedClose=0.0, volume=173.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:21:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.74, high=30.74, low=30.73, close=30.73, adjustedClose=0.0, volume=11.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:20:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.62, high=30.74, low=30.62, close=30.74, adjustedClose=0.0, volume=411.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:19:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.7, high=30.74, low=30.7, close=30.74, adjustedClose=0.0, volume=2238.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:18:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.71, high=30.71, low=30.7, close=30.7, adjustedClose=0.0, volume=653.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:17:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.6985, high=30.72, low=30.6985, close=30.72, adjustedClose=0.0, volume=507.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:16:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.66, high=30.7, low=30.66, close=30.6999, adjustedClose=0.0, volume=85.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.65, high=30.7, low=30.65, close=30.68, adjustedClose=0.0, volume=1055.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.66, high=30.68, low=30.65, close=30.68, adjustedClose=0.0, volume=275.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:13:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.67, high=30.67, low=30.645, close=30.66, adjustedClose=0.0, volume=62.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:12:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.67, high=30.68, low=30.66, close=30.66, adjustedClose=0.0, volume=153.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:11:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.66, high=30.68, low=30.66, close=30.68, adjustedClose=0.0, volume=645.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.67, high=30.68, low=30.62, close=30.62, adjustedClose=0.0, volume=1033.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:09:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.65, high=30.67, low=30.65, close=30.67, adjustedClose=0.0, volume=151.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:08:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.64, high=30.65, low=30.63, close=30.63, adjustedClose=0.0, volume=99.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:07:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.635, high=30.64, low=30.63, close=30.63, adjustedClose=0.0, volume=122.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:06:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.67, high=30.67, low=30.63, close=30.63, adjustedClose=0.0, volume=120.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:05:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.67, high=30.68, low=30.67, close=30.68, adjustedClose=0.0, volume=28.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.67, high=30.67, low=30.67, close=30.67, adjustedClose=0.0, volume=16.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:03:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.66, high=30.67, low=30.66, close=30.67, adjustedClose=0.0, volume=263.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:02:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.65, high=30.65, low=30.63, close=30.64, adjustedClose=0.0, volume=241.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.92, high=30.92, low=30.65, close=30.6599, adjustedClose=0.0, volume=596235.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.65, high=30.66, low=30.65, close=30.65, adjustedClose=0.0, volume=148.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 18:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.65, high=30.68, low=30.65, close=30.66, adjustedClose=0.0, volume=1525.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 18:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.66, high=30.66, low=30.65, close=30.66, adjustedClose=0.0, volume=85.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 18:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.67, high=30.68, low=30.66, close=30.66, adjustedClose=0.0, volume=201.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 18:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.68, high=30.68, low=30.67, close=30.68, adjustedClose=0.0, volume=37.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 18:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.67, high=30.68, low=30.67, close=30.67, adjustedClose=0.0, volume=698.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 18:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.67, high=30.68, low=30.66, close=30.67, adjustedClose=0.0, volume=336.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 18:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.67, high=30.68, low=30.65, close=30.65, adjustedClose=0.0, volume=2328.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 18:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.67, high=30.67, low=30.6508, close=30.67, adjustedClose=0.0, volume=211.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 18:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.66, high=30.68, low=30.65, close=30.67, adjustedClose=0.0, volume=241.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 18:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.68, high=30.68, low=30.65, close=30.65, adjustedClose=0.0, volume=177.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 18:49:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.66, high=30.7, low=30.66, close=30.68, adjustedClose=0.0, volume=196.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 18:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.68, high=30.7, low=30.65, close=30.7, adjustedClose=0.0, volume=197.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 18:47:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.68, high=30.73, low=30.65, close=30.68, adjustedClose=0.0, volume=497.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 18:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.7, high=30.72, low=30.65, close=30.66, adjustedClose=0.0, volume=614.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 18:45:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.65, high=30.715, low=30.64, close=30.7, adjustedClose=0.0, volume=48.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 18:44:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.69, high=30.73, low=30.65, close=30.73, adjustedClose=0.0, volume=258.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 18:43:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.7, high=30.72, low=30.65, close=30.69, adjustedClose=0.0, volume=231.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 18:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.66, high=30.66, low=30.63, close=30.64, adjustedClose=0.0, volume=196.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 18:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.64, high=30.7, low=30.63, close=30.66, adjustedClose=0.0, volume=742.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 18:40:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.64, high=30.68, low=30.64, close=30.68, adjustedClose=0.0, volume=427.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 18:39:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.68, high=30.68, low=30.64, close=30.67, adjustedClose=0.0, volume=844.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 18:38:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.68, high=30.68, low=30.65, close=30.68, adjustedClose=0.0, volume=52.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 18:37:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=30.68, high=30.68, low=30.65, close=30.68, adjustedClose=0.0, volume=272.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 18:36:00, symbol=null, percentageChange=0.0, target=0}, 
