[
StockUnit{open=8.23, high=8.23, low=8.2, close=8.23, adjustedClose=0.0, volume=1476.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-16 19:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=8.2683, high=8.2683, low=8.23, close=8.2401, adjustedClose=0.0, volume=1565.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-16 19:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=8.28, high=8.28, low=8.23, close=8.23, adjustedClose=0.0, volume=614.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-16 19:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=8.25, high=8.28, low=8.23, close=8.23, adjustedClose=0.0, volume=142.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-16 19:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=8.25, high=8.25, low=8.25, close=8.25, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-16 19:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=8.23, high=8.23, low=8.22, close=8.2299, adjustedClose=0.0, volume=958.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-16 19:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=8.23, high=8.23, low=8.22, close=8.22, adjustedClose=0.0, volume=3500.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-16 19:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=8.23, high=8.23, low=8.23, close=8.23, adjustedClose=0.0, volume=4000.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-16 19:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=8.23, high=8.23, low=8.1, close=8.1001, adjustedClose=0.0, volume=10105.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-16 19:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=8.24, high=8.24, low=8.21, close=8.22, adjustedClose=0.0, volume=2971.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-16 19:49:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=8.25, high=8.25, low=8.22, close=8.22, adjustedClose=0.0, volume=2071.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-16 19:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=8.25, high=8.2797, low=8.25, close=8.2783, adjustedClose=0.0, volume=2543.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-16 19:47:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=8.25, high=8.25, low=8.25, close=8.25, adjustedClose=0.0, volume=1000.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-16 19:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=8.27, high=8.27, low=8.27, close=8.27, adjustedClose=0.0, volume=10.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-16 19:44:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=8.2507, high=8.26, low=8.25, close=8.25, adjustedClose=0.0, volume=2800.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-16 19:43:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=8.3, high=8.3, low=8.3, close=8.3, adjustedClose=0.0, volume=89.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-16 19:39:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=8.34, high=8.34, low=8.3, close=8.3, adjustedClose=0.0, volume=6205.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-16 19:38:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=8.3, high=8.3, low=8.3, close=8.3, adjustedClose=0.0, volume=11.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-16 19:37:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=8.35, high=8.35, low=8.3, close=8.3, adjustedClose=0.0, volume=301.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-16 19:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=8.34, high=8.34, low=8.34, close=8.34, adjustedClose=0.0, volume=10.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-16 19:34:00, symbol=null, percentageChange=0.0, target=0}, 
