[
StockUnit{open=117.16, high=117.16, low=117.16, close=117.16, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:33:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=117.16, high=117.16, low=117.16, close=117.16, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:25:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=117.18, high=117.18, low=117.18, close=117.18, adjustedClose=0.0, volume=347394.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=117.16, high=117.16, low=117.16, close=117.16, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=117.16, high=117.16, low=117.16, close=117.16, adjustedClose=0.0, volume=8.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:36:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=117.18, high=117.18, low=117.18, close=117.18, adjustedClose=0.0, volume=347394.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=116.96, high=116.96, low=116.95, close=116.95, adjustedClose=0.0, volume=33.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:11:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=116.96, high=116.96, low=116.96, close=116.96, adjustedClose=0.0, volume=50.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=117.04, high=117.05, low=117.03, close=117.03, adjustedClose=0.0, volume=4.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:07:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=117.17, high=117.17, low=117.17, close=117.17, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=117.17, high=117.17, low=117.1699, close=117.1699, adjustedClose=0.0, volume=3.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:45:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=117.0262, high=117.0262, low=117.0262, close=117.0262, adjustedClose=0.0, volume=27.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=116.95, high=116.95, low=116.94, close=116.95, adjustedClose=0.0, volume=602.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=116.95, high=116.95, low=116.95, close=116.95, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:49:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=116.95, high=116.95, low=116.95, close=116.95, adjustedClose=0.0, volume=300.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:40:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=115.0, high=115.0, low=115.0, close=115.0, adjustedClose=0.0, volume=6.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:31:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=117.18, high=117.18, low=117.18, close=117.18, adjustedClose=0.0, volume=28818.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:29:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=115.5, high=115.5, low=115.5, close=115.5, adjustedClose=0.0, volume=77.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:27:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=117.18, high=117.18, low=117.18, close=117.18, adjustedClose=0.0, volume=347394.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=116.05, high=116.05, low=116.05, close=116.05, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:07:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=117.18, high=117.18, low=117.18, close=117.18, adjustedClose=0.0, volume=5956.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:06:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=117.18, high=117.18, low=117.18, close=117.18, adjustedClose=0.0, volume=1224.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:05:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=117.18, high=117.18, low=117.18, close=117.18, adjustedClose=0.0, volume=2680.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=115.608, high=117.18, low=115.608, close=117.18, adjustedClose=0.0, volume=1256.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:03:00, symbol=null, percentageChange=0.0, target=0}, 
