[
StockUnit{open=5.9, high=5.9, low=5.9, close=5.9, adjustedClose=0.0, volume=12.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=5.9, high=5.9, low=5.9, close=5.9, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:44:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=5.8984, high=5.8984, low=5.8984, close=5.8984, adjustedClose=0.0, volume=9.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=5.85, high=5.85, low=5.85, close=5.85, adjustedClose=0.0, volume=75.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:18:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=5.91, high=5.91, low=5.9, close=5.9, adjustedClose=0.0, volume=700.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:02:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=5.88, high=5.91, low=5.88, close=5.91, adjustedClose=0.0, volume=120633.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=5.88, high=5.88, low=5.88, close=5.88, adjustedClose=0.0, volume=120632.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=5.85, high=5.85, low=5.85, close=5.85, adjustedClose=0.0, volume=100.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:13:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=5.85, high=5.85, low=5.85, close=5.85, adjustedClose=0.0, volume=300.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=5.85, high=5.85, low=5.85, close=5.85, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=6.17, high=6.17, low=6.17, close=6.17, adjustedClose=0.0, volume=100.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:40:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=6.09, high=6.09, low=5.88, close=5.88, adjustedClose=0.0, volume=47646.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:29:00, symbol=null, percentageChange=0.0, target=0}, 
