[
StockUnit{open=458.9, high=458.9, low=458.9, close=458.9, adjustedClose=0.0, volume=21.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=459.35, high=459.35, low=459.35, close=459.35, adjustedClose=0.0, volume=26.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:38:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=459.35, high=459.35, low=459.35, close=459.35, adjustedClose=0.0, volume=31.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:26:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=459.37, high=459.37, low=459.37, close=459.37, adjustedClose=0.0, volume=34.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:16:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=459.46, high=459.46, low=459.46, close=459.46, adjustedClose=0.0, volume=95.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=459.94, high=459.94, low=459.94, close=459.94, adjustedClose=0.0, volume=80.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=458.9, high=458.9, low=458.9, close=458.9, adjustedClose=0.0, volume=28.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:37:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=459.53, high=459.53, low=459.35, close=459.53, adjustedClose=0.0, volume=231.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=459.53, high=460.06, low=459.5, close=460.06, adjustedClose=0.0, volume=203.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:32:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=459.52, high=459.52, low=459.52, close=459.52, adjustedClose=0.0, volume=18.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:25:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=458.9, high=458.9, low=458.9, close=458.9, adjustedClose=0.0, volume=1755.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:20:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=458.9, high=458.9, low=458.9, close=458.9, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=460.43, high=460.43, low=459.92, close=459.92, adjustedClose=0.0, volume=13.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=459.52, high=459.52, low=459.52, close=459.52, adjustedClose=0.0, volume=49.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:11:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=459.52, high=459.52, low=459.52, close=459.52, adjustedClose=0.0, volume=31.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=459.53, high=459.53, low=459.52, close=459.52, adjustedClose=0.0, volume=201.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:09:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=458.9, high=458.9, low=458.9, close=458.9, adjustedClose=0.0, volume=775.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:07:00, symbol=null, percentageChange=0.0, target=0}, 
