[
StockUnit{open=229.13, high=229.13, low=229.13, close=229.13, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=228.94, high=229.13, low=228.94, close=229.13, adjustedClose=0.0, volume=200.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:49:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.5, high=229.5, low=229.5, close=229.5, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:36:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=228.94, high=228.94, low=228.94, close=228.94, adjustedClose=0.0, volume=22.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:33:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=225.0, high=225.0, low=225.0, close=225.0, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:22:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=228.94, high=229.0, low=228.94, close=229.0, adjustedClose=0.0, volume=3.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=225.0, high=225.0, low=225.0, close=225.0, adjustedClose=0.0, volume=3.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:07:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.12, high=229.12, low=229.12, close=229.12, adjustedClose=0.0, volume=243485.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.12, high=229.12, low=229.12, close=229.12, adjustedClose=0.0, volume=243485.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=225.579, high=225.579, low=225.579, close=225.579, adjustedClose=0.0, volume=50.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:19:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=225.0, high=225.0, low=225.0, close=225.0, adjustedClose=0.0, volume=20.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:40:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=227.01, high=227.46, low=227.01, close=227.46, adjustedClose=0.0, volume=37.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:39:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=228.5, high=228.94, low=228.5, close=228.94, adjustedClose=0.0, volume=74.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=225.0, high=225.0, low=225.0, close=225.0, adjustedClose=0.0, volume=20.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.12, high=229.12, low=229.12, close=229.12, adjustedClose=0.0, volume=1247.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:34:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.12, high=229.12, low=229.12, close=229.12, adjustedClose=0.0, volume=13570.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=227.45, high=227.45, low=227.45, close=227.45, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:25:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.12, high=229.12, low=229.12, close=229.12, adjustedClose=0.0, volume=79.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:20:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.12, high=229.12, low=229.12, close=229.12, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=227.06, high=227.46, low=226.75, close=227.46, adjustedClose=0.0, volume=522.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.12, high=229.12, low=229.12, close=229.12, adjustedClose=0.0, volume=243516.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.12, high=229.12, low=225.0, close=225.0, adjustedClose=0.0, volume=188.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.12, high=229.12, low=229.12, close=229.12, adjustedClose=0.0, volume=163.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=228.93, high=229.12, low=228.93, close=229.12, adjustedClose=0.0, volume=506140.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.08, high=229.15, low=228.975, close=229.02, adjustedClose=0.0, volume=54405.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.125, high=229.21, low=229.095, close=229.11, adjustedClose=0.0, volume=24116.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=228.95, high=229.14, low=228.95, close=229.13, adjustedClose=0.0, volume=10005.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=228.66, high=229.015, low=228.66, close=228.91, adjustedClose=0.0, volume=20985.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=228.74, high=228.74, low=228.48, close=228.6775, adjustedClose=0.0, volume=13068.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=228.76, high=228.84, low=228.73, close=228.73, adjustedClose=0.0, volume=9219.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=228.89, high=228.92, low=228.76, close=228.76, adjustedClose=0.0, volume=5714.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=228.84, high=228.94, low=228.77, close=228.89, adjustedClose=0.0, volume=9569.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=228.935, high=228.935, low=228.79, close=228.905, adjustedClose=0.0, volume=8109.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.03, high=229.1, low=228.9, close=228.9, adjustedClose=0.0, volume=8570.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.2, high=229.2, low=228.95, close=228.975, adjustedClose=0.0, volume=7437.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:49:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.11, high=229.21, low=229.1, close=229.19, adjustedClose=0.0, volume=4130.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.16, high=229.19, low=229.065, close=229.115, adjustedClose=0.0, volume=4520.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:47:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.115, high=229.115, low=229.07, close=229.07, adjustedClose=0.0, volume=2303.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.32, high=229.32, low=229.08, close=229.115, adjustedClose=0.0, volume=4545.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:45:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.24, high=229.315, low=229.24, close=229.315, adjustedClose=0.0, volume=1497.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:44:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.26, high=229.285, low=229.19, close=229.235, adjustedClose=0.0, volume=4664.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:43:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.34, high=229.34, low=229.31, close=229.31, adjustedClose=0.0, volume=2796.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.27, high=229.36, low=229.27, close=229.32, adjustedClose=0.0, volume=3547.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.22, high=229.265, low=229.22, close=229.265, adjustedClose=0.0, volume=1081.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:40:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.155, high=229.265, low=229.155, close=229.265, adjustedClose=0.0, volume=3993.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:39:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.11, high=229.22, low=229.11, close=229.22, adjustedClose=0.0, volume=2286.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:38:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.14, high=229.2, low=229.095, close=229.13, adjustedClose=0.0, volume=2323.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:37:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.08, high=229.16, low=229.04, close=229.085, adjustedClose=0.0, volume=2305.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:36:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.12, high=229.12, low=228.99, close=228.99, adjustedClose=0.0, volume=2626.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.02, high=229.12, low=229.02, close=229.12, adjustedClose=0.0, volume=4551.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:34:00, symbol=null, percentageChange=0.0, target=0}, 
