[
StockUnit{open=563.58, high=563.58, low=563.58, close=563.58, adjustedClose=0.0, volume=4.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:34:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=563.58, high=563.58, low=563.58, close=563.58, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:31:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=563.0, high=563.0, low=563.0, close=563.0, adjustedClose=0.0, volume=3.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:20:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=563.58, high=563.58, low=563.58, close=563.58, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=563.22, high=563.22, low=563.01, close=563.01, adjustedClose=0.0, volume=8.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:11:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=563.58, high=563.58, low=563.58, close=563.58, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=563.5799, high=563.5799, low=563.5799, close=563.5799, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:03:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=562.5012, high=562.5012, low=562.5012, close=562.5012, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:02:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=563.58, high=563.58, low=563.58, close=563.58, adjustedClose=0.0, volume=398191.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=563.58, high=563.58, low=563.58, close=563.58, adjustedClose=0.0, volume=3.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=563.58, high=563.58, low=563.58, close=563.58, adjustedClose=0.0, volume=398191.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=562.527, high=562.527, low=562.527, close=562.527, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:12:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=563.58, high=563.58, low=563.58, close=563.58, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:07:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=563.55, high=563.55, low=563.55, close=563.55, adjustedClose=0.0, volume=3.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:03:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=563.57, high=563.57, low=563.57, close=563.57, adjustedClose=0.0, volume=6.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:49:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=563.58, high=563.58, low=563.58, close=563.58, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:40:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=563.0864, high=563.0864, low=563.0864, close=563.0864, adjustedClose=0.0, volume=50.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:29:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=563.23, high=563.23, low=563.23, close=563.23, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=563.8, high=563.8, low=563.8, close=563.8, adjustedClose=0.0, volume=10.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:14:00, symbol=null, percentageChange=0.0, target=0}, 
