[
StockUnit{open=15.71, high=15.73, low=15.71, close=15.73, adjustedClose=0.0, volume=14484.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-09 19:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=15.7198, high=15.72, low=15.71, close=15.72, adjustedClose=0.0, volume=5729.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-09 19:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=15.7299, high=15.73, low=15.7198, close=15.72, adjustedClose=0.0, volume=388.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-09 19:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=15.7297, high=15.73, low=15.72, close=15.7205, adjustedClose=0.0, volume=7909.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-09 19:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=15.7297, high=15.73, low=15.72, close=15.7299, adjustedClose=0.0, volume=11558.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-09 19:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=15.73, high=15.73, low=15.72, close=15.73, adjustedClose=0.0, volume=2013.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-09 19:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=15.71, high=15.73, low=15.71, close=15.72, adjustedClose=0.0, volume=615.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-09 19:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=15.7, high=15.73, low=15.7, close=15.72, adjustedClose=0.0, volume=6360.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-09 19:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=15.71, high=15.72, low=15.71, close=15.7101, adjustedClose=0.0, volume=1713.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-09 19:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=15.73, high=15.73, low=15.72, close=15.73, adjustedClose=0.0, volume=108.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-09 19:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=15.73, high=15.7301, low=15.73, close=15.73, adjustedClose=0.0, volume=2360.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-09 19:49:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=15.73, high=15.74, low=15.73, close=15.73, adjustedClose=0.0, volume=562.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-09 19:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=15.7398, high=15.74, low=15.73, close=15.73, adjustedClose=0.0, volume=95.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-09 19:47:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=15.72, high=15.73, low=15.7, close=15.73, adjustedClose=0.0, volume=1850.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-09 19:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=15.711, high=15.75, low=15.711, close=15.75, adjustedClose=0.0, volume=406.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-09 19:45:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=15.72, high=15.72, low=15.72, close=15.72, adjustedClose=0.0, volume=50.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-09 19:44:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=15.72, high=15.75, low=15.71, close=15.75, adjustedClose=0.0, volume=2094.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-09 19:43:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=15.73, high=15.73, low=15.71, close=15.71, adjustedClose=0.0, volume=108.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-09 19:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=15.73, high=15.74, low=15.73, close=15.74, adjustedClose=0.0, volume=334.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-09 19:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=15.7, high=15.74, low=15.7, close=15.74, adjustedClose=0.0, volume=1271.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-09 19:40:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=15.71, high=15.73, low=15.71, close=15.7299, adjustedClose=0.0, volume=557.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-09 19:39:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=15.71, high=15.73, low=15.71, close=15.7299, adjustedClose=0.0, volume=83.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-09 19:38:00, symbol=null, percentageChange=0.0, target=0}, 
