[
StockUnit{open=66.01, high=66.02, low=66.01, close=66.02, adjustedClose=0.0, volume=20.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:44:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.07, high=66.07, low=66.07, close=66.07, adjustedClose=0.0, volume=9.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:37:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.07, high=66.07, low=66.0076, close=66.0076, adjustedClose=0.0, volume=103.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:36:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.0048, high=66.07, low=66.0, close=66.07, adjustedClose=0.0, volume=652.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.14, high=66.14, low=66.14, close=66.14, adjustedClose=0.0, volume=155.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:33:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.03, high=66.03, low=66.03, close=66.03, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:32:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.13, high=66.13, low=66.13, close=66.13, adjustedClose=0.0, volume=25.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:25:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.14, high=66.14, low=66.14, close=66.14, adjustedClose=0.0, volume=4467.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:20:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.14, high=66.14, low=66.14, close=66.14, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.02, high=66.02, low=66.02, close=66.02, adjustedClose=0.0, volume=1101.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.13, high=66.13, low=66.13, close=66.13, adjustedClose=0.0, volume=14.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:12:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.14, high=66.14, low=66.0, close=66.07, adjustedClose=0.0, volume=558.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:11:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.0, high=66.0, low=66.0, close=66.0, adjustedClose=0.0, volume=86.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.14, high=66.3, low=66.14, close=66.14, adjustedClose=0.0, volume=4735.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.14, high=66.14, low=66.14, close=66.14, adjustedClose=0.0, volume=22.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:03:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.14, high=66.14, low=66.14, close=66.14, adjustedClose=0.0, volume=40381.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:02:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.14, high=66.14, low=66.14, close=66.14, adjustedClose=0.0, volume=71414.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.14, high=66.15, low=66.14, close=66.14, adjustedClose=0.0, volume=2012161.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.235, high=66.235, low=66.14, close=66.15, adjustedClose=0.0, volume=246210.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.185, high=66.24, low=66.185, close=66.235, adjustedClose=0.0, volume=121409.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.125, high=66.19, low=66.125, close=66.185, adjustedClose=0.0, volume=117831.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.085, high=66.13, low=66.075, close=66.13, adjustedClose=0.0, volume=71126.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.05, high=66.095, low=66.05, close=66.085, adjustedClose=0.0, volume=71299.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.125, high=66.15, low=66.02, close=66.06, adjustedClose=0.0, volume=132910.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.19, high=66.195, low=66.12, close=66.125, adjustedClose=0.0, volume=38564.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.26, high=66.26, low=66.185, close=66.195, adjustedClose=0.0, volume=22787.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.265, high=66.285, low=66.24, close=66.265, adjustedClose=0.0, volume=54099.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.27, high=66.295, low=66.235, close=66.27, adjustedClose=0.0, volume=33950.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.305, high=66.32, low=66.27, close=66.27, adjustedClose=0.0, volume=27898.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:49:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.31, high=66.315, low=66.295, close=66.305, adjustedClose=0.0, volume=33490.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.335, high=66.345, low=66.31, close=66.315, adjustedClose=0.0, volume=28481.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:47:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.315, high=66.35, low=66.315, close=66.335, adjustedClose=0.0, volume=35433.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.305, high=66.32, low=66.29, close=66.32, adjustedClose=0.0, volume=34459.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:45:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.2958, high=66.315, low=66.29, close=66.305, adjustedClose=0.0, volume=36389.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:44:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.335, high=66.365, low=66.285, close=66.295, adjustedClose=0.0, volume=37128.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:43:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.36, high=66.375, low=66.325, close=66.335, adjustedClose=0.0, volume=94094.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.335, high=66.355, low=66.3225, close=66.355, adjustedClose=0.0, volume=33505.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.32, high=66.335, low=66.31, close=66.33, adjustedClose=0.0, volume=13101.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:40:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.295, high=66.315, low=66.285, close=66.315, adjustedClose=0.0, volume=21067.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:39:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.275, high=66.295, low=66.27, close=66.29, adjustedClose=0.0, volume=11693.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:38:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.265, high=66.275, low=66.255, close=66.27, adjustedClose=0.0, volume=16980.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:37:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.255, high=66.265, low=66.255, close=66.265, adjustedClose=0.0, volume=11087.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:36:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.29, high=66.3, low=66.245, close=66.255, adjustedClose=0.0, volume=15297.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.265, high=66.295, low=66.265, close=66.29, adjustedClose=0.0, volume=11934.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:34:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.265, high=66.27, low=66.255, close=66.265, adjustedClose=0.0, volume=9190.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:33:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.265, high=66.28, low=66.26, close=66.263, adjustedClose=0.0, volume=13478.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:32:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.255, high=66.27, low=66.25, close=66.265, adjustedClose=0.0, volume=15695.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:31:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.25, high=66.26, low=66.245, close=66.255, adjustedClose=0.0, volume=12060.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.235, high=66.245, low=66.23, close=66.245, adjustedClose=0.0, volume=7766.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:29:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.235, high=66.245, low=66.225, close=66.235, adjustedClose=0.0, volume=25024.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:28:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.22, high=66.25, low=66.185, close=66.235, adjustedClose=0.0, volume=41867.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:27:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.265, high=66.265, low=66.225, close=66.225, adjustedClose=0.0, volume=10351.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:26:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.265, high=66.265, low=66.255, close=66.265, adjustedClose=0.0, volume=6324.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:25:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=66.25, high=66.27, low=66.25, close=66.265, adjustedClose=0.0, volume=11658.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:24:00, symbol=null, percentageChange=0.0, target=0}, 
