[
StockUnit{open=31.3, high=31.34, low=31.3, close=31.34, adjustedClose=0.0, volume=300.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.08, high=31.08, low=31.08, close=31.08, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:39:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.35, high=31.35, low=31.35, close=31.35, adjustedClose=0.0, volume=439861.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.08, high=31.08, low=31.08, close=31.08, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.09, high=31.09, low=31.09, close=31.09, adjustedClose=0.0, volume=3.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.35, high=31.35, low=31.35, close=31.35, adjustedClose=0.0, volume=439861.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.0566, high=31.0566, low=31.0566, close=31.0566, adjustedClose=0.0, volume=300.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:18:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.07, high=31.07, low=31.07, close=31.07, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:44:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.2, high=31.2, low=31.2, close=31.2, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:39:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.35, high=31.35, low=31.35, close=31.35, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.0, high=31.0, low=31.0, close=31.0, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:39:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.32, high=31.32, low=31.01, close=31.01, adjustedClose=0.0, volume=432.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.31, high=31.31, low=31.31, close=31.31, adjustedClose=0.0, volume=34.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:12:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.31, high=31.31, low=31.31, close=31.31, adjustedClose=0.0, volume=100.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:11:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.35, high=31.35, low=31.35, close=31.35, adjustedClose=0.0, volume=439861.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.35, high=31.35, low=31.31, close=31.31, adjustedClose=0.0, volume=9.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:05:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.35, high=31.35, low=31.35, close=31.35, adjustedClose=0.0, volume=8952.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.35, high=31.35, low=31.35, close=31.35, adjustedClose=0.0, volume=6377.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:02:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.35, high=31.4999, low=31.35, close=31.35, adjustedClose=0.0, volume=2270.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.33, high=31.35, low=31.33, close=31.35, adjustedClose=0.0, volume=905648.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.38, high=31.38, low=31.33, close=31.34, adjustedClose=0.0, volume=77728.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.355, high=31.395, low=31.355, close=31.385, adjustedClose=0.0, volume=47081.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.37, high=31.39, low=31.34, close=31.35, adjustedClose=0.0, volume=71164.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.33, high=31.38, low=31.33, close=31.375, adjustedClose=0.0, volume=29158.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.37, high=31.37, low=31.3, close=31.32, adjustedClose=0.0, volume=37257.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.36, high=31.385, low=31.345, close=31.375, adjustedClose=0.0, volume=25754.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.38, high=31.38, low=31.355, close=31.365, adjustedClose=0.0, volume=18806.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.385, high=31.39, low=31.365, close=31.385, adjustedClose=0.0, volume=17682.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.395, high=31.41, low=31.375, close=31.39, adjustedClose=0.0, volume=26977.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.42, high=31.44, low=31.39, close=31.391, adjustedClose=0.0, volume=32761.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.425, high=31.43, low=31.415, close=31.415, adjustedClose=0.0, volume=17098.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:49:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.435, high=31.44, low=31.42, close=31.425, adjustedClose=0.0, volume=13206.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.415, high=31.44, low=31.415, close=31.435, adjustedClose=0.0, volume=12009.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:47:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.45, high=31.45, low=31.405, close=31.415, adjustedClose=0.0, volume=12783.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.46, high=31.47, low=31.455, close=31.455, adjustedClose=0.0, volume=7734.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:45:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.465, high=31.465, low=31.455, close=31.46, adjustedClose=0.0, volume=10244.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:44:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.48, high=31.48, low=31.465, close=31.465, adjustedClose=0.0, volume=12264.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:43:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.485, high=31.49, low=31.48, close=31.485, adjustedClose=0.0, volume=5903.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.47, high=31.495, low=31.47, close=31.485, adjustedClose=0.0, volume=16320.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.48, high=31.48, low=31.465, close=31.47, adjustedClose=0.0, volume=10243.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:40:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.475, high=31.485, low=31.47, close=31.485, adjustedClose=0.0, volume=9519.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:39:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.46, high=31.48, low=31.455, close=31.475, adjustedClose=0.0, volume=6544.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:38:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.465, high=31.465, low=31.45, close=31.455, adjustedClose=0.0, volume=15976.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:37:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.435, high=31.47, low=31.4, close=31.47, adjustedClose=0.0, volume=21580.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:36:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.445, high=31.445, low=31.435, close=31.435, adjustedClose=0.0, volume=8637.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.445, high=31.445, low=31.435, close=31.445, adjustedClose=0.0, volume=6233.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:34:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.465, high=31.47, low=31.445, close=31.445, adjustedClose=0.0, volume=10135.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:33:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.465, high=31.465, low=31.455, close=31.465, adjustedClose=0.0, volume=5868.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:32:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.465, high=31.475, low=31.45, close=31.465, adjustedClose=0.0, volume=10782.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:31:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.465, high=31.47, low=31.4425, close=31.46, adjustedClose=0.0, volume=24167.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.465, high=31.468, low=31.46, close=31.46, adjustedClose=0.0, volume=3549.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:29:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.46, high=31.47, low=31.46, close=31.46, adjustedClose=0.0, volume=7934.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:28:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.46, high=31.465, low=31.45, close=31.46, adjustedClose=0.0, volume=13499.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:27:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.475, high=31.4793, low=31.465, close=31.465, adjustedClose=0.0, volume=5492.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:26:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.48, high=31.49, low=31.475, close=31.48, adjustedClose=0.0, volume=8840.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:25:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.455, high=31.485, low=31.455, close=31.48, adjustedClose=0.0, volume=5677.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:24:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.45, high=31.455, low=31.44, close=31.455, adjustedClose=0.0, volume=10074.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:23:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=31.44, high=31.455, low=31.43, close=31.455, adjustedClose=0.0, volume=11510.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:22:00, symbol=null, percentageChange=0.0, target=0}, 
