[
StockUnit{open=229.33, high=229.33, low=229.33, close=229.33, adjustedClose=0.0, volume=228592.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.33, high=229.33, low=229.33, close=229.33, adjustedClose=0.0, volume=228592.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.33, high=229.33, low=229.33, close=229.33, adjustedClose=0.0, volume=2011.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:26:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.33, high=229.33, low=229.33, close=229.33, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=231.23, high=231.23, low=231.23, close=231.23, adjustedClose=0.0, volume=167.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.33, high=229.33, low=229.33, close=229.33, adjustedClose=0.0, volume=228592.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.33, high=229.33, low=229.33, close=229.33, adjustedClose=0.0, volume=1705.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=222.45, high=229.33, low=222.45, close=229.33, adjustedClose=0.0, volume=9.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:03:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.33, high=229.33, low=229.33, close=229.33, adjustedClose=0.0, volume=10562.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:02:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.33, high=229.33, low=229.33, close=229.33, adjustedClose=0.0, volume=6088.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.3, high=229.33, low=229.3, close=229.33, adjustedClose=0.0, volume=484646.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.53, high=229.54, low=229.26, close=229.3, adjustedClose=0.0, volume=68058.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.495, high=229.57, low=229.495, close=229.56, adjustedClose=0.0, volume=27474.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.405, high=229.53, low=229.405, close=229.495, adjustedClose=0.0, volume=15012.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.18, high=229.44, low=229.175, close=229.44, adjustedClose=0.0, volume=15314.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.12, high=229.2, low=229.1, close=229.17, adjustedClose=0.0, volume=12543.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.205, high=229.29, low=229.15, close=229.19, adjustedClose=0.0, volume=9019.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.45, high=229.46, low=229.18, close=229.18, adjustedClose=0.0, volume=12307.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.35, high=229.44, low=229.35, close=229.42, adjustedClose=0.0, volume=3318.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.5, high=229.5, low=229.4, close=229.48, adjustedClose=0.0, volume=9307.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.67, high=229.68, low=229.485, close=229.6, adjustedClose=0.0, volume=13898.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=229.72, high=229.72, low=229.67, close=229.71, adjustedClose=0.0, volume=7560.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:49:00, symbol=null, percentageChange=0.0, target=0}, 
