[
StockUnit{open=81.15, high=81.15, low=81.15, close=81.15, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=81.24, high=81.24, low=81.15, close=81.15, adjustedClose=0.0, volume=3.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:33:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=81.55, high=81.55, low=81.55, close=81.55, adjustedClose=0.0, volume=6.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:08:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=81.55, high=81.55, low=81.55, close=81.55, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=81.14, high=81.14, low=81.14, close=81.14, adjustedClose=0.0, volume=380460.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=81.53, high=81.53, low=81.53, close=81.53, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=81.52, high=81.52, low=81.52, close=81.52, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=81.53, high=81.53, low=81.53, close=81.53, adjustedClose=0.0, volume=12.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:32:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=81.88, high=81.88, low=81.88, close=81.88, adjustedClose=0.0, volume=12.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:31:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=81.14, high=81.14, low=81.14, close=81.14, adjustedClose=0.0, volume=380460.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=81.57, high=81.57, low=81.57, close=81.57, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=81.14, high=81.14, low=81.14, close=81.14, adjustedClose=0.0, volume=14000.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:37:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=81.14, high=81.14, low=81.14, close=81.14, adjustedClose=0.0, volume=6380.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:33:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=81.88, high=81.88, low=81.88, close=81.88, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:23:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=81.14, high=81.14, low=81.14, close=81.14, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=81.21, high=81.21, low=81.14, close=81.14, adjustedClose=0.0, volume=152.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=81.14, high=81.51, low=81.14, close=81.51, adjustedClose=0.0, volume=380470.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=81.14, high=81.14, low=81.14, close=81.14, adjustedClose=0.0, volume=7936.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:06:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=81.14, high=81.14, low=81.14, close=81.14, adjustedClose=0.0, volume=2996.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=81.14, high=81.14, low=81.14, close=81.14, adjustedClose=0.0, volume=20.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:03:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=81.14, high=81.14, low=81.14, close=81.14, adjustedClose=0.0, volume=11543.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:02:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=81.14, high=81.14, low=81.14, close=81.14, adjustedClose=0.0, volume=10569.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=81.13, high=81.88, low=81.13, close=81.14, adjustedClose=0.0, volume=798219.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=81.13, high=81.18, low=81.09, close=81.13, adjustedClose=0.0, volume=99358.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=81.12, high=81.18, low=81.11, close=81.14, adjustedClose=0.0, volume=55449.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=81.08, high=81.13, low=81.06, close=81.12, adjustedClose=0.0, volume=32867.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:57:00, symbol=null, percentageChange=0.0, target=0}, 
