[
StockUnit{open=17.0996, high=17.0996, low=17.0996, close=17.0996, adjustedClose=0.0, volume=50.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.05, high=17.05, low=17.05, close=17.05, adjustedClose=0.0, volume=1902767.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.06, high=17.06, low=17.06, close=17.06, adjustedClose=0.0, volume=10.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:33:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.05, high=17.05, low=17.05, close=17.05, adjustedClose=0.0, volume=1902767.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.1, high=17.1, low=17.1, close=17.1, adjustedClose=0.0, volume=11.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.06, high=17.06, low=17.06, close=17.06, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.05, high=17.05, low=17.05, close=17.05, adjustedClose=0.0, volume=323.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.1, high=17.1, low=17.1, close=17.1, adjustedClose=0.0, volume=100.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.06, high=17.06, low=17.06, close=17.06, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:37:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.1, high=17.1, low=17.1, close=17.1, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.1, high=17.1, low=17.1, close=17.1, adjustedClose=0.0, volume=3.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:34:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.0988, high=17.0988, low=17.0988, close=17.0988, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:33:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.05, high=17.05, low=17.05, close=17.05, adjustedClose=0.0, volume=170662.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:29:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.05, high=17.05, low=17.05, close=17.05, adjustedClose=0.0, volume=3134.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:26:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.07, high=17.07, low=17.06, close=17.0601, adjustedClose=0.0, volume=5649.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:24:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.09, high=17.09, low=17.06, close=17.07, adjustedClose=0.0, volume=1757.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.0988, high=17.0988, low=17.0988, close=17.0988, adjustedClose=0.0, volume=40.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:13:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.05, high=17.05, low=17.05, close=17.05, adjustedClose=0.0, volume=1902767.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.05, high=17.05, low=17.05, close=17.05, adjustedClose=0.0, volume=2981.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:05:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.05, high=17.05, low=17.05, close=17.05, adjustedClose=0.0, volume=18850.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.05, high=17.05, low=17.05, close=17.05, adjustedClose=0.0, volume=30368.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:03:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.05, high=17.05, low=17.05, close=17.05, adjustedClose=0.0, volume=21023.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:02:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.05, high=17.05, low=17.05, close=17.05, adjustedClose=0.0, volume=225739.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.04, high=17.05, low=17.03, close=17.05, adjustedClose=0.0, volume=3934117.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.025, high=17.04, low=17.02, close=17.04, adjustedClose=0.0, volume=381436.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.015, high=17.04, low=17.01, close=17.025, adjustedClose=0.0, volume=440717.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.015, high=17.025, low=17.01, close=17.015, adjustedClose=0.0, volume=225851.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.01, high=17.02, low=17.01, close=17.015, adjustedClose=0.0, volume=344606.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.0125, high=17.02, low=17.01, close=17.01, adjustedClose=0.0, volume=162168.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.015, high=17.03, low=17.015, close=17.015, adjustedClose=0.0, volume=170667.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.03, high=17.035, low=17.01, close=17.015, adjustedClose=0.0, volume=99271.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.03, high=17.0369, low=17.03, close=17.035, adjustedClose=0.0, volume=30495.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.035, high=17.04, low=17.02, close=17.035, adjustedClose=0.0, volume=75331.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.03, high=17.05, low=17.025, close=17.03, adjustedClose=0.0, volume=98074.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.05, high=17.055, low=17.03, close=17.035, adjustedClose=0.0, volume=102806.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:49:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.055, high=17.065, low=17.05, close=17.055, adjustedClose=0.0, volume=86330.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.055, high=17.06, low=17.05, close=17.055, adjustedClose=0.0, volume=21249.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:47:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.065, high=17.065, low=17.05, close=17.05, adjustedClose=0.0, volume=32227.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.065, high=17.07, low=17.06, close=17.065, adjustedClose=0.0, volume=16455.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:45:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.055, high=17.07, low=17.0515, close=17.065, adjustedClose=0.0, volume=31791.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:44:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.065, high=17.0699, low=17.05, close=17.055, adjustedClose=0.0, volume=47290.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:43:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.065, high=17.07, low=17.06, close=17.065, adjustedClose=0.0, volume=11908.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.065, high=17.07, low=17.06, close=17.065, adjustedClose=0.0, volume=63766.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.055, high=17.065, low=17.055, close=17.065, adjustedClose=0.0, volume=32643.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:40:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=17.05, high=17.06, low=17.045, close=17.055, adjustedClose=0.0, volume=31005.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:39:00, symbol=null, percentageChange=0.0, target=0}, 
