[
StockUnit{open=0.8115, high=0.8115, low=0.8109, close=0.811, adjustedClose=0.0, volume=2951.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-15 19:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=0.789, high=0.79, low=0.789, close=0.79, adjustedClose=0.0, volume=3769.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-15 19:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=0.78, high=0.78, low=0.78, close=0.78, adjustedClose=0.0, volume=600.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-15 19:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=0.781, high=0.781, low=0.7701, close=0.7799, adjustedClose=0.0, volume=4333.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-15 19:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=0.781, high=0.781, low=0.781, close=0.781, adjustedClose=0.0, volume=100.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-15 19:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=0.7811, high=0.7811, low=0.7811, close=0.7811, adjustedClose=0.0, volume=220.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-15 19:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=0.7801, high=0.789, low=0.7799, close=0.789, adjustedClose=0.0, volume=504.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-15 19:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=0.7767, high=0.7767, low=0.7767, close=0.7767, adjustedClose=0.0, volume=50.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-15 19:43:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=0.775, high=0.775, low=0.775, close=0.775, adjustedClose=0.0, volume=200.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-15 19:38:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=0.7751, high=0.7751, low=0.7751, close=0.7751, adjustedClose=0.0, volume=38.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-15 19:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=0.766, high=0.766, low=0.766, close=0.766, adjustedClose=0.0, volume=99.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-15 19:32:00, symbol=null, percentageChange=0.0, target=0}, 
