[
StockUnit{open=171.82, high=171.82, low=171.82, close=171.82, adjustedClose=0.0, volume=220527.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=171.82, high=171.82, low=171.82, close=171.82, adjustedClose=0.0, volume=220527.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=172.29, high=172.29, low=172.29, close=172.29, adjustedClose=0.0, volume=50.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:44:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=171.82, high=171.82, low=171.82, close=171.82, adjustedClose=0.0, volume=139800.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:11:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=171.82, high=171.82, low=171.82, close=171.82, adjustedClose=0.0, volume=33.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=171.82, high=171.82, low=171.82, close=171.82, adjustedClose=0.0, volume=7001.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:29:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=171.82, high=171.82, low=171.82, close=171.82, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=173.22, high=174.65, low=173.22, close=174.65, adjustedClose=0.0, volume=226.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=171.82, high=171.82, low=171.82, close=171.82, adjustedClose=0.0, volume=220527.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=171.82, high=171.82, low=171.82, close=171.82, adjustedClose=0.0, volume=5401.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:07:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=171.82, high=171.82, low=171.82, close=171.82, adjustedClose=0.0, volume=5713.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:06:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=171.82, high=171.82, low=171.82, close=171.82, adjustedClose=0.0, volume=455.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:05:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=171.82, high=171.82, low=171.82, close=171.82, adjustedClose=0.0, volume=1804.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=171.82, high=171.82, low=171.82, close=171.82, adjustedClose=0.0, volume=21584.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:02:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=171.82, high=171.82, low=171.82, close=171.82, adjustedClose=0.0, volume=7414.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=171.8, high=171.82, low=171.8, close=171.82, adjustedClose=0.0, volume=594550.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=171.92, high=171.92, low=171.71, close=171.82, adjustedClose=0.0, volume=56780.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=171.81, high=171.95, low=171.8, close=171.935, adjustedClose=0.0, volume=32348.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=171.765, high=171.85, low=171.74, close=171.85, adjustedClose=0.0, volume=12209.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=171.58, high=171.76, low=171.545, close=171.71, adjustedClose=0.0, volume=17738.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=171.67, high=171.67, low=171.48, close=171.54, adjustedClose=0.0, volume=9590.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=171.62, high=171.77, low=171.62, close=171.69, adjustedClose=0.0, volume=12931.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=171.79, high=171.79, low=171.645, close=171.645, adjustedClose=0.0, volume=6658.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=171.86, high=171.86, low=171.75, close=171.77, adjustedClose=0.0, volume=5782.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=171.8775, high=171.91, low=171.79, close=171.88, adjustedClose=0.0, volume=10234.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=172.09, high=172.16, low=171.95, close=171.98, adjustedClose=0.0, volume=9973.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:50:00, symbol=null, percentageChange=0.0, target=0}, 
