[
StockUnit{open=69.8, high=69.8, low=69.78, close=69.8, adjustedClose=0.0, volume=102.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.7804, high=69.7804, low=69.7804, close=69.7804, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.79, high=69.8, low=69.79, close=69.7999, adjustedClose=0.0, volume=121.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.78, high=69.78, low=69.78, close=69.78, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.8, high=69.8, low=69.8, close=69.8, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.79, high=69.79, low=69.79, close=69.79, adjustedClose=0.0, volume=100.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.79, high=69.79, low=69.78, close=69.78, adjustedClose=0.0, volume=7.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.79, high=69.79, low=69.7899, close=69.7899, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.78, high=69.7991, low=69.78, close=69.7991, adjustedClose=0.0, volume=106.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.79, high=69.79, low=69.79, close=69.79, adjustedClose=0.0, volume=44.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:47:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.8, high=69.8, low=69.8, close=69.8, adjustedClose=0.0, volume=35.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.7084, high=69.7084, low=69.7084, close=69.7084, adjustedClose=0.0, volume=150.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.8, high=69.8, low=69.8, close=69.8, adjustedClose=0.0, volume=50.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:36:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.79, high=69.79, low=69.79, close=69.79, adjustedClose=0.0, volume=11.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.8, high=69.8, low=69.8, close=69.8, adjustedClose=0.0, volume=25.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:34:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.8, high=69.8, low=69.8, close=69.8, adjustedClose=0.0, volume=6.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:33:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.79, high=69.79, low=69.79, close=69.79, adjustedClose=0.0, volume=10.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:32:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.71, high=69.8, low=69.71, close=69.8, adjustedClose=0.0, volume=30.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:28:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.72, high=69.72, low=69.72, close=69.72, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:26:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.72, high=69.8, low=69.72, close=69.8, adjustedClose=0.0, volume=51.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:24:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.8, high=69.8, low=69.8, close=69.8, adjustedClose=0.0, volume=20.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:23:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.72, high=69.72, low=69.72, close=69.72, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:22:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.72, high=69.72, low=69.72, close=69.72, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:21:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.72, high=69.72, low=69.72, close=69.72, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:20:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.8, high=69.8, low=69.8, close=69.8, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:17:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.8, high=69.8, low=69.8, close=69.8, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:16:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.71, high=69.8, low=69.71, close=69.8, adjustedClose=0.0, volume=11.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.8, high=69.8, low=69.8, close=69.8, adjustedClose=0.0, volume=2500.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.71, high=69.71, low=69.71, close=69.71, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:12:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.71, high=69.71, low=69.71, close=69.71, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:11:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.8, high=69.8, low=69.8, close=69.8, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.76, high=69.76, low=69.71, close=69.75, adjustedClose=0.0, volume=176.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:09:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.75, high=69.75, low=69.75, close=69.75, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:08:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.79, high=69.79, low=69.79, close=69.79, adjustedClose=0.0, volume=4.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:03:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=69.752, high=69.752, low=69.752, close=69.752, adjustedClose=0.0, volume=100.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:01:00, symbol=null, percentageChange=0.0, target=0}, 
