[
StockUnit{open=252.8, high=252.8, low=252.8, close=252.8, adjustedClose=0.0, volume=61.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:03:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=252.86, high=252.86, low=252.86, close=252.86, adjustedClose=0.0, volume=302102.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=253.81, high=253.81, low=253.81, close=253.81, adjustedClose=0.0, volume=4.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:31:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=252.86, high=252.86, low=252.86, close=252.86, adjustedClose=0.0, volume=302102.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=254.0, high=254.0, low=253.62, close=253.62, adjustedClose=0.0, volume=3.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=253.56, high=253.99, low=253.48, close=253.48, adjustedClose=0.0, volume=6.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=257.0, high=257.0, low=257.0, close=257.0, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=253.1, high=253.1, low=253.1, close=253.1, adjustedClose=0.0, volume=4.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=253.1, high=253.1, low=253.1, close=253.1, adjustedClose=0.0, volume=4.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:49:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=253.1, high=253.1, low=253.1, close=253.1, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:39:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=253.1, high=253.1, low=253.1, close=253.1, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:38:00, symbol=null, percentageChange=0.0, target=0}, 
