[
StockUnit{open=6.87, high=6.88, low=6.87, close=6.88, adjustedClose=0.0, volume=1550.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=6.87, high=6.89, low=6.87, close=6.89, adjustedClose=0.0, volume=15010.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=6.86, high=6.8601, low=6.86, close=6.86, adjustedClose=0.0, volume=6478.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=6.86, high=6.87, low=6.86, close=6.87, adjustedClose=0.0, volume=16.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=6.86, high=6.86, low=6.86, close=6.86, adjustedClose=0.0, volume=3494.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=6.87, high=6.87, low=6.87, close=6.87, adjustedClose=0.0, volume=610.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=6.86, high=6.8699, low=6.86, close=6.8601, adjustedClose=0.0, volume=938.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=6.8699, high=6.8699, low=6.86, close=6.8603, adjustedClose=0.0, volume=433.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:49:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=6.8699, high=6.87, low=6.8697, close=6.8699, adjustedClose=0.0, volume=1282.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=6.87, high=6.87, low=6.8604, close=6.87, adjustedClose=0.0, volume=1752.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:47:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=6.8795, high=6.8795, low=6.8795, close=6.8795, adjustedClose=0.0, volume=4950.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=6.88, high=6.88, low=6.87, close=6.87, adjustedClose=0.0, volume=39.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:45:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=6.88, high=6.89, low=6.8799, close=6.89, adjustedClose=0.0, volume=4959.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:44:00, symbol=null, percentageChange=0.0, target=0}, 
