[
StockUnit{open=352.51, high=352.51, low=352.51, close=352.51, adjustedClose=0.0, volume=125980.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=352.51, high=352.51, low=352.51, close=352.51, adjustedClose=0.0, volume=125980.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=357.88, high=357.88, low=357.88, close=357.88, adjustedClose=0.0, volume=4.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=367.42, high=367.42, low=367.42, close=367.42, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:40:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=355.1, high=355.1, low=355.1, close=355.1, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:24:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=352.51, high=352.51, low=352.51, close=352.51, adjustedClose=0.0, volume=122500.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:11:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=353.34, high=353.36, low=353.34, close=353.34, adjustedClose=0.0, volume=36.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=352.51, high=352.51, low=352.51, close=352.51, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=357.03, high=359.47, low=357.03, close=359.47, adjustedClose=0.0, volume=146.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=352.51, high=352.51, low=352.51, close=352.51, adjustedClose=0.0, volume=125980.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=352.51, high=352.51, low=352.51, close=352.51, adjustedClose=0.0, volume=887.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=348.56, high=352.51, low=348.56, close=352.51, adjustedClose=0.0, volume=6.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:03:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=352.51, high=352.51, low=352.51, close=352.51, adjustedClose=0.0, volume=3707.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:02:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=352.51, high=352.51, low=352.51, close=352.51, adjustedClose=0.0, volume=2764.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=352.68, high=352.68, low=352.5, close=352.51, adjustedClose=0.0, volume=363623.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=352.92, high=352.95, low=352.49, close=352.68, adjustedClose=0.0, volume=39536.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=352.8, high=353.145, low=352.72, close=352.95, adjustedClose=0.0, volume=16677.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=352.77, high=352.795, low=352.61, close=352.73, adjustedClose=0.0, volume=6136.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=352.47, high=352.69, low=352.36, close=352.67, adjustedClose=0.0, volume=7359.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=352.42, high=352.51, low=352.3301, close=352.45, adjustedClose=0.0, volume=7093.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=352.52, high=352.72, low=352.42, close=352.65, adjustedClose=0.0, volume=4380.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=352.68, high=352.79, low=352.5, close=352.5, adjustedClose=0.0, volume=6520.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=352.7, high=352.765, low=352.7, close=352.765, adjustedClose=0.0, volume=1845.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:52:00, symbol=null, percentageChange=0.0, target=0}, 
