[
StockUnit{open=43.6, high=43.71, low=43.6, close=43.61, adjustedClose=0.0, volume=180.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=43.71, high=43.71, low=43.7, close=43.7, adjustedClose=0.0, volume=257.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=43.7, high=43.7, low=43.7, close=43.7, adjustedClose=0.0, volume=250.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=43.7, high=43.7, low=43.7, close=43.7, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=43.93, high=43.93, low=43.7, close=43.7, adjustedClose=0.0, volume=303.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=43.95, high=43.95, low=43.93, close=43.93, adjustedClose=0.0, volume=65.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=43.92, high=43.92, low=43.92, close=43.92, adjustedClose=0.0, volume=205.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=43.98, high=43.98, low=43.98, close=43.98, adjustedClose=0.0, volume=100.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:40:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=43.96, high=43.96, low=43.96, close=43.96, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:38:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=43.93, high=43.93, low=43.93, close=43.93, adjustedClose=0.0, volume=52.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:37:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=43.7, high=43.7, low=43.7, close=43.7, adjustedClose=0.0, volume=22.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:25:00, symbol=null, percentageChange=0.0, target=0}, 
