[
StockUnit{open=51.9, high=52.0, low=51.9, close=52.0, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:44:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=51.87, high=51.87, low=51.87, close=51.87, adjustedClose=0.0, volume=30.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:24:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=51.98, high=51.98, low=51.98, close=51.98, adjustedClose=0.0, volume=18000.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:26:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=52.0, high=52.0, low=52.0, close=52.0, adjustedClose=0.0, volume=3.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=51.5, high=51.87, low=51.5, close=51.87, adjustedClose=0.0, volume=108.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=51.52, high=51.52, low=51.52, close=51.52, adjustedClose=0.0, volume=8.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=51.51, high=51.51, low=51.51, close=51.51, adjustedClose=0.0, volume=8.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:45:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=51.29, high=51.29, low=51.29, close=51.29, adjustedClose=0.0, volume=239.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=51.55, high=51.98, low=51.5, close=51.5, adjustedClose=0.0, volume=34024.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:29:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=51.82, high=51.83, low=51.55, close=51.55, adjustedClose=0.0, volume=5669.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:28:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=51.81, high=51.81, low=51.81, close=51.81, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:09:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=51.98, high=51.98, low=51.98, close=51.98, adjustedClose=0.0, volume=17785.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:06:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=51.98, high=51.98, low=51.98, close=51.98, adjustedClose=0.0, volume=7.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:04:00, symbol=null, percentageChange=0.0, target=0}, 
