[
StockUnit{open=65.9663, high=65.9663, low=65.9663, close=65.9663, adjustedClose=0.0, volume=10.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:47:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=65.9, high=65.9, low=65.9, close=65.9, adjustedClose=0.0, volume=100.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=65.52, high=65.52, low=65.52, close=65.52, adjustedClose=0.0, volume=267929.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=65.52, high=65.99, low=65.52, close=65.99, adjustedClose=0.0, volume=267931.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=65.97, high=65.97, low=65.97, close=65.97, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:25:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=65.98, high=65.98, low=65.98, close=65.98, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:38:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=65.98, high=65.98, low=65.98, close=65.98, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:11:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=65.52, high=65.52, low=65.52, close=65.52, adjustedClose=0.0, volume=3.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:31:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=65.52, high=65.52, low=65.52, close=65.52, adjustedClose=0.0, volume=436.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:26:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=63.5, high=63.5, low=63.5, close=63.5, adjustedClose=0.0, volume=11.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:25:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=65.08, high=65.08, low=64.92, close=64.92, adjustedClose=0.0, volume=633.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=65.52, high=65.52, low=65.52, close=65.52, adjustedClose=0.0, volume=267929.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=65.52, high=65.52, low=65.52, close=65.52, adjustedClose=0.0, volume=3426.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=65.16, high=65.52, low=65.16, close=65.52, adjustedClose=0.0, volume=17.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:03:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=65.52, high=65.52, low=65.52, close=65.52, adjustedClose=0.0, volume=2802.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:02:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=65.52, high=65.52, low=65.52, close=65.52, adjustedClose=0.0, volume=2954.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=65.52, high=65.52, low=65.52, close=65.52, adjustedClose=0.0, volume=567314.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=65.54, high=65.54, low=65.48, close=65.52, adjustedClose=0.0, volume=61319.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=65.455, high=65.55, low=65.455, close=65.55, adjustedClose=0.0, volume=25775.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=65.4, high=65.45, low=65.4, close=65.45, adjustedClose=0.0, volume=25815.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=65.32, high=65.42, low=65.315, close=65.41, adjustedClose=0.0, volume=18919.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=65.32, high=65.32, low=65.28, close=65.32, adjustedClose=0.0, volume=15289.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=65.335, high=65.36, low=65.31, close=65.35, adjustedClose=0.0, volume=13863.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=65.35, high=65.38, low=65.33, close=65.335, adjustedClose=0.0, volume=10263.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=65.405, high=65.405, low=65.335, close=65.36, adjustedClose=0.0, volume=4793.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=65.395, high=65.42, low=65.355, close=65.405, adjustedClose=0.0, volume=7565.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=65.47, high=65.49, low=65.39, close=65.4, adjustedClose=0.0, volume=12625.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=65.52, high=65.5281, low=65.49, close=65.5, adjustedClose=0.0, volume=6052.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:49:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=65.53, high=65.55, low=65.53, close=65.54, adjustedClose=0.0, volume=6040.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=65.51, high=65.54, low=65.51, close=65.53, adjustedClose=0.0, volume=7661.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:47:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=65.52, high=65.53, low=65.505, close=65.515, adjustedClose=0.0, volume=5642.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=65.555, high=65.57, low=65.53, close=65.53, adjustedClose=0.0, volume=4273.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:45:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=65.55, high=65.57, low=65.55, close=65.56, adjustedClose=0.0, volume=3061.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:44:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=65.565, high=65.57, low=65.545, close=65.55, adjustedClose=0.0, volume=4098.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:43:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=65.59, high=65.59, low=65.57, close=65.57, adjustedClose=0.0, volume=4032.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=65.54, high=65.585, low=65.54, close=65.58, adjustedClose=0.0, volume=4908.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=65.53, high=65.53, low=65.515, close=65.525, adjustedClose=0.0, volume=2135.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:40:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=65.51, high=65.54, low=65.505, close=65.54, adjustedClose=0.0, volume=4757.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:39:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=65.5, high=65.52, low=65.5, close=65.5, adjustedClose=0.0, volume=5406.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:38:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=65.485, high=65.5, low=65.465, close=65.5, adjustedClose=0.0, volume=5325.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:37:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=65.44, high=65.495, low=65.44, close=65.49, adjustedClose=0.0, volume=7096.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:36:00, symbol=null, percentageChange=0.0, target=0}, 
