[
StockUnit{open=72.0, high=72.0, low=72.0, close=72.0, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.47, high=71.47, low=71.47, close=71.47, adjustedClose=0.0, volume=387233.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.47, high=71.47, low=71.47, close=71.47, adjustedClose=0.0, volume=387233.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.47, high=71.47, low=71.47, close=71.47, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:18:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.47, high=71.47, low=71.47, close=71.47, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.81, high=72.14, low=71.81, close=72.14, adjustedClose=0.0, volume=1557.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.47, high=71.47, low=71.47, close=71.47, adjustedClose=0.0, volume=387233.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.47, high=71.47, low=71.47, close=71.47, adjustedClose=0.0, volume=7060.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:09:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.47, high=71.47, low=71.47, close=71.47, adjustedClose=0.0, volume=4186.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.82, high=71.82, low=71.82, close=71.82, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:03:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.47, high=71.47, low=71.47, close=71.47, adjustedClose=0.0, volume=5392.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:02:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.47, high=71.47, low=71.47, close=71.47, adjustedClose=0.0, volume=12248.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.43, high=71.47, low=71.43, close=71.47, adjustedClose=0.0, volume=801627.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.52, high=71.52, low=71.43, close=71.44, adjustedClose=0.0, volume=64403.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.475, high=71.545, low=71.475, close=71.525, adjustedClose=0.0, volume=35976.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.46, high=71.485, low=71.46, close=71.475, adjustedClose=0.0, volume=20391.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.415, high=71.465, low=71.405, close=71.45, adjustedClose=0.0, volume=26198.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.41, high=71.43, low=71.38, close=71.415, adjustedClose=0.0, volume=22471.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.42, high=71.43, low=71.381, close=71.39, adjustedClose=0.0, volume=18566.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.455, high=71.46, low=71.39, close=71.435, adjustedClose=0.0, volume=10663.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.48, high=71.48, low=71.45, close=71.46, adjustedClose=0.0, volume=12186.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.49, high=71.51, low=71.47, close=71.485, adjustedClose=0.0, volume=12133.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.51, high=71.54, low=71.49, close=71.49, adjustedClose=0.0, volume=13960.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.54, high=71.5509, low=71.52, close=71.52, adjustedClose=0.0, volume=7636.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:49:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.555, high=71.56, low=71.53, close=71.55, adjustedClose=0.0, volume=12956.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.55, high=71.57, low=71.52, close=71.55, adjustedClose=0.0, volume=8521.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:47:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.545, high=71.57, low=71.52, close=71.54, adjustedClose=0.0, volume=11176.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.595, high=71.6, low=71.55, close=71.55, adjustedClose=0.0, volume=13746.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:45:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.575, high=71.615, low=71.57, close=71.595, adjustedClose=0.0, volume=10517.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:44:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.59, high=71.6, low=71.56, close=71.56, adjustedClose=0.0, volume=7999.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:43:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.58, high=71.615, low=71.58, close=71.595, adjustedClose=0.0, volume=9235.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.555, high=71.595, low=71.555, close=71.57, adjustedClose=0.0, volume=6620.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.565, high=71.605, low=71.56, close=71.57, adjustedClose=0.0, volume=11078.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:40:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.55, high=71.565, low=71.52, close=71.565, adjustedClose=0.0, volume=12038.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:39:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.51, high=71.55, low=71.5, close=71.54, adjustedClose=0.0, volume=12737.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:38:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.54, high=71.54, low=71.5, close=71.51, adjustedClose=0.0, volume=6522.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:37:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.56, high=71.56, low=71.52, close=71.53, adjustedClose=0.0, volume=11947.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:36:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.575, high=71.58, low=71.555, close=71.555, adjustedClose=0.0, volume=8878.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.53, high=71.57, low=71.53, close=71.5675, adjustedClose=0.0, volume=21684.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:34:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.52, high=71.535, low=71.51, close=71.52, adjustedClose=0.0, volume=11791.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:33:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.53, high=71.53, low=71.52, close=71.52, adjustedClose=0.0, volume=6194.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:32:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.525, high=71.53, low=71.52, close=71.521, adjustedClose=0.0, volume=5213.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:31:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.52, high=71.54, low=71.511, close=71.53, adjustedClose=0.0, volume=6468.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.505, high=71.53, low=71.49, close=71.525, adjustedClose=0.0, volume=9991.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:29:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.52, high=71.525, low=71.48, close=71.491, adjustedClose=0.0, volume=13606.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:28:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.53, high=71.54, low=71.51, close=71.51, adjustedClose=0.0, volume=7468.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:27:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.55, high=71.5589, low=71.535, close=71.5375, adjustedClose=0.0, volume=6097.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:26:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.5675, high=71.5675, low=71.54, close=71.55, adjustedClose=0.0, volume=8986.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:25:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.55, high=71.57, low=71.54, close=71.56, adjustedClose=0.0, volume=5884.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:24:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.565, high=71.565, low=71.55, close=71.55, adjustedClose=0.0, volume=4146.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:23:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.575, high=71.58, low=71.55, close=71.565, adjustedClose=0.0, volume=4377.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:22:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.57, high=71.6, low=71.57, close=71.57, adjustedClose=0.0, volume=4310.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:21:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.58, high=71.5991, low=71.57, close=71.57, adjustedClose=0.0, volume=4329.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:20:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.64, high=71.64, low=71.57, close=71.58, adjustedClose=0.0, volume=6511.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:19:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.68, high=71.685, low=71.64, close=71.64, adjustedClose=0.0, volume=9593.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:18:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.675, high=71.6924, low=71.67, close=71.6875, adjustedClose=0.0, volume=5341.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:17:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.665, high=71.67, low=71.65, close=71.67, adjustedClose=0.0, volume=6266.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:16:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.67, high=71.6867, low=71.65, close=71.665, adjustedClose=0.0, volume=5442.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.68, high=71.7, low=71.68, close=71.68, adjustedClose=0.0, volume=4923.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.665, high=71.68, low=71.665, close=71.67, adjustedClose=0.0, volume=3002.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:13:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.66, high=71.675, low=71.66, close=71.67, adjustedClose=0.0, volume=7023.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:12:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.655, high=71.68, low=71.64, close=71.68, adjustedClose=0.0, volume=7297.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:11:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.66, high=71.67, low=71.64, close=71.655, adjustedClose=0.0, volume=2765.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.67, high=71.67, low=71.65, close=71.67, adjustedClose=0.0, volume=5716.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:09:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.655, high=71.68, low=71.655, close=71.66, adjustedClose=0.0, volume=2513.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:08:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.66, high=71.685, low=71.66, close=71.66, adjustedClose=0.0, volume=3505.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:07:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.665, high=71.685, low=71.66, close=71.685, adjustedClose=0.0, volume=3340.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:06:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.66, high=71.67, low=71.65, close=71.66, adjustedClose=0.0, volume=3869.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:05:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.64, high=71.6643, low=71.64, close=71.64, adjustedClose=0.0, volume=2810.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.64, high=71.66, low=71.6303, close=71.635, adjustedClose=0.0, volume=10929.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:03:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.61, high=71.67, low=71.61, close=71.6492, adjustedClose=0.0, volume=23485.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:02:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.61, high=71.61, low=71.61, close=71.61, adjustedClose=0.0, volume=2478.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.64, high=71.64, low=71.6, close=71.6, adjustedClose=0.0, volume=5943.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.64, high=71.65, low=71.63, close=71.65, adjustedClose=0.0, volume=2671.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.64, high=71.66, low=71.64, close=71.645, adjustedClose=0.0, volume=3254.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.65, high=71.65, low=71.65, close=71.65, adjustedClose=0.0, volume=1607.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.69, high=71.695, low=71.67, close=71.67, adjustedClose=0.0, volume=5059.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.68, high=71.68, low=71.65, close=71.68, adjustedClose=0.0, volume=9074.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.72, high=71.72, low=71.69, close=71.6912, adjustedClose=0.0, volume=3399.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.72, high=71.73, low=71.7, close=71.72, adjustedClose=0.0, volume=3985.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.72, high=71.74, low=71.705, close=71.715, adjustedClose=0.0, volume=5536.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.695, high=71.72, low=71.695, close=71.72, adjustedClose=0.0, volume=4726.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.69, high=71.71, low=71.69, close=71.7, adjustedClose=0.0, volume=4862.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.665, high=71.68, low=71.665, close=71.68, adjustedClose=0.0, volume=2420.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:49:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.655, high=71.67, low=71.63, close=71.665, adjustedClose=0.0, volume=3928.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.655, high=71.6575, low=71.655, close=71.655, adjustedClose=0.0, volume=1791.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:47:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.69, high=71.69, low=71.65, close=71.65, adjustedClose=0.0, volume=4422.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.66, high=71.695, low=71.66, close=71.69, adjustedClose=0.0, volume=2624.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:45:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.66, high=71.67, low=71.65, close=71.66, adjustedClose=0.0, volume=6547.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:44:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.675, high=71.675, low=71.6505, close=71.6505, adjustedClose=0.0, volume=1943.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:43:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.65, high=71.675, low=71.65, close=71.675, adjustedClose=0.0, volume=1377.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.635, high=71.64, low=71.63, close=71.635, adjustedClose=0.0, volume=5843.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.645, high=71.66, low=71.64, close=71.64, adjustedClose=0.0, volume=4948.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:40:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.67, high=71.68, low=71.65, close=71.65, adjustedClose=0.0, volume=4200.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:39:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.68, high=71.69, low=71.68, close=71.68, adjustedClose=0.0, volume=3908.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:38:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.665, high=71.68, low=71.66, close=71.675, adjustedClose=0.0, volume=4981.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:37:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.665, high=71.665, low=71.66, close=71.665, adjustedClose=0.0, volume=1520.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:36:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.63, high=71.66, low=71.63, close=71.65, adjustedClose=0.0, volume=1710.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.635, high=71.635, low=71.61, close=71.61, adjustedClose=0.0, volume=2058.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:34:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.66, high=71.66, low=71.63, close=71.645, adjustedClose=0.0, volume=3390.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:33:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.65, high=71.665, low=71.64, close=71.655, adjustedClose=0.0, volume=2703.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:32:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.645, high=71.645, low=71.645, close=71.645, adjustedClose=0.0, volume=1587.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:31:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.61, high=71.65, low=71.6, close=71.635, adjustedClose=0.0, volume=5284.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.6, high=71.6, low=71.6, close=71.6, adjustedClose=0.0, volume=1488.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:29:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.635, high=71.65, low=71.6, close=71.6, adjustedClose=0.0, volume=4619.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:28:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.61, high=71.635, low=71.61, close=71.635, adjustedClose=0.0, volume=1922.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:27:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=71.56, high=71.62, low=71.56, close=71.62, adjustedClose=0.0, volume=4911.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 14:26:00, symbol=null, percentageChange=0.0, target=0}, 
