[
StockUnit{open=73.96, high=73.96, low=73.8, close=73.8, adjustedClose=0.0, volume=11.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.9599, high=73.9599, low=73.9599, close=73.9599, adjustedClose=0.0, volume=60.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.9, high=73.9, low=73.9, close=73.9, adjustedClose=0.0, volume=10.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.9595, high=73.9595, low=73.9595, close=73.9595, adjustedClose=0.0, volume=24.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.81, high=73.81, low=73.81, close=73.81, adjustedClose=0.0, volume=25.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.81, high=73.81, low=73.81, close=73.81, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.81, high=73.81, low=73.81, close=73.81, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.96, high=73.96, low=73.96, close=73.96, adjustedClose=0.0, volume=80.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.85, high=73.85, low=73.85, close=73.85, adjustedClose=0.0, volume=20.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.85, high=73.85, low=73.85, close=73.85, adjustedClose=0.0, volume=50.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:39:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.84, high=73.85, low=73.84, close=73.85, adjustedClose=0.0, volume=200.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:38:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.81, high=73.85, low=73.81, close=73.85, adjustedClose=0.0, volume=90.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:36:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.81, high=73.81, low=73.81, close=73.81, adjustedClose=0.0, volume=3.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.8011, high=73.8011, low=73.8011, close=73.8011, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:27:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.85, high=73.85, low=73.85, close=73.85, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:23:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.8001, high=73.8001, low=73.8001, close=73.8001, adjustedClose=0.0, volume=10.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:22:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.8, high=73.8, low=73.8, close=73.8, adjustedClose=0.0, volume=132.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:21:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.8, high=73.8, low=73.7999, close=73.7999, adjustedClose=0.0, volume=30.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:20:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.76, high=73.76, low=73.76, close=73.76, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:19:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.76, high=73.76, low=73.76, close=73.76, adjustedClose=0.0, volume=10.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.76, high=73.76, low=73.76, close=73.76, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:11:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.75, high=73.77, low=73.75, close=73.77, adjustedClose=0.0, volume=51.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.77, high=73.77, low=73.77, close=73.77, adjustedClose=0.0, volume=10.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.8, high=73.8, low=73.8, close=73.8, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.7988, high=73.7988, low=73.7988, close=73.7988, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:47:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.77, high=73.77, low=73.77, close=73.77, adjustedClose=0.0, volume=25.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.76, high=73.76, low=73.76, close=73.76, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:45:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.7999, high=73.7999, low=73.7999, close=73.7999, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.79, high=73.79, low=73.79, close=73.79, adjustedClose=0.0, volume=228.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.79, high=73.79, low=73.79, close=73.79, adjustedClose=0.0, volume=3.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:40:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.8, high=73.8, low=73.8, close=73.8, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:38:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.79, high=73.79, low=73.79, close=73.79, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:37:00, symbol=null, percentageChange=0.0, target=0}, 
