[
StockUnit{open=57.89, high=57.89, low=57.89, close=57.89, adjustedClose=0.0, volume=64988.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.8, high=57.8, low=57.8, close=57.8, adjustedClose=0.0, volume=500.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.89, high=57.89, low=57.89, close=57.89, adjustedClose=0.0, volume=64988.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.89, high=57.89, low=57.89, close=57.89, adjustedClose=0.0, volume=100.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:18:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.89, high=57.89, low=57.89, close=57.89, adjustedClose=0.0, volume=64988.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.89, high=57.89, low=57.89, close=57.89, adjustedClose=0.0, volume=41168.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:06:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.89, high=57.89, low=57.89, close=57.89, adjustedClose=0.0, volume=7.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.87, high=57.89, low=57.87, close=57.89, adjustedClose=0.0, volume=135914.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.89, high=57.91, low=57.88, close=57.88, adjustedClose=0.0, volume=34040.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.88, high=57.925, low=57.88, close=57.89, adjustedClose=0.0, volume=21155.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.83, high=57.895, low=57.83, close=57.89, adjustedClose=0.0, volume=22790.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.76, high=57.84, low=57.76, close=57.83, adjustedClose=0.0, volume=12642.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.765, high=57.765, low=57.74, close=57.75, adjustedClose=0.0, volume=15857.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.7625, high=57.77, low=57.76, close=57.76, adjustedClose=0.0, volume=5485.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.785, high=57.8, low=57.76, close=57.77, adjustedClose=0.0, volume=11499.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.8, high=57.8, low=57.77, close=57.78, adjustedClose=0.0, volume=7942.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=57.79, high=57.8, low=57.78, close=57.8, adjustedClose=0.0, volume=14178.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:51:00, symbol=null, percentageChange=0.0, target=0}, 
