[
StockUnit{open=35.1, high=35.1, low=34.74, close=34.74, adjustedClose=0.0, volume=2431.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=35.42, high=35.42, low=35.39, close=35.39, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=35.42, high=35.42, low=35.42, close=35.42, adjustedClose=0.0, volume=1573.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:03:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=35.42, high=35.42, low=35.42, close=35.42, adjustedClose=0.0, volume=801.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:02:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=35.42, high=35.42, low=35.42, close=35.42, adjustedClose=0.0, volume=58185.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=35.42, high=35.42, low=35.42, close=35.42, adjustedClose=0.0, volume=773107.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=35.435, high=35.435, low=35.39, close=35.42, adjustedClose=0.0, volume=35217.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=35.435, high=35.46, low=35.43, close=35.435, adjustedClose=0.0, volume=34381.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=35.435, high=35.45, low=35.42, close=35.435, adjustedClose=0.0, volume=16520.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=35.42, high=35.46, low=35.42, close=35.43, adjustedClose=0.0, volume=18081.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=35.45, high=35.46, low=35.4, close=35.415, adjustedClose=0.0, volume=23608.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=35.4, high=35.44, low=35.395, close=35.44, adjustedClose=0.0, volume=8458.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=35.41, high=35.42, low=35.39, close=35.41, adjustedClose=0.0, volume=10566.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=35.39, high=35.41, low=35.37, close=35.41, adjustedClose=0.0, volume=13575.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=35.37, high=35.4, low=35.37, close=35.4, adjustedClose=0.0, volume=7019.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=35.38, high=35.4, low=35.36, close=35.36, adjustedClose=0.0, volume=10207.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=35.405, high=35.4057, low=35.38, close=35.38, adjustedClose=0.0, volume=5247.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:49:00, symbol=null, percentageChange=0.0, target=0}, 
