[
StockUnit{open=175.76, high=175.76, low=175.76, close=175.76, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=175.94, high=175.94, low=175.94, close=175.94, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=175.97, high=175.97, low=175.97, close=175.97, adjustedClose=0.0, volume=6.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:43:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=175.77, high=175.77, low=175.77, close=175.77, adjustedClose=0.0, volume=10.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:33:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=175.96, high=175.96, low=175.96, close=175.96, adjustedClose=0.0, volume=89.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:27:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=175.05, high=175.05, low=175.05, close=175.05, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:26:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=175.05, high=175.05, low=175.05, close=175.05, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:18:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=175.95, high=175.95, low=175.94, close=175.95, adjustedClose=0.0, volume=152.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:13:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=175.94, high=175.94, low=175.94, close=175.94, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:12:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=175.94, high=175.94, low=175.94, close=175.94, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:06:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=175.75, high=175.75, low=175.75, close=175.75, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=175.96, high=175.96, low=175.96, close=175.96, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=175.95, high=175.95, low=175.95, close=175.95, adjustedClose=0.0, volume=3.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:36:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=175.8, high=175.8, low=175.8, close=175.8, adjustedClose=0.0, volume=25.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:23:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=175.75, high=175.75, low=175.75, close=175.75, adjustedClose=0.0, volume=100.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:19:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=175.97, high=175.97, low=175.97, close=175.97, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:37:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=175.98, high=175.98, low=175.98, close=175.98, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:21:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=175.94, high=175.94, low=175.94, close=175.94, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:18:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=176.0, high=176.0, low=176.0, close=176.0, adjustedClose=0.0, volume=100.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:17:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=175.98, high=176.0, low=175.95, close=176.0, adjustedClose=0.0, volume=627.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:16:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=175.83, high=175.9, low=175.83, close=175.9, adjustedClose=0.0, volume=18.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=175.8, high=175.8, low=175.8, close=175.8, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:12:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=175.96, high=176.01, low=175.96, close=176.01, adjustedClose=0.0, volume=10.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:09:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=175.725, high=175.725, low=175.725, close=175.725, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=175.75, high=175.75, low=175.75, close=175.75, adjustedClose=0.0, volume=3.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:40:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=175.76, high=175.76, low=175.76, close=175.76, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:38:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=175.79, high=175.79, low=175.7, close=175.73, adjustedClose=0.0, volume=79.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:37:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=176.0, high=176.0, low=176.0, close=176.0, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=176.0, high=176.0, low=176.0, close=176.0, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:32:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=176.04, high=176.04, low=176.04, close=176.04, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:31:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=175.9, high=176.3, low=175.83, close=175.83, adjustedClose=0.0, volume=75661.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=175.98, high=175.98, low=175.98, close=175.98, adjustedClose=0.0, volume=100.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:29:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=175.6, high=175.6, low=175.6, close=175.6, adjustedClose=0.0, volume=4.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:27:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=176.3, high=176.3, low=176.3, close=176.3, adjustedClose=0.0, volume=2876.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:26:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=176.05, high=176.05, low=176.05, close=176.05, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:24:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=176.3, high=176.3, low=176.3, close=176.3, adjustedClose=0.0, volume=5344.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:20:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=176.16, high=176.22, low=176.15, close=176.22, adjustedClose=0.0, volume=30.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:16:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=176.3, high=176.3, low=176.3, close=176.3, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=175.94, high=175.94, low=175.45, close=175.86, adjustedClose=0.0, volume=504.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=176.3, high=176.3, low=176.03, close=176.03, adjustedClose=0.0, volume=5816.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:12:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=176.18, high=176.3, low=176.18, close=176.3, adjustedClose=0.0, volume=500.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:11:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=176.3, high=176.3, low=176.3, close=176.3, adjustedClose=0.0, volume=2748.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:07:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=176.3, high=176.3, low=176.3, close=176.3, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:05:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=176.3, high=176.3, low=176.3, close=176.3, adjustedClose=0.0, volume=2246.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=176.3, high=176.3, low=176.3, close=176.3, adjustedClose=0.0, volume=20.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:03:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=176.3, high=176.87, low=176.3, close=176.3, adjustedClose=0.0, volume=8866.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:02:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=176.3, high=176.3, low=176.26, close=176.3, adjustedClose=0.0, volume=54470.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=176.33, high=176.33, low=176.09, close=176.3, adjustedClose=0.0, volume=2876297.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=176.37, high=176.43, low=176.2, close=176.31, adjustedClose=0.0, volume=257359.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=176.34, high=176.4, low=176.315, close=176.4, adjustedClose=0.0, volume=85193.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=176.265, high=176.42, low=176.25, close=176.345, adjustedClose=0.0, volume=75790.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=176.16, high=176.31, low=176.16, close=176.265, adjustedClose=0.0, volume=67368.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=176.34, high=176.34, low=176.02, close=176.16, adjustedClose=0.0, volume=74522.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=176.3, high=176.51, low=176.08, close=176.4, adjustedClose=0.0, volume=43325.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=176.47, high=176.51, low=176.2644, close=176.3, adjustedClose=0.0, volume=24773.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=176.505, high=176.55, low=176.38, close=176.48, adjustedClose=0.0, volume=37493.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=176.475, high=176.57, low=176.35, close=176.53, adjustedClose=0.0, volume=28992.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=176.7, high=176.7, low=176.39, close=176.5, adjustedClose=0.0, volume=44658.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=176.7, high=176.75, low=176.6, close=176.75, adjustedClose=0.0, volume=17893.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:49:00, symbol=null, percentageChange=0.0, target=0}, 
