[
StockUnit{open=190.0, high=190.0, low=190.0, close=190.0, adjustedClose=0.0, volume=16.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:05:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=190.0, high=190.0, low=190.0, close=190.0, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:40:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=190.02, high=190.02, low=190.02, close=190.02, adjustedClose=0.0, volume=29.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:32:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=190.0, high=190.0, low=190.0, close=190.0, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:29:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=190.44, high=190.44, low=190.44, close=190.44, adjustedClose=0.0, volume=18.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=190.44, high=190.44, low=190.44, close=190.44, adjustedClose=0.0, volume=17.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:08:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=190.0, high=190.0, low=190.0, close=190.0, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:05:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=190.46, high=190.46, low=190.46, close=190.46, adjustedClose=0.0, volume=4.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:02:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=190.4, high=190.46, low=190.4, close=190.46, adjustedClose=0.0, volume=7.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=190.43, high=190.45, low=190.43, close=190.45, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:39:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=192.25, high=192.6, low=192.25, close=192.6, adjustedClose=0.0, volume=30.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=189.99, high=189.99, low=189.99, close=189.99, adjustedClose=0.0, volume=1154.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:34:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=191.2, high=191.98, low=191.2, close=191.98, adjustedClose=0.0, volume=3.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:19:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=191.46, high=192.62, low=191.46, close=192.62, adjustedClose=0.0, volume=1561.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=189.99, high=189.99, low=189.99, close=189.99, adjustedClose=0.0, volume=118.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=189.99, high=189.99, low=189.99, close=189.99, adjustedClose=0.0, volume=110.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=189.99, high=189.99, low=189.984, close=189.99, adjustedClose=0.0, volume=218121.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=190.095, high=190.1, low=189.82, close=189.99, adjustedClose=0.0, volume=24947.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=189.965, high=190.15, low=189.94, close=190.07, adjustedClose=0.0, volume=15827.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:58:00, symbol=null, percentageChange=0.0, target=0}, 
